Bytes_sent,Bytes_received
149748466428,304005413191
149754232382,304011212989
149759519770,304016469219
149767385860,304024337295
149771826899,304028796335
149779132110,304036085285
149784789760,304041748137
149790613400,304047552951
149797746416,304054694661
149802764154,304059714377
149810216388,304067175967
149818395971,304075372979
149826367244,304083338403
149834105294,304091078913
149839487110,304096469169
149843822810,304100836783
149850530902,304107526319
149857136310,304114156751
149863503800,304120513177
149869161682,304126176527
149876179226,304133218947
149883523464,304140567287
149891393564,304148424791
149896217568,304153260119
149902848186,304159896005
149908511670,304165566941
149915137552,304172200205
149922320678,304179385003
149926562402,304183670265
149932679222,304189753883
149938883218,304195965875
149945649210,304202736889
149953515042,304210609563
149954971268,304212138463
149955098120,304212365259
149955098120,304212365259
149955098120,304212365645
149955098120,304212365645
149955098120,304212365645
149955098120,304212365819
149955098120,304212365819
149955098120,304212365819
149955098120,304212365819
149955098120,304212365819
149955105552,304212682911
149955109004,304212832391
149955109004,304212832391
149955109004,304212832391
149955109004,304212832391
149955109004,304212832573
149955109004,304212832679
149955109004,304212832679
149955109004,304212832679
149955109004,304212832891
149955109004,304212832891
149955109004,304212832891
149955109004,304212832891
149955109004,304212832891
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833187
149955109004,304212833293
149955109004,304212833293
149955109004,304212833293
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149955109004,304212833505
149968756580,304226454153
149968756580,304226454153
149968756580,304226454153
149968756580,304226454153
149968756580,304226454153
149968756580,304226454153
149968756580,304226454365
149968756580,304226454365
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149982393736,304240065503
149989343898,304248393843
149996036416,304253685195
149996036416,304253685195
149996036416,304253685195
149996036416,304253685301
150007205954,304264865579
150009658694,304267321067
150009658694,304267321279
150009658694,304267321279
150023288900,304280938851
150023288900,304280938851
150023288900,304280938851
150023288900,304280938957
150029757248,304287462395
150036902796,304294567211
150036902796,304294567211
150036902796,304294567393
150050425738,304308187445
150050670960,304308189805
150050670960,304308189805
150050670960,304308189805
150051100700,304308646399
150064296472,304321828107
150064296472,304321828107
150064296472,304321828635
150064296472,304321828635
150083947142,304341480233
150091547462,304349076991
150091547462,304349077157
150091547462,304349077157
150102162036,304359703703
150105156012,304362701045
150105156012,304362701219
150105156012,304362701219
150121011538,304378498315
150132168338,304389673149
150132439948,304389945797
150132439948,304389945979
150133530018,304391037581
150146057144,304403579785
150146057144,304403579785
150146057144,304403579997
150152094730,304410309177
150169023816,304426578165
150173312664,304430832359
150173312664,304430832359
150173312664,304430832359
150189389134,304446920963
150200552394,304458100043
150200552394,304458100043
150200552394,304458100043
150218014742,304475535581
150227814878,304485343631
150227814878,304485343631
150227814878,304485343737
150234078342,304491611353
150251514422,304509052935
150255056168,304512597515
150255056168,304512597727
150268996954,304526487449
150278812518,304536304545
150282354338,304539851707
150282354338,304539851707
150282626740,304540124461
150299233494,304556752119
150309306734,304566837263
150309579136,304567109623
150309579136,304567109623
150331111532,304588634621
150345539466,304603081643
150350437620,304607988795
150350437620,304607988901
150360517814,304618080409
150376039580,304633624473
150377686368,304635262297
150377686368,304635262509
150392724706,304650240633
150409056678,304666592271
150418608108,304676133459
150418608108,304676133459
150420787588,304678314883
150437117716,304694662243
150445290964,304702843123
150445834910,304703387909
150447329518,304705448939
150470912998,304728450841
150483160858,304740713603
150486700302,304744258385
