Bytes_sent,Bytes_received
47292736818,46930385575
47293092970,46930732815
47293388009,46931023445
47294063752,46931677189
47294579246,46932178403
47294939604,46932529325
47295144860,46932752625
47295844036,46933407069
47296376026,46933923957
47296906504,46934439557
47297443244,46934961879
47297712380,46935226859
47298551626,46936040783
47298824224,46936306283
47299227320,46936699873
47299839324,46937297261
47300415244,46937853511
47300439606,46937880749
47301121000,46938547843
47301857100,46939274099
47302215362,46939635759
47302766392,46940163851
47303337682,46940701057
47303733196,46941086633
47304020714,46941366337
47304535710,46941866141
47305186870,46942499471
47305409822,46942728253
47305982884,46943273465
47306545904,46943820855
47307031204,46944291443
47307384198,46944635111
47307708220,46944950849
47308132756,46945362297
47308716308,46945937627
47309132218,46946335643
47309586804,46946778317
47310098362,46947281591
47310624288,46947784531
47311003360,46948152239
47311285478,46948427677
47311985272,46949107337
47312497646,46949605351
47313103618,46950195891
47313435792,46950518225
47313958172,46951027371
47314439940,46951493879
47314853610,46951909273
47315553882,46952576561
47315868252,46952883151
47316299358,46953302305
47316916814,46953902029
47317460110,46954439491
47318000578,46954965133
47318462000,46955406115
47318744154,46955679149
47319233798,46956154039
47319659394,46956568949
47320095362,46956992617
47320671606,46957553353
47321051744,46957921671
47321494376,46958352941
47322235450,46959074083
47322725670,46959550395
47323221474,46960038345
47323744248,46960569895
47324246258,46961027777
47324761034,46961528835
47325114716,46961873233
47325764642,46962505109
47325977808,46962711577
47326177034,46962930059
47326177034,46962930059
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930377
47326177034,46962930483
47326177034,46962930483
47326177034,46962930483
47326177034,46962930483
47326177034,46962930695
47326177034,46962930695
47326177034,46962930695
47326177034,46962930695
47326177034,46962930695
47326177034,46962930695
47326177034,46962930885
47326177034,46962930885
47326177034,46962930885
47326177034,46962930885
47326177034,46962930885
47326177034,46962930885
47326177034,46962930885
47326177118,46962930991
47326177118,46962930991
47326177118,46962930991
47326177118,46962930991
47326177118,46962931385
47326177118,46962931385
47326177118,46962931385
47326177118,46962931385
47326177118,46962931385
47326177118,46962931385
47326178546,46962932945
47326239404,46962934125
47326239404,46962934299
47326239404,46962934299
47326239404,46962934299
47326598780,46963282217
47326759836,46963439989
47326978224,46963652853
47326980468,46963655567
47326980468,46963655567
47326980468,46963655953
47326980468,46963655953
47326980468,46963655953
47327330202,46963992831
47327467626,46964127885
47327605994,46964263241
47327680510,46964336513
47327680510,46964336513
47327680510,46964336513
47327680510,46964336513
47327680510,46964336513
47327680510,46964336513
47328208514,46964851799
47328327436,46964967337
47328444806,46965081911
47328444938,46965081911
47328444938,46965081911
47328555200,46965188961
47328795826,46965422065
47329096860,46965715407
