Bytes_sent,Bytes_received
65221719208,64810652953
65233444342,64822380859
65248449508,64837376881
65262640474,64851559439
65278192114,64867102133
65292110404,64881014717
65301119490,64890015405
65310589198,64899510999
65322669652,64911556395
65338671414,64927584805
65352140826,64941007787
65364419836,64953281463
65378611404,64967463969
65392531450,64981367325
65403988216,64992814001
65419596760,65008524501
65430456400,65019249099
65441185092,65029985583
65457532960,65046501777
65468361848,65057145009
65479035238,65067777585
65490487894,65079221755
65501948932,65090671631
65517993722,65106747235
65528148866,65116860843
65545059328,65133730343
65558976562,65147631057
65569894096,65158536127
65579984766,65168621111
65590548650,65179248991
65605363186,65193972707
65620647124,65209237551
65631016222,65219593857
65644799766,65233497409
65660330138,65249032175
65671134838,65259665709
65686154024,65274693021
65698149232,65286659365
65710154302,65298651145
65723801368,65312284105
65737448506,65325930291
65746727140,65335182551
65759551906,65347989877
65769104294,65357534231
65782203682,65370614477
65796665566,65385065563
65810034850,65398422963
65826406432,65414776301
65839507816,65427864091
65848787776,65437132837
65859140222,65447493091
65871714100,65460035187
65888362426,65476666033
65899819768,65488113641
65913337460,65501681717
65927355300,65515644111
65940208486,65528455977
65953307980,65541538983
65966760174,65554990777
65978691862,65566886477
65991514469,65579696363
66004882924,65593049769
66014432062,65602588143
66027534172,65615670853
66038448670,65626576553
66050535152,65638670133
66063823774,65651928291
66068189032,65656290023
66070915924,65659012661
66070915924,65659012661
66070915924,65659012661
66070915924,65659012661
66070915924,65659012661
66070915924,65659012767
66070915924,65659012767
66070915924,65659012767
66070915924,65659012767
66070915924,65659012767
66070915924,65659012979
66070915924,65659012979
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013359
66070915924,65659013761
66070915924,65659013761
66070915924,65659013761
66070915924,65659013761
66070915924,65659013761
66070915924,65659013761
