# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        3.625       55.910
       0.101        0.000        3.625       55.910
       0.202        0.000        3.625       55.910
       0.302        0.000        3.625       55.910
       0.403        0.000        3.625       55.910
       0.504        0.000        3.625       55.910
       0.604        0.000        3.625       55.910
       0.704        0.000        3.625       55.910
       0.805        0.000        3.625       55.910
       0.906        0.000        3.625       55.910
       1.006        0.000        3.625       55.910
       1.107        0.000        3.625       55.910
       1.207        0.000        3.625       55.910
       1.308        0.000        3.625       55.910
       1.408        0.000        3.625       55.910
       1.509        0.000        3.625       55.910
       1.609        9.900        4.617       56.055
       1.710        0.000        4.617       56.055
       1.811        0.000        4.617       56.055
       1.911        0.000        4.617       56.055
       2.012        0.000        4.617       56.055
       2.112        0.000        4.617       56.055
       2.213        0.000        4.617       56.055
       2.313        0.000        4.617       56.055
       2.414        0.000        4.617       56.055
       2.514        0.000        4.617       56.566
       2.615       10.000        4.617       56.055
       2.716        0.000        4.617       56.055
       2.816        0.000        4.617       56.055
       2.917        0.000        4.617       56.055
       3.017        0.000        4.617       56.055
       3.118        0.000        4.617       56.055
       3.218        0.000        4.617       56.055
       3.319        0.000        4.617       56.055
       3.419        0.000        4.617       56.055
       3.520       10.000        4.617       56.586
       3.620        0.000        4.629       56.438
       3.721        0.000        4.629       56.438
       3.821        0.000        4.629       56.438
       3.922        0.000        4.629       56.438
       4.022        0.000        4.629       56.438
       4.123       19.900        4.629       56.438
       4.223        0.000        4.629       56.438
       4.324        0.000        4.629       56.438
       4.424        0.000        4.629       56.438
       4.525       10.000        4.629       56.590
       4.625        0.000        4.645       56.402
       4.726        0.000        4.645       56.402
       4.826        0.000        4.645       56.402
       4.927        0.000        4.645       56.402
       5.028        0.000        4.645       56.402
       5.128       19.900        4.645       56.402
       5.229        0.000        4.645       56.402
       5.329        0.000        4.645       56.402
       5.430        0.000        4.645       56.402
       5.530        0.000        4.645       56.402
       5.631       19.900        4.645       56.402
       5.732        0.000        4.645       56.402
       5.832        0.000        4.645       56.402
       5.932        0.000        4.645       56.402
       6.033        0.000        4.645       56.402
       6.134        9.900        4.645       56.402
       6.234        0.000        4.645       56.402
       6.335        0.000        4.645       56.402
