Method,Name,Error,Occurrences
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:23 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",56
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:09 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",14
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:09 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",56
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:59 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",41
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:48 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",14
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:48 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",53
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:00 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",183
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:39 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",54
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:29 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",42
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:08 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",74
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:20 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",90
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:26 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",60
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:53 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",24
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:49 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",24
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:02 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",43
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:43 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",33
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:24 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",50
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:58 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",56
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:01 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",36
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:20 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",36
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:46 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",11
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:44 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",6
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:41 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",52
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:43 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",4
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:49 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",34
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:58 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",22
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:54 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",23
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:57 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",158
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:12 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",43
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:22 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",46
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:19 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",56
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:06 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",14
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:04 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",46
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:50 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",31
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:28 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",45
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:42 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",75
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:40 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",53
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:27 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",35
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:11 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",50
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:18:47 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",12
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:18 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",60
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:46 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",45
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:02 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",160
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:10 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",57
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:01 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",9
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:17 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",42
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:36 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",42
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:19:34 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",54
GET,/lorem-64K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:18 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'65536\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-10000""\', \'Accept-Ranges\': \'bytes\'}>.')",114
