# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        4.543       56.453
       0.101        0.000        4.543       56.453
       0.201        0.000        4.543       56.453
       0.301        0.000        4.543       56.453
       0.402        0.000        4.543       56.453
       0.502        0.000        4.543       56.453
       0.602        0.000        4.543       56.453
       0.703        0.000        4.543       56.453
       0.803       10.000        4.543       56.453
       0.904        0.000        4.543       56.453
       1.004        0.000        4.543       56.453
       1.105        0.000        4.543       56.453
       1.205        0.000        4.543       56.453
       1.305        0.000        4.543       56.453
       1.406        0.000        4.543       56.453
       1.507        0.000        4.543       56.453
       1.607        0.000        4.543       56.453
       1.708        0.000        4.543       56.453
       1.808       19.900        4.543       56.453
       1.909        0.000        4.543       56.453
       2.009        0.000        4.543       56.453
       2.110        0.000        4.543       56.453
       2.210        0.000        4.543       56.453
       2.311        0.000        4.543       56.453
       2.411        0.000        4.543       56.453
       2.512        0.000        4.543       56.453
       2.613        0.000        4.543       56.453
       2.713        0.000        4.543       56.453
       2.814        9.900        4.543       56.453
       2.914        0.000        4.543       56.453
       3.015        0.000        4.543       56.453
       3.115        0.000        4.543       56.453
       3.216        0.000        4.543       56.453
       3.316        0.000        4.566       56.703
       3.417       10.000        4.543       56.703
       3.517        0.000        4.543       56.703
       3.618        0.000        4.543       56.703
       3.719        0.000        4.543       56.703
       3.819        9.900        4.543       56.453
       3.920        0.000        4.543       56.453
       4.020        0.000        4.543       56.453
       4.121        0.000        4.543       56.453
       4.221        0.000        4.543       56.453
       4.322        9.900        4.543       56.703
       4.422        9.900        4.543       56.703
       4.523        0.000        4.543       56.703
       4.624        0.000        4.543       56.703
       4.724        0.000        4.543       56.703
       4.825       10.000        4.543       56.453
       4.925        0.000        4.543       56.453
       5.026        0.000        4.543       56.453
       5.126        0.000        4.543       56.453
       5.227        0.000        4.543       56.453
       5.327       10.000        4.543       56.703
       5.428        0.000        4.543       56.703
       5.528        0.000        4.543       56.703
       5.629        0.000        4.543       56.703
       5.729        0.000        4.543       56.703
       5.830       19.900        4.582       56.703
       5.930       10.000        4.543       56.703
       6.031        0.000        4.543       56.703
       6.131        0.000        4.543       56.703
       6.232        0.000        4.543       56.703
       6.332       19.900        4.543       56.703
       6.433        0.000        4.566       56.703
       6.533        0.000        4.566       56.703
       6.634        0.000        4.566       56.703
       6.734        0.000        4.566       56.703
       6.835       10.000        4.543       57.203
       6.935       19.900        4.543       56.703
       7.036        0.000        4.543       56.703
       7.136        0.000        4.543       56.703
       7.237        0.000        4.543       56.703
       7.338        9.900        4.543       56.453
       7.438        9.900        4.543       56.703
       7.539        0.000        4.543       56.703
       7.639        0.000        4.543       56.703
       7.740        0.000        4.543       56.703
       7.840        9.900        4.543       56.703
       7.941       19.900        4.543       56.453
       8.041        0.000        4.543       56.453
       8.142        0.000        4.543       56.453
       8.243        0.000        4.543       56.453
       8.343       10.000        4.543       56.703
       8.444       10.000        4.543       56.703
       8.544        9.900        4.543       56.703
       8.645        0.000        4.543       56.703
       8.745        0.000        4.543       56.703
       8.846       19.900        4.543       56.703
       8.946       10.000        4.543       56.453
       9.046        0.000        4.543       56.453
       9.147        0.000        4.543       56.453
       9.248        0.000        4.543       56.453
       9.348       19.900        4.543       56.453
       9.449       10.000        4.566       56.703
       9.549       10.000        4.543       56.703
       9.649        0.000        4.543       56.703
       9.750        0.000        4.543       56.703
       9.851       10.000        4.582       56.703
       9.951       19.900        4.543       56.703
      10.051        0.000        4.543       56.703
      10.152        0.000        4.543       56.703
      10.253        0.000        4.543       56.703
      10.353       10.000        4.543       56.703
      10.453       10.000        4.570       56.703
      10.554        9.900        4.543       56.703
      10.654        0.000        4.543       56.703
      10.755        0.000        4.543       56.703
      10.856       10.000        4.543       56.703
      10.956       29.900        4.543       56.703
      11.056       10.000        4.543       56.703
      11.157        0.000        4.543       56.703
      11.257        0.000        4.543       56.703
