CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.3,27.3,0.153125,0,8007680
0.5,11.1,0.30625,0,8007680
0.0,0.0,0.1546875,0,8007680
0.2,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.0,0.0,0.0,0,8007680
0.5,27.3,0.3078125,0,12066816
0.5,11.1,0.3078125,0,14770176
0.0,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.2,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.0,0.0,0.0,0,14770176
0.3,22.2,0.3078125,0,19161088
0.5,20.0,0.3078125,0,21393408
4.1,9.1,0.0,0,21393408
1.7,0.0,0.0,0,21393408
0.2,0.0,0.0,0,21393408
0.2,0.0,0.0,0,21655552
0.6,27.3,0.30625,0,24936448
0.5,27.3,0.3078125,0,28082176
0.2,0.0,0.0,0,28082176
0.2,0.0,0.0,0,28475392
0.8,12.5,0.30625,0,32800768
0.3,18.2,0.30625,0,34635776
0.2,0.0,0.0,0,34635776
0.0,0.0,0.0,0,34635776
0.2,0.0,0.0,0,34766848
0.0,18.2,0.153125,0,36212736
0.6,30.0,0.459375,0,40407040
0.2,9.1,0.0,0,41193472
0.2,0.0,0.0,0,41193472
0.3,0.0,0.153125,0,44470272
0.5,27.3,0.3078125,0,46305280
0.0,0.0,0.3078125,0,47747072
0.0,0.0,0.0,0,47747072
0.0,0.0,0.0,0,47747072
0.0,0.0,0.0,0,47878144
0.2,0.0,0.153125,0,50237440
0.5,36.4,0.3078125,0,54038528
0.0,0.0,0.153125,0,54300672
0.2,0.0,0.0,0,54300672
0.0,10.0,0.0,0,57839616
0.6,11.1,0.3078125,0,60329984
0.2,11.1,0.30625,0,62689280
0.3,22.2,0.4609375,0,66359296
0.3,18.2,0.153125,0,67407872
0.0,0.0,0.0,0,67670016
0.5,27.3,0.30625,0,70557696
0.3,20.0,0.3078125,0,73965568
0.0,0.0,0.0,0,73965568
0.0,0.0,0.0,0,73965568
0.3,20.0,0.30625,0,58552320
0.6,27.3,0.3078125,0,58552320
0.8,36.4,0.3078125,0,58552320
0.3,11.1,0.3078125,0,60256256
0.0,0.0,0.0,0,60256256
0.0,0.0,0.0,0,60387328
0.3,11.1,0.3078125,0,63401984
0.6,36.4,0.3078125,0,66678784
0.0,9.1,0.0,0,66809856
0.0,0.0,0.0,0,66809856
0.8,33.3,0.3078125,0,70217728
0.3,12.5,0.459375,0,74543104
0.8,36.4,0.30625,0,78344192
0.2,10.0,0.4578125,0,79917056
0.0,0.0,0.0,0,79917056
0.0,0.0,0.0,0,80310272
0.3,12.5,0.30625,0,83980288
0.6,36.4,0.4578125,0,87654400
0.6,20.0,0.30625,0,91455488
0.3,20.0,0.153125,0,93028352
0.6,33.3,0.30625,0,97091584
0.3,27.3,0.30625,0,101548032
0.3,22.2,0.459375,0,105484288
0.3,18.2,0.153125,0,106139648
0.0,0.0,0.0,0,106139648
0.3,0.0,0.0,0,106926080
0.5,22.2,0.4578125,0,110333952
0.5,30.0,0.4578125,0,114921472
0.6,36.4,0.30625,0,118198272
0.2,10.0,0.0,0,119246848
0.9,38.5,0.30625,0,119246848
0.2,20.0,0.459375,0,119246848
0.6,12.5,0.30625,0,119246848
0.0,9.1,0.153125,0,119246848
0.0,0.0,0.0,0,119246848
0.2,10.0,0.153125,0,119246848
0.6,20.0,0.30625,0,119246848
0.3,22.2,0.30625,0,119246848
0.3,11.1,0.459375,0,119246848
0.3,18.2,0.0,0,119246848
0.3,11.1,0.30625,0,119246848
0.5,30.0,0.30625,0,119246848
0.5,20.0,0.459375,0,119246848
0.5,12.5,0.303125,0,119246848
0.5,30.0,0.30625,0,119246848
0.3,18.2,0.30625,0,121217024
0.6,36.4,0.30625,0,124887040
0.5,30.0,0.459375,0,129081344
0.5,27.3,0.4578125,0,132358144
0.3,20.0,0.30625,0,135766016
0.6,27.3,0.3046875,0,138125312
0.3,30.0,0.30625,0,141926400
0.6,11.1,0.30625,0,145727488
0.3,22.2,0.30625,0,149925888
0.6,27.3,0.30625,0,152285184
0.5,27.3,0.30625,0,154906624
0.5,12.5,0.4578125,0,158576640
0.3,36.4,0.4578125,0,163430400
0.8,20.0,0.3046875,0,165396480
0.5,20.0,0.1515625,0,165396480
0.3,20.0,0.30625,0,165396480
0.8,46.2,0.30625,0,165396480
0.6,30.0,0.6109375,0,165396480
0.8,38.5,0.30625,0,165396480
0.3,10.0,0.153125,0,165396480
0.2,10.0,0.153125,0,165396480
0.6,22.2,0.30625,0,165396480
0.5,41.7,0.4578125,0,165396480
0.8,30.0,0.4578125,0,165396480
0.5,36.4,0.3046875,0,165396480
0.8,30.0,0.4578125,0,165396480
0.6,27.3,0.3046875,0,165396480
0.5,30.0,0.303125,0,165396480
0.6,27.3,0.4546875,0,165396480
0.5,30.0,0.3046875,0,165396480
0.3,0.0,0.3046875,0,165396480
0.6,30.0,0.4578125,0,165396480
0.9,42.9,0.30625,0,165396480
0.3,22.2,0.4578125,0,167624704
0.5,27.3,0.3046875,0,171163648
0.6,30.0,0.4578125,0,174440448
0.6,30.0,0.30625,0,179683328
0.3,27.3,0.3046875,0,183484416
0.8,36.4,0.4546875,0,188203008
0.8,36.4,0.3046875,0,190038016
0.5,30.0,0.609375,0,195424256
0.2,11.1,0.3046875,0,199348224
0.6,36.4,0.303125,0,203149312
0.6,30.0,0.3046875,0,205639680
0.3,22.2,0.4546875,0,205639680
0.3,11.1,0.3046875,0,205639680
0.3,12.5,0.3046875,0,205639680
0.6,30.0,0.609375,0,205639680
0.5,27.3,0.3046875,0,205639680
0.5,22.2,0.303125,0,205639680
0.5,30.0,0.3046875,0,205639680
0.5,30.0,0.45625,0,205643776
0.3,20.0,0.3046875,0,205643776
0.8,36.4,0.3046875,0,205643776
0.3,11.1,0.45625,0,205643776
0.6,30.0,0.45625,0,205643776
0.5,20.0,0.153125,0,205643776
0.5,30.0,0.4578125,0,205643776
0.6,27.3,0.303125,0,205643776
0.3,22.2,0.303125,0,205643776
0.6,27.3,0.303125,0,205643776
0.3,30.0,0.45625,0,205643776
0.6,30.0,0.3046875,0,205643776
0.5,11.1,0.3046875,0,205643776
0.5,36.4,0.3046875,0,205643776
4.9,36.4,0.45625,0,205910016
1.4,33.3,0.303125,0,210100224
1.2,30.0,0.4546875,0,213770240
0.6,36.4,0.3046875,0,217702400
0.8,27.3,0.3046875,0,221638656
0.3,22.2,0.4546875,0,225304576
0.8,30.0,0.3046875,0,231075840
0.3,20.0,0.3015625,0,233041920
0.6,22.2,0.45625,0,233041920
0.3,22.2,0.303125,0,233041920
0.3,20.0,0.303125,0,233041920
0.6,30.0,0.4546875,0,233041920
0.2,11.1,0.4546875,0,233041920
0.5,30.0,0.3046875,0,233041920
0.6,11.1,0.3046875,0,233041920
0.3,30.0,0.3046875,0,233041920
0.6,36.4,0.45625,0,233041920
0.6,33.3,0.3046875,0,233041920
0.2,0.0,0.303125,0,233041920
0.5,22.2,0.45625,0,233041920
0.2,10.0,0.1515625,0,233041920
0.3,30.0,0.45625,0,233041920
0.6,20.0,0.1515625,0,233041920
0.6,33.3,0.3046875,0,233041920
0.5,22.2,0.45625,0,233041920
0.5,27.3,0.3046875,0,233041920
0.5,30.0,0.303125,0,233041920
0.8,33.3,0.4546875,0,233041920
0.6,22.2,0.3046875,0,233041920
0.5,27.3,0.3046875,0,233041920
0.5,27.3,0.3046875,0,233041920
0.5,11.1,0.1515625,0,233041920
0.3,30.0,0.45625,0,233041920
0.5,20.0,0.45625,0,233041920
0.5,22.2,0.3046875,0,233959424
0.2,20.0,0.3046875,0,236449792
0.5,22.2,0.3046875,0,240779264
0.8,27.3,0.3046875,0,241037312
0.3,30.0,0.60625,0,241037312
0.6,27.3,0.1515625,0,241037312
0.2,12.5,0.4546875,0,241037312
0.8,27.3,0.303125,0,241037312
0.6,33.3,0.303125,0,241037312
0.6,30.0,0.303125,0,241037312
0.8,36.4,0.45625,0,241037312
0.5,20.0,0.1515625,0,241037312
0.2,11.1,0.45625,0,241037312
0.5,30.0,0.4546875,0,241037312
0.2,11.1,0.3015625,0,241037312
0.6,22.2,0.45625,0,241037312
0.8,36.4,0.303125,0,241037312
0.2,22.2,0.303125,0,241037312
0.6,27.3,0.3015625,0,241037312
0.8,41.7,0.45625,0,241037312
0.8,36.4,0.4546875,0,241037312
0.5,22.2,0.3046875,0,241037312
0.3,27.3,0.303125,0,241037312
0.3,22.2,0.6078125,0,241037312
0.6,30.0,0.3046875,0,241037312
0.6,33.3,0.3046875,0,241037312
0.5,12.5,0.3046875,0,241037312
0.5,11.1,0.3046875,0,241037312
0.6,38.5,0.303125,0,241037312
0.5,22.2,0.3046875,0,241037312
0.5,20.0,0.3046875,0,241037312
0.5,36.4,0.45625,0,241954816
0.6,30.0,0.4546875,0,242085888
0.8,30.0,0.3046875,0,242085888
0.3,22.2,0.45625,0,242085888
0.3,27.3,0.303125,0,242085888
0.5,22.2,0.3046875,0,242085888
0.6,30.0,0.45625,0,242085888
0.6,36.4,0.453125,0,242085888
0.3,12.5,0.4546875,0,242085888
0.6,27.3,0.3046875,0,242085888
0.6,41.7,0.3046875,0,242085888
0.6,36.4,0.60625,0,242085888
0.6,30.0,0.303125,0,242085888
0.3,22.2,0.303125,0,242085888
0.5,22.2,0.303125,0,242085888
0.3,36.4,0.609375,0,242085888
0.5,11.1,0.303125,0,242085888
0.3,11.1,0.3046875,0,242085888
0.6,41.7,0.303125,0,242085888
0.5,22.2,0.3046875,0,242085888
0.8,33.3,0.45625,0,242085888
0.5,22.2,0.45625,0,242085888
0.6,36.4,0.303125,0,242085888
0.5,30.0,0.4546875,0,242085888
0.3,20.0,0.3015625,0,242085888
0.3,12.5,0.45625,0,242085888
0.6,36.4,0.45625,0,242085888
0.6,30.0,0.303125,0,242085888
0.8,41.7,0.45625,0,242085888
0.6,40.0,0.45625,0,242085888
0.3,20.0,0.303125,0,242085888
0.6,12.5,0.45625,0,242085888
0.3,20.0,0.303125,0,242085888
0.5,38.5,0.303125,0,242085888
0.3,12.5,0.3046875,0,242085888
0.6,22.2,0.45625,0,242085888
0.3,30.0,0.45625,0,242085888
0.5,20.0,0.1515625,0,242085888
0.5,22.2,0.45625,0,242085888
0.6,30.0,0.303125,0,242085888
0.5,30.0,0.4546875,0,242085888
0.9,41.7,0.453125,0,242085888
0.3,20.0,0.303125,0,242085888
0.3,12.5,0.6078125,0,242085888
0.3,22.2,0.303125,0,242085888
0.5,30.0,0.303125,0,242085888
0.5,30.0,0.45625,0,242085888
0.3,20.0,0.3046875,0,242085888
0.8,22.2,0.303125,0,242085888
0.3,30.0,0.4546875,0,242085888
0.8,33.3,0.303125,0,242085888
0.5,27.3,0.3046875,0,242085888
0.5,30.0,0.45625,0,242085888
0.2,12.5,0.4546875,0,242085888
0.5,20.0,0.3046875,0,242085888
0.5,22.2,0.303125,0,242085888
0.3,11.1,0.303125,0,242085888
0.5,33.3,0.303125,0,242085888
0.8,30.0,0.45625,0,242085888
0.5,22.2,0.45625,0,241168384
0.6,27.3,0.303125,0,241168384
0.6,30.0,0.453125,0,241168384
0.6,33.3,0.3046875,0,241168384
0.6,22.2,0.303125,0,241168384
0.3,27.3,0.45625,0,241168384
0.9,41.7,0.3046875,0,241168384
0.3,20.0,0.303125,0,241168384
0.5,30.0,0.3046875,0,241168384
0.3,27.3,0.4546875,0,241168384
0.5,22.2,0.303125,0,241168384
0.3,11.1,0.303125,0,241168384
0.2,11.1,0.4515625,0,241168384
0.8,33.3,0.303125,0,241168384
0.8,36.4,0.303125,0,241168384
0.6,41.7,0.4546875,0,241168384
0.6,11.1,0.1515625,0,241168384
0.3,30.0,0.453125,0,241168384
0.6,20.0,0.45625,0,241168384
0.3,22.2,0.1515625,0,241168384
0.3,20.0,0.45625,0,241168384
0.5,22.2,0.3046875,0,241168384
8.6,36.4,0.45,0,241168384
0.6,27.3,0.3,0,241168384
0.8,36.4,0.3015625,0,241168384
1.1,30.0,0.4546875,0,241168384
0.8,20.0,0.303125,0,241168384
0.6,33.3,0.453125,0,241168384
1.1,36.4,0.1515625,0,241168384
0.5,20.0,0.4546875,0,233959424
0.5,20.0,0.3046875,0,233959424
0.5,30.0,0.303125,0,233959424
0.3,20.0,0.303125,0,233959424
0.6,30.0,0.3046875,0,233959424
0.5,20.0,0.45625,0,233959424
0.5,36.4,0.303125,0,233959424
0.6,27.3,0.3015625,0,233959424
0.5,12.5,0.303125,0,233959424
0.6,46.2,0.6078125,0,233959424
0.6,27.3,0.303125,0,233959424
0.5,22.2,0.3046875,0,233959424
0.5,27.3,0.3015625,0,233959424
0.3,22.2,0.45625,0,233959424
0.5,36.4,0.4546875,0,233959424
0.3,0.0,0.3046875,0,233959424
