CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.8,27.3,0.30625,0,2973696
0.9,58.3,0.6140625,0,3674112
0.2,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.0,0.0,0.0,0,1781760
0.8,33.3,0.4625,0,2969600
0.5,44.4,0.6171875,0,1794048
0.2,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.2,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.0,0.0,0.0,0,1794048
0.6,28.6,0.615625,0,2908160
0.8,30.0,0.459375,0,1867776
0.0,0.0,0.0,0,1867776
0.0,0.0,0.0,0,1867776
0.0,0.0,0.0,0,1867776
0.0,0.0,0.0,0,1871872
0.8,30.0,0.459375,0,2265088
0.8,50.0,0.459375,0,1900544
0.0,0.0,0.0,0,1900544
0.0,0.0,0.0,0,1916928
0.9,44.4,0.6125,0,2277376
0.5,41.7,0.4625,0,1871872
0.2,0.0,0.0,0,1871872
0.0,0.0,0.0,0,1871872
0.0,0.0,0.0,0,1875968
0.3,11.1,0.3078125,0,1884160
0.6,37.5,0.4609375,0,2027520
0.3,18.2,0.3078125,0,1875968
0.0,0.0,0.0,0,1875968
0.0,10.0,0.153125,0,2457600
0.9,50.0,0.615625,0,2895872
0.5,27.3,0.1546875,0,1978368
0.2,0.0,0.0,0,1978368
0.0,0.0,0.0,0,1978368
0.0,9.1,0.153125,0,1978368
0.5,12.5,0.3078125,0,1875968
0.8,45.5,0.6125,0,1908736
0.2,10.0,0.153125,0,1871872
0.0,0.0,0.0,0,1871872
0.2,18.2,0.153125,0,2744320
0.8,44.4,0.6109375,0,2764800
0.8,30.0,0.459375,0,1875968
0.8,54.5,0.6125,0,1986560
0.2,11.1,0.3078125,0,1875968
0.0,0.0,0.0,0,1896448
0.5,22.2,0.3078125,0,2260992
0.5,33.3,0.6171875,0,1875968
0.0,0.0,0.0,0,1875968
0.2,0.0,0.0,0,1875968
0.2,20.0,0.4625,0,2793472
0.9,50.0,0.459375,0,3276800
0.6,37.5,0.6140625,0,3371008
0.9,50.0,0.6140625,0,3530752
0.0,0.0,0.0,0,3530752
0.0,0.0,0.0,0,3530752
0.6,30.0,0.4609375,0,3530752
0.6,50.0,0.615625,0,3547136
0.3,9.1,0.0,0,3547136
0.0,0.0,0.0,0,3547136
0.3,22.2,0.3078125,0,3690496
0.9,50.0,0.6125,0,3903488
0.5,37.5,0.76875,0,3964928
0.5,30.0,0.459375,0,3964928
0.0,0.0,0.0,0,3964928
0.2,0.0,0.0,0,3964928
0.6,45.5,0.6140625,0,4005888
0.8,40.0,0.4609375,0,4005888
1.2,58.3,0.6125,0,4005888
0.5,30.0,0.459375,0,4005888
0.3,25.0,0.3078125,0,4222976
0.8,50.0,0.765625,0,4247552
0.6,44.4,0.615625,0,4247552
0.5,27.3,0.30625,0,4247552
0.2,0.0,0.0,0,4247552
0.0,10.0,0.153125,0,4247552
0.6,30.0,0.4625,0,4247552
1.1,58.3,0.765625,0,4247552
0.6,44.4,0.6109375,0,4304896
0.5,20.0,0.0,0,4304896
0.8,40.0,0.7703125,0,4276224
0.5,44.4,0.459375,0,4304896
0.5,44.4,0.615625,0,4304896
0.5,20.0,0.30625,0,4304896
0.0,0.0,0.0,0,4304896
0.3,16.7,0.0,0,4304896
0.8,28.6,0.765625,0,4304896
0.5,44.4,0.615625,0,4304896
3.7,40.0,0.4609375,0,4304896
3.8,20.0,0.30625,0,4304896
0.9,36.4,0.4609375,0,4317184
1.1,44.4,0.459375,0,4362240
1.5,54.5,0.6171875,0,4472832
0.8,50.0,0.615625,0,4513792
1.1,45.5,0.76875,0,4558848
1.1,33.3,0.3046875,0,4558848
0.9,50.0,0.615625,0,4558848
0.9,44.4,0.615625,0,4567040
0.8,44.4,0.6140625,0,4595712
1.1,33.3,0.3078125,0,4595712
0.6,37.5,0.4625,0,4599808
1.1,54.5,0.765625,0,4599808
0.8,45.5,0.6125,0,4599808
0.9,50.0,0.6125,0,4599808
0.8,54.5,0.615625,0,4612096
0.6,22.2,0.30625,0,4612096
0.8,54.5,0.6171875,0,4612096
0.8,33.3,0.6125,0,4612096
0.3,25.0,0.459375,0,4612096
0.2,20.0,0.3078125,0,4620288
0.6,44.4,0.6140625,0,4608000
0.8,40.0,0.615625,0,4648960
0.9,54.5,0.615625,0,4648960
0.6,44.4,0.6140625,0,4648960
0.8,41.7,0.4609375,0,4648960
0.2,10.0,0.1546875,0,4648960
0.6,44.4,0.6125,0,4653056
0.3,37.5,0.6109375,0,4653056
1.2,50.0,0.6109375,0,4681728
0.8,50.0,0.4609375,0,4681728
