CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,23.1,0.0,0,630784
5.2,0.0,0.0,0,630784
1.0,0.0,0.0,0,630784
0.3,9.1,0.0,0,630784
0.2,0.0,0.0,0,630784
0.3,0.0,0.0,0,630784
0.5,0.0,0.0,0,630784
0.0,9.1,0.0,0,630784
0.0,0.0,0.0,0,630784
0.3,0.0,0.0,0,630784
0.0,0.0,0.0,0,630784
0.2,0.0,0.0,0,630784
0.0,0.0,0.0,0,630784
0.0,0.0,0.0,0,630784
0.0,0.0,0.0,0,630784
0.2,9.1,0.0,0,630784
0.0,0.0,0.0,0,630784
0.5,11.1,0.3078125,0,4456448
0.2,20.0,0.153125,0,4456448
0.0,9.1,0.0,0,4456448
0.0,0.0,0.0,0,4456448
0.0,0.0,0.0,0,4456448
0.2,0.0,0.0,0,4456448
0.0,0.0,0.0,0,4456448
0.0,0.0,0.0,0,4456448
0.2,0.0,0.0,0,4456448
0.2,0.0,0.0,0,4456448
0.2,11.1,0.1546875,0,6950912
0.2,9.1,0.1546875,0,7737344
0.0,0.0,0.0,0,7737344
0.0,0.0,0.0,0,7737344
0.0,9.1,0.0,0,7737344
0.2,0.0,0.0,0,7737344
0.0,0.0,0.0,0,7737344
0.0,0.0,0.0,0,7737344
0.0,0.0,0.0,0,7737344
0.0,0.0,0.0,0,7737344
0.3,20.0,0.3078125,0,11079680
0.0,9.1,0.0,0,11079680
0.0,0.0,0.0,0,11079680
0.0,9.1,0.0,0,11079680
0.2,0.0,0.0,0,11079680
0.0,0.0,0.0,0,11669504
0.0,0.0,0.459375,0,14032896
0.0,0.0,0.0,0,14360576
0.2,0.0,0.0,0,14360576
0.0,0.0,0.0,0,14360576
0.6,36.4,0.3078125,0,17637376
0.2,0.0,0.0,0,17637376
0.0,0.0,0.0,0,17637376
0.0,0.0,0.0,0,17637376
0.0,0.0,0.0,0,17637376
0.3,20.0,0.1546875,0,19472384
0.2,18.2,0.3078125,0,20914176
0.0,0.0,0.0,0,20914176
0.0,0.0,0.0,0,20914176
0.3,0.0,0.0,0,22552576
0.2,25.0,0.153125,0,24190976
0.0,0.0,0.0,0,24190976
0.0,0.0,0.0,0,24190976
0.0,0.0,0.0,0,24190976
0.0,0.0,0.0,0,24256512
0.3,20.0,0.3078125,0,26746880
0.2,0.0,0.153125,0,27467776
0.0,0.0,0.0,0,27467776
0.0,0.0,0.0,0,27467776
0.3,0.0,0.0,0,29175808
0.2,11.1,0.3078125,0,31010816
0.6,27.3,0.3078125,0,33501184
0.2,16.7,0.153125,0,34025472
0.0,0.0,0.0,0,34025472
0.2,0.0,0.0,0,34156544
0.3,0.0,0.3078125,0,36515840
0.2,0.0,0.0,0,37302272
0.0,0.0,0.0,0,37302272
0.0,0.0,0.0,0,37302272
0.2,18.2,0.153125,0,37896192
0.5,20.0,0.3078125,0,37896192
0.3,11.1,0.153125,0,37896192
0.3,16.7,0.0,0,37896192
0.0,0.0,0.0,0,37896192
0.0,0.0,0.0,0,37896192
0.6,27.3,0.459375,0,37896192
0.0,0.0,0.0,0,37896192
0.0,0.0,0.0,0,37896192
0.0,0.0,0.0,0,37896192
0.3,0.0,0.153125,0,37896192
0.5,30.0,0.30625,0,38879232
0.3,11.1,0.30625,0,40452096
0.0,0.0,0.0,0,40452096
0.2,0.0,0.0,0,40452096
0.0,18.2,0.153125,0,41242624
0.3,11.1,0.459375,0,44068864
0.2,11.1,0.153125,0,46039040
0.0,18.2,0.30625,0,47022080
0.0,0.0,0.0,0,47022080
0.5,11.1,0.0,0,49913856
0.8,27.3,0.4609375,0,52604928
0.0,0.0,0.153125,0,53653504
0.0,0.0,0.0,0,53653504
0.2,0.0,0.0,0,53653504
0.2,18.2,0.153125,0,54771712
0.6,11.1,0.153125,0,58114048
0.2,10.0,0.30625,0,59817984
0.0,0.0,0.0,0,60211200
0.0,0.0,0.0,0,60211200
0.3,20.0,0.30625,0,60211200
0.6,27.3,0.30625,0,60211200
0.0,0.0,0.153125,0,60211200
0.0,0.0,0.0,0,60211200
0.0,0.0,0.0,0,60211200
0.5,10.0,0.153125,0,60211200
0.5,30.0,0.30625,0,60211200
0.5,25.0,0.3078125,0,60211200
0.0,0.0,0.0,0,60211200
0.0,0.0,0.0,0,60211200
0.3,22.2,0.3078125,0,60211200
0.9,33.3,0.4609375,0,60211200
0.5,20.0,0.153125,0,60211200
0.3,0.0,0.153125,0,60211200
0.0,0.0,0.0,0,60276736
0.2,10.0,0.153125,0,62308352
0.8,38.5,0.4578125,0,65191936
0.2,20.0,0.153125,0,66699264
0.0,0.0,0.0,0,66830336
0.2,0.0,0.153125,0,68206592
0.5,22.2,0.4609375,0,71221248
0.3,11.1,0.3078125,0,74240000
0.6,27.3,0.153125,0,76140544
0.0,16.7,0.0,0,76664832
0.0,0.0,0.0,0,76730368
0.5,12.5,0.4609375,0,79089664
0.3,20.0,0.30625,0,82104320
0.0,0.0,0.153125,0,83218432
0.2,0.0,0.0,0,83218432
0.2,9.1,0.0,0,83218432
0.3,22.2,0.4609375,0,83218432
0.2,11.1,0.30625,0,83218432
0.5,20.0,0.30625,0,83218432
0.2,0.0,0.0,0,83218432
0.0,9.1,0.0,0,83218432
0.2,11.1,0.3078125,0,83218432
0.6,30.0,0.3078125,0,83218432
0.5,27.3,0.459375,0,83218432
0.2,0.0,0.0,0,83218432
0.3,18.2,0.3046875,0,83218432
0.5,20.0,0.30625,0,83218432
0.9,41.7,0.3046875,0,83218432
0.0,18.2,0.153125,0,83218432
4.7,0.0,0.0,0,83218432
0.3,10.0,0.153125,0,83218432
0.5,11.1,0.30625,0,83218432
0.5,36.4,0.30625,0,84140032
0.3,0.0,0.4609375,0,86110208
0.3,10.0,0.0,0,86568960
0.5,20.0,0.30625,0,89063424
0.3,0.0,0.30625,0,92151808
0.3,30.0,0.30625,0,95170560
0.2,0.0,0.153125,0,96354304
0.0,0.0,0.0,0,96419840
0.2,0.0,0.153125,0,97144832
0.5,30.0,0.4609375,0,100364288
0.3,20.0,0.30625,0,103186432
0.3,20.0,0.153125,0,105943040
0.2,10.0,0.153125,0,106270720
0.5,20.0,0.30625,0,106270720
0.6,27.3,0.459375,0,106270720
0.3,12.5,0.30625,0,106270720
0.5,30.0,0.4578125,0,106270720
0.2,10.0,0.153125,0,106270720
0.3,18.2,0.153125,0,106270720
0.3,22.2,0.30625,0,106270720
0.5,20.0,0.459375,0,106270720
0.2,20.0,0.153125,0,106270720
0.0,0.0,0.153125,0,106270720
0.3,11.1,0.30625,0,106270720
0.2,11.1,0.30625,0,106270720
0.5,12.5,0.30625,0,106270720
0.2,11.1,0.30625,0,106270720
0.0,0.0,0.0,0,106270720
0.3,18.2,0.153125,0,106270720
0.6,27.3,0.3046875,0,106270720
0.5,22.2,0.3046875,0,106270720
0.0,0.0,0.30625,0,106336256
0.2,0.0,0.153125,0,107974656
0.3,20.0,0.30625,0,110469120
0.8,36.4,0.3046875,0,112893952
0.6,36.4,0.4578125,0,116039680
0.2,20.0,0.3046875,0,118857728
0.2,0.0,0.153125,0,119513088
0.5,27.3,0.30625,0,121937920
0.6,22.2,0.459375,0,124559360
0.3,11.1,0.30625,0,127774720
0.5,36.4,0.303125,0,130985984
0.6,33.3,0.459375,0,131444736
0.6,30.0,0.459375,0,131444736
0.5,20.0,0.153125,0,131444736
0.6,36.4,0.4578125,0,131444736
0.6,20.0,0.153125,0,131444736
0.0,0.0,0.153125,0,131444736
0.6,38.5,0.3046875,0,131444736
0.3,22.2,0.4578125,0,131448832
0.8,27.3,0.30625,0,131448832
0.3,22.2,0.30625,0,131448832
0.3,9.1,0.153125,0,131448832
0.2,12.5,0.30625,0,131448832
0.5,22.2,0.4578125,0,131448832
0.5,36.4,0.30625,0,131448832
0.5,20.0,0.459375,0,131448832
0.0,9.1,0.153125,0,131448832
0.5,12.5,0.30625,0,131448832
0.5,20.0,0.30625,0,131448832
0.3,27.3,0.30625,0,131448832
0.9,41.7,0.30625,0,131448832
0.0,10.0,0.3046875,0,131448832
0.5,18.2,0.153125,0,131448832
0.6,22.2,0.30625,0,131448832
0.2,11.1,0.30625,0,134463488
0.5,27.3,0.30625,0,137543680
0.2,10.0,0.153125,0,139771904
0.3,20.0,0.30625,0,143052800
0.5,12.5,0.459375,0,146526208
0.8,36.4,0.30625,0,149737472
0.3,20.0,0.459375,0,151703552
0.0,0.0,0.0,0,151703552
0.5,20.0,0.30625,0,151703552
0.5,11.1,0.459375,0,151703552
0.0,0.0,0.30625,0,151703552
0.6,27.3,0.153125,0,151703552
0.2,10.0,0.30625,0,151703552
0.9,36.4,0.459375,0,151703552
0.5,22.2,0.3046875,0,151703552
0.3,12.5,0.4578125,0,151703552
0.2,27.3,0.3046875,0,151703552
0.3,0.0,0.153125,0,151703552
0.2,11.1,0.30625,0,151703552
0.3,11.1,0.459375,0,151703552
0.6,30.0,0.30625,0,151703552
0.5,30.0,0.30625,0,151703552
0.3,20.0,0.3046875,0,151703552
0.3,11.1,0.30625,0,151703552
0.5,11.1,0.3046875,0,151703552
0.3,22.2,0.4578125,0,151703552
0.6,27.3,0.30625,0,151703552
0.2,12.5,0.30625,0,151703552
0.6,27.3,0.459375,0,151703552
0.6,36.4,0.30625,0,151703552
0.5,20.0,0.459375,0,151703552
0.5,12.5,0.303125,0,151703552
0.3,20.0,0.30625,0,151703552
0.2,20.0,0.153125,0,151703552
0.5,27.3,0.3046875,0,152489984
0.5,12.5,0.459375,0,156225536
0.2,20.0,0.3046875,0,156487680
0.5,18.2,0.30625,0,156487680
