CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,11.1,0.153125,0,2154496
0.6,36.4,0.4609375,0,1708032
0.0,0.0,0.0,0,1708032
0.2,0.0,0.0,0,1708032
0.0,0.0,0.0,0,1708032
0.0,0.0,0.0,0,1708032
0.2,0.0,0.0,0,1708032
0.0,0.0,0.0,0,1708032
0.0,0.0,0.0,0,1708032
0.0,0.0,0.0,0,1708032
0.5,22.2,0.30625,0,2306048
0.3,11.1,0.30625,0,1740800
0.0,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.2,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.2,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.3,40.0,0.4609375,0,1970176
0.2,0.0,0.153125,0,1740800
0.0,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.0,0.0,0.0,0,1740800
0.2,10.0,0.0,0,1748992
0.8,40.0,0.615625,0,1748992
0.0,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.6,44.4,0.615625,0,1937408
0.2,0.0,0.0,0,1744896
0.0,0.0,0.0,0,1744896
0.0,0.0,0.0,0,1744896
0.0,0.0,0.0,0,1744896
0.0,0.0,0.30625,0,1753088
0.3,20.0,0.30625,0,1748992
0.0,0.0,0.0,0,1748992
0.2,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.3,25.0,0.6140625,0,1748992
0.0,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.0,0.0,0.0,0,1748992
0.6,30.0,0.4609375,0,1884160
0.3,11.1,0.153125,0,1753088
0.0,0.0,0.0,0,1753088
0.0,0.0,0.0,0,1753088
0.3,18.2,0.153125,0,1986560
1.1,53.8,0.459375,0,1753088
0.6,36.4,0.615625,0,1777664
0.2,0.0,0.0,0,1753088
0.2,0.0,0.0,0,1753088
0.0,0.0,0.0,0,1753088
0.3,40.0,0.4609375,0,1748992
0.5,11.1,0.3078125,0,1753088
0.0,0.0,0.0,0,1753088
0.0,0.0,0.0,0,1753088
0.3,20.0,0.153125,0,2285568
5.9,45.5,0.615625,0,2138112
0.5,12.5,0.4609375,0,2199552
0.2,0.0,0.0,0,2199552
0.0,0.0,0.0,0,2199552
0.3,0.0,0.0,0,2199552
0.9,50.0,0.459375,0,2203648
0.6,0.0,0.1546875,0,2232320
0.2,0.0,0.0,0,2232320
0.3,0.0,0.0,0,2232320
0.6,27.3,0.153125,0,2523136
1.2,45.5,0.615625,0,2265088
0.8,36.4,0.459375,0,2265088
0.0,0.0,0.0,0,2265088
0.0,0.0,0.0,0,2265088
0.2,10.0,0.153125,0,2265088
0.8,45.5,0.4609375,0,2281472
0.8,30.0,0.615625,0,2281472
0.2,11.1,0.30625,0,2281472
0.2,0.0,0.0,0,2281472
0.3,30.0,0.3078125,0,2363392
0.5,33.3,0.6109375,0,2363392
0.5,20.0,0.3078125,0,2375680
0.0,0.0,0.0,0,2375680
0.0,0.0,0.0,0,2375680
0.3,10.0,0.0,0,2379776
0.5,33.3,0.6140625,0,2400256
0.6,36.4,0.3078125,0,2400256
0.3,18.2,0.153125,0,2400256
0.0,0.0,0.0,0,2400256
0.5,33.3,0.459375,0,2449408
0.8,33.3,0.615625,0,2465792
0.5,27.3,0.30625,0,2465792
0.0,0.0,0.0,0,2465792
0.0,0.0,0.0,0,2465792
0.5,18.2,0.0,0,2465792
0.8,45.5,0.7640625,0,2465792
0.8,41.7,0.3078125,0,2465792
0.2,0.0,0.0,0,2465792
0.2,0.0,0.0,0,2465792
0.5,36.4,0.4625,0,2519040
0.9,50.0,0.615625,0,2523136
0.6,33.3,0.615625,0,2523136
0.3,11.1,0.3078125,0,2523136
0.0,9.1,0.0,0,2523136
0.6,38.5,0.3078125,0,2523136
0.8,50.0,0.6140625,0,2523136
0.5,22.2,0.3078125,0,2523136
0.0,0.0,0.0,0,2523136
0.2,0.0,0.0,0,2523136
0.9,50.0,0.765625,0,2625536
0.6,40.0,0.4625,0,2641920
0.6,33.3,0.459375,0,2641920
0.5,18.2,0.3078125,0,2641920
0.2,0.0,0.0,0,2641920
0.2,22.2,0.3078125,0,2641920
0.6,44.4,0.615625,0,2646016
0.5,20.0,0.3078125,0,2646016
0.0,9.1,0.0,0,2646016
0.0,9.1,0.0,0,2646016
0.6,44.4,0.7640625,0,2596864
0.8,33.3,0.459375,0,2600960
0.6,40.0,0.4625,0,2600960
0.3,10.0,0.30625,0,2600960
0.0,0.0,0.0,0,2600960
0.6,27.3,0.3078125,0,2600960
0.8,54.5,0.6171875,0,2666496
0.9,50.0,0.4609375,0,2596864
0.3,11.1,0.4609375,0,2596864
0.0,11.1,0.1546875,0,2875392
1.1,53.8,0.6140625,0,2625536
0.8,44.4,0.6109375,0,2625536
0.8,36.4,0.4625,0,2625536
0.2,10.0,0.0,0,2625536
0.0,0.0,0.0,0,2625536
0.5,40.0,0.459375,0,2625536
0.8,50.0,0.7703125,0,2625536
0.8,40.0,0.4609375,0,2625536
0.0,0.0,0.1546875,0,2625536
0.3,20.0,0.3078125,0,2883584
0.3,14.3,0.6125,0,2666496
0.6,44.4,0.459375,0,2666496
0.6,36.4,0.4578125,0,2666496
0.0,0.0,0.0,0,2666496
0.2,0.0,0.0,0,2666496
0.6,45.5,0.6140625,0,2666496
0.5,25.0,0.6140625,0,2666496
0.6,50.0,0.4609375,0,2666496
0.6,10.0,0.30625,0,2666496
0.0,22.2,0.1546875,0,2985984
0.6,33.3,0.6125,0,2752512
0.8,45.5,0.615625,0,2756608
0.5,37.5,0.6171875,0,2756608
0.6,36.4,0.459375,0,2756608
0.2,11.1,0.1546875,0,2756608
1.1,45.5,0.4609375,0,2756608
0.8,54.5,0.6140625,0,2756608
0.8,40.0,0.6125,0,2752512
0.2,0.0,0.0,0,2752512
0.8,45.5,0.6109375,0,2809856
0.3,33.3,0.6109375,0,2809856
1.1,50.0,0.615625,0,2809856
0.5,45.5,0.4625,0,2809856
0.2,0.0,0.30625,0,2809856
0.3,18.2,0.153125,0,2809856
0.8,45.5,0.4625,0,2809856
1.1,50.0,0.615625,0,2809856
0.6,40.0,0.6125,0,2809856
0.0,0.0,0.0,0,2809856
0.5,40.0,0.615625,0,2797568
0.3,14.3,0.4625,0,2797568
0.6,37.5,0.6140625,0,2797568
0.5,33.3,0.4609375,0,2801664
0.3,22.2,0.3078125,0,2801664
0.3,20.0,0.3078125,0,2801664
0.5,37.5,0.6140625,0,2797568
0.3,14.3,0.615625,0,2797568
0.6,50.0,0.615625,0,2801664
0.6,30.0,0.4609375,0,2801664
0.8,50.0,0.6109375,0,2805760
0.8,54.5,0.6140625,0,2805760
0.9,40.0,0.6125,0,2805760
0.8,40.0,0.4609375,0,2805760
0.0,18.2,0.153125,0,2805760
0.6,33.3,0.4625,0,2805760
1.1,50.0,0.6140625,0,2809856
0.6,33.3,0.4609375,0,2838528
0.6,44.4,0.76875,0,2805760
0.2,22.2,0.3078125,0,2805760
0.6,40.0,0.4625,0,2809856
1.2,58.3,0.615625,0,2809856
0.6,40.0,0.6140625,0,2805760
0.9,54.5,0.615625,0,2826240
0.2,20.0,0.3078125,0,2826240
0.5,22.2,0.3078125,0,2826240
0.8,50.0,0.6125,0,2805760
0.3,25.0,0.6171875,0,2805760
0.6,33.3,0.6125,0,2805760
0.3,33.3,0.4625,0,2805760
0.3,10.0,0.153125,0,2805760
0.6,33.3,0.459375,0,2805760
0.5,40.0,0.6140625,0,2805760
0.8,44.4,0.615625,0,2805760
0.6,33.3,0.615625,0,2805760
0.5,25.0,0.30625,0,2805760
0.6,50.0,0.7703125,0,2838528
0.9,50.0,0.6171875,0,2809856
0.5,37.5,0.765625,0,2809856
3.8,20.0,0.153125,0,2809856
2.3,33.3,0.3078125,0,2809856
0.9,40.0,0.4578125,0,2809856
1.1,50.0,0.7640625,0,2809856
1.4,54.5,0.615625,0,2818048
0.9,22.2,0.30625,0,2818048
0.8,27.3,0.3078125,0,2822144
0.8,45.5,0.459375,0,2822144
0.6,22.2,0.4609375,0,2822144
1.1,45.5,0.30625,0,2822144
0.3,20.0,0.4625,0,2822144
0.2,12.5,0.3078125,0,2822144
0.9,46.2,0.3078125,0,2822144
0.5,22.2,0.459375,0,2822144
0.6,36.4,0.459375,0,2822144
0.8,36.4,0.4609375,0,2818048
0.3,11.1,0.153125,0,2818048
0.3,30.0,0.3078125,0,2818048
0.8,36.4,0.3078125,0,2842624
0.5,40.0,0.4609375,0,2822144
0.8,36.4,0.4625,0,2818048
0.6,40.0,0.4625,0,2818048
0.6,36.4,0.4609375,0,2859008
0.9,30.0,0.4609375,0,2826240
0.3,33.3,0.459375,0,2826240
0.8,44.4,0.6125,0,2826240
0.3,11.1,0.1546875,0,2826240
0.9,53.8,0.6125,0,2826240
0.5,40.0,0.615625,0,2830336
0.9,44.4,0.615625,0,2826240
0.8,40.0,0.4625,0,2826240
0.5,36.4,0.4625,0,2826240
1.1,54.5,0.615625,0,2830336
0.8,33.3,0.4625,0,2830336
0.2,33.3,0.6140625,0,2830336
0.9,45.5,0.6125,0,2830336
0.3,22.2,0.1546875,0,2830336
0.6,36.4,0.6109375,0,2830336
0.8,50.0,0.4609375,0,2830336
0.9,45.5,0.615625,0,2830336
0.6,33.3,0.4609375,0,2830336
0.2,20.0,0.4609375,0,2830336
0.6,30.0,0.3078125,0,2830336
0.8,40.0,0.4609375,0,2826240
0.6,50.0,0.615625,0,2826240
0.8,45.5,0.6140625,0,2826240
0.8,37.5,0.615625,0,2830336
0.9,50.0,0.4609375,0,2830336
0.8,50.0,0.6140625,0,2830336
0.8,40.0,0.4609375,0,2830336
0.6,33.3,0.7703125,0,2838528
0.5,30.0,0.3078125,0,2838528
0.5,36.4,0.4625,0,2838528
0.6,33.3,0.615625,0,2838528
0.9,50.0,0.459375,0,2838528
0.5,37.5,0.6171875,0,2891776
0.5,30.0,0.4609375,0,2891776
0.8,40.0,0.4625,0,2891776
0.5,25.0,0.615625,0,2891776
0.3,33.3,0.4609375,0,2891776
1.1,53.8,0.615625,0,2891776
0.8,40.0,0.3078125,0,2891776
0.5,30.0,0.4609375,0,2891776
0.2,25.0,0.615625,0,2891776
0.5,33.3,0.459375,0,2920448
0.8,50.0,0.6171875,0,2895872
0.3,20.0,0.30625,0,2895872
0.8,22.2,0.4609375,0,2895872
0.6,41.7,0.459375,0,2895872
0.8,40.0,0.4578125,0,2895872
0.5,50.0,0.615625,0,2895872
0.8,40.0,0.6171875,0,2895872
0.9,37.5,0.459375,0,2895872
0.5,36.4,0.615625,0,2895872
0.8,50.0,0.459375,0,2834432
0.5,33.3,0.6109375,0,2834432
0.6,30.0,0.4625,0,2834432
0.6,30.0,0.3078125,0,2834432
0.3,40.0,0.6125,0,2834432
0.9,45.5,0.459375,0,2834432
0.5,37.5,0.615625,0,2834432
0.6,40.0,0.6171875,0,2834432
0.6,36.4,0.459375,0,2834432
0.8,44.4,0.615625,0,2834432
0.9,50.0,0.6140625,0,2834432
0.6,40.0,0.4578125,0,2834432
0.8,41.7,0.4625,0,2834432
0.5,33.3,0.3078125,0,2834432
0.5,22.2,0.6125,0,2834432
0.9,50.0,0.459375,0,2834432
0.9,50.0,0.6109375,0,2838528
0.5,33.3,0.459375,0,2838528
0.5,20.0,0.30625,0,2838528
0.9,50.0,0.4609375,0,2838528
0.5,33.3,0.6140625,0,2838528
0.8,44.4,0.6140625,0,2838528
0.5,40.0,0.459375,0,2838528
0.9,50.0,0.6109375,0,2838528
1.1,45.5,0.7640625,0,2834432
0.2,33.3,0.459375,0,2834432
0.8,33.3,0.4625,0,2834432
0.5,33.3,0.6171875,0,2834432
0.8,36.4,0.3078125,0,2834432
0.9,45.5,0.4609375,0,2834432
0.6,33.3,0.615625,0,2834432
0.5,37.5,0.615625,0,2838528
0.5,40.0,0.4609375,0,2838528
0.6,28.6,0.615625,0,2838528
0.6,45.5,0.6140625,0,2838528
0.5,33.3,0.4609375,0,2838528
0.6,40.0,0.6125,0,2838528
0.5,25.0,0.4609375,0,2838528
0.6,30.0,0.4609375,0,2838528
0.3,40.0,0.4625,0,2838528
0.6,22.2,0.3078125,0,2838528
0.9,45.5,0.6140625,0,2838528
0.5,33.3,0.615625,0,2838528
0.5,36.4,0.3078125,0,2838528
0.6,30.0,0.30625,0,2838528
0.6,40.0,0.6140625,0,2838528
0.6,40.0,0.6125,0,2838528
0.9,50.0,0.615625,0,2838528
0.2,25.0,0.4625,0,2838528
0.8,45.5,0.4609375,0,2838528
0.6,33.3,0.615625,0,2838528
0.5,33.3,0.615625,0,2838528
0.8,40.0,0.459375,0,2838528
0.6,30.0,0.30625,0,2838528
0.5,40.0,0.4578125,0,2838528
0.9,45.5,0.615625,0,2838528
0.8,50.0,0.6125,0,2838528
1.1,45.5,0.615625,0,2838528
0.8,50.0,0.4609375,0,2838528
0.6,36.4,0.4625,0,2838528
0.8,50.0,0.615625,0,2838528
0.5,25.0,0.459375,0,2838528
0.8,50.0,0.615625,0,2838528
0.6,22.2,0.4609375,0,2838528
0.5,33.3,0.4609375,0,2838528
0.5,25.0,0.459375,0,2838528
0.5,40.0,0.4625,0,2838528
