CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.6,11.1,0.153125,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.2,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.5,20.0,0.3078125,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.2,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.0,0.0,0.0,0,1630208
0.5,27.3,0.30625,0,1605632
0.0,0.0,0.0,0,1605632
0.0,0.0,0.0,0,1605632
0.2,0.0,0.0,0,1605632
0.0,0.0,0.0,0,1605632
0.3,20.0,0.153125,0,1605632
0.5,9.1,0.153125,0,1605632
0.0,0.0,0.0,0,1605632
0.0,0.0,0.0,0,1605632
0.0,0.0,0.0,0,1605632
0.2,20.0,0.153125,0,1601536
0.0,0.0,0.0,0,1601536
0.0,0.0,0.0,0,1601536
0.0,0.0,0.0,0,1601536
0.0,0.0,0.0,0,1601536
0.5,11.1,0.30625,0,1601536
0.2,0.0,0.0,0,1601536
0.0,0.0,0.0,0,1601536
0.0,0.0,0.0,0,1601536
0.2,18.2,0.1546875,0,1744896
0.0,9.1,0.153125,0,1695744
0.0,0.0,0.0,0,1695744
0.2,0.0,0.0,0,1695744
0.0,0.0,0.0,0,1695744
0.0,0.0,0.0,0,1699840
0.5,11.1,0.3078125,0,1699840
0.2,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.2,18.2,0.3078125,0,1699840
0.2,20.0,0.3078125,0,1695744
0.3,10.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.2,0.0,0.153125,0,1699840
0.5,27.3,0.153125,0,1699840
0.2,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.3,11.1,0.30625,0,1732608
0.3,25.0,0.3078125,0,1732608
0.2,0.0,0.1546875,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.2,10.0,0.153125,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.2,0.0,0.0,0,1732608
0.5,27.3,0.30625,0,1798144
0.2,10.0,0.3078125,0,1802240
0.0,0.0,0.1546875,0,1802240
0.0,0.0,0.0,0,1802240
0.0,0.0,0.0,0,1802240
0.3,10.0,0.1546875,0,1802240
0.6,33.3,0.153125,0,1802240
0.0,0.0,0.1546875,0,1802240
0.0,0.0,0.0,0,1802240
0.0,0.0,0.0,0,1802240
0.5,20.0,0.3078125,0,1875968
0.5,27.3,0.3078125,0,1875968
0.0,0.0,0.0,0,1875968
0.0,0.0,0.0,0,1875968
0.0,0.0,0.0,0,1875968
