CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.6,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.3,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.3,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.3,20.0,0.30625,0,2899968
0.2,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.0,0.0,0.0,0,2899968
0.2,9.1,0.0,0,3723264
0.5,27.3,0.3078125,0,4542464
0.0,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.2,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.2,0.0,0.0,0,4542464
0.2,10.0,0.0,0,5328896
0.5,18.2,0.1546875,0,6184960
0.0,0.0,0.0,0,6184960
0.0,0.0,0.0,0,6184960
0.0,0.0,0.0,0,6184960
0.0,0.0,0.0,0,6184960
0.6,27.3,0.30625,0,7438336
0.3,10.0,0.1546875,0,7831552
0.0,0.0,0.0,0,7831552
0.0,0.0,0.0,0,7831552
0.0,11.1,0.153125,0,8785920
0.3,0.0,0.0,0,9478144
0.0,0.0,0.0,0,9478144
0.2,0.0,0.0,0,9478144
0.0,0.0,0.0,0,9478144
0.2,18.2,0.30625,0,9940992
0.5,18.2,0.30625,0,11096064
0.0,0.0,0.0,0,11128832
0.0,0.0,0.0,0,11128832
0.0,0.0,0.0,0,11128832
0.3,11.1,0.153125,0,12705792
0.3,0.0,0.0,0,12771328
0.0,0.0,0.0,0,12771328
0.0,0.0,0.0,0,12771328
0.0,0.0,0.0,0,12771328
0.2,0.0,0.3078125,0,13336576
0.6,20.0,0.153125,0,14422016
0.0,0.0,0.0,0,14422016
0.0,0.0,0.0,0,14422016
0.0,0.0,0.0,0,14422016
0.3,30.8,0.30625,0,16130048
0.5,20.0,0.3078125,0,17186816
0.0,0.0,0.0,0,17711104
0.2,0.0,0.0,0,17711104
0.0,0.0,0.0,0,17711104
0.2,9.1,0.153125,0,18337792
0.3,11.1,0.3078125,0,19357696
0.0,0.0,0.0,0,19357696
0.0,0.0,0.0,0,19357696
0.0,0.0,0.0,0,19357696
0.5,22.2,0.3078125,0,19988480
0.2,18.2,0.30625,0,19988480
0.0,0.0,0.0,0,19988480
0.0,0.0,0.0,0,19988480
0.2,0.0,0.0,0,19988480
0.2,10.0,0.153125,0,19988480
0.3,10.0,0.153125,0,19988480
0.0,0.0,0.0,0,19988480
0.0,0.0,0.0,0,19988480
0.0,0.0,0.0,0,19988480
0.3,22.2,0.4609375,0,19988480
0.5,11.1,0.1546875,0,20742144
0.0,0.0,0.0,0,20840448
0.0,0.0,0.0,0,20840448
0.0,0.0,0.0,0,20840448
0.5,27.3,0.30625,0,22020096
0.3,11.1,0.3078125,0,23527424
0.2,11.1,0.153125,0,24084480
0.0,0.0,0.0,0,24117248
0.2,0.0,0.153125,0,24805376
0.5,27.3,0.459375,0,26476544
0.3,11.1,0.153125,0,27394048
0.0,0.0,0.0,0,27394048
0.2,0.0,0.0,0,27394048
0.0,0.0,0.0,0,27426816
0.6,22.2,0.3078125,0,29138944
0.5,33.3,0.3078125,0,30392320
0.3,9.1,0.153125,0,30687232
0.0,0.0,0.0,0,30687232
0.2,10.0,0.1546875,0,30687232
0.6,27.3,0.30625,0,30687232
0.0,0.0,0.153125,0,30687232
0.0,0.0,0.0,0,30687232
0.0,0.0,0.0,0,30687232
0.2,0.0,0.0,0,30687232
0.5,22.2,0.4609375,0,30687232
0.5,18.2,0.153125,0,30687232
0.3,9.1,0.0,0,30687232
0.0,0.0,0.0,0,30687232
0.0,10.0,0.153125,0,30687232
0.6,20.0,0.4625,0,30687232
0.3,11.1,0.153125,0,30687232
0.0,10.0,0.153125,0,30687232
0.0,0.0,0.0,0,30720000
0.2,9.1,0.153125,0,31113216
0.3,22.2,0.30625,0,32980992
0.3,25.0,0.153125,0,33865728
0.0,0.0,0.0,0,33996800
0.2,0.0,0.0,0,33996800
0.3,10.0,0.30625,0,35733504
0.5,30.0,0.3078125,0,37244928
0.3,20.0,0.30625,0,38621184
0.3,0.0,0.153125,0,38920192
0.0,0.0,0.0,0,38920192
0.2,18.2,0.153125,0,39477248
0.3,20.0,0.3078125,0,41156608
0.3,20.0,0.30625,0,42176512
0.2,0.0,0.0,0,42209280
0.0,0.0,0.0,0,42209280
0.5,0.0,0.30625,0,42209280
0.2,11.1,0.153125,0,42209280
0.2,11.1,0.30625,0,42209280
0.0,0.0,0.0,0,42209280
0.2,0.0,0.0,0,42209280
0.3,18.2,0.30625,0,42209280
0.5,22.2,0.3046875,0,42209280
3.3,25.0,0.30625,0,42209280
2.2,11.1,0.153125,0,42209280
0.0,0.0,0.0,0,42209280
0.3,11.1,0.30625,0,42209280
0.2,18.2,0.1546875,0,42209280
0.2,0.0,0.0,0,42209280
0.0,0.0,0.0,0,42209280
0.0,0.0,0.0,0,42209280
0.3,18.2,0.153125,0,42209280
0.5,10.0,0.3078125,0,42274816
0.3,10.0,0.153125,0,43618304
0.2,10.0,0.0,0,44077056
0.0,0.0,0.0,0,44109824
0.5,27.3,0.3078125,0,46211072
0.2,10.0,0.153125,0,47816704
0.2,10.0,0.153125,0,48865280
0.2,0.0,0.0,0,48996352
0.0,0.0,0.0,0,48996352
0.3,18.2,0.3046875,0,50667520
0.3,10.0,0.153125,0,52183040
0.3,10.0,0.153125,0,53530624
0.0,0.0,0.0,0,53895168
0.2,0.0,0.153125,0,53927936
0.3,18.2,0.153125,0,53927936
0.3,0.0,0.30625,0,53927936
0.3,18.2,0.153125,0,53927936
0.3,0.0,0.153125,0,53927936
0.0,10.0,0.153125,0,53927936
0.3,20.0,0.30625,0,53927936
0.2,11.1,0.30625,0,53927936
0.3,10.0,0.153125,0,53927936
0.2,0.0,0.0,0,53927936
0.3,10.0,0.153125,0,53927936
0.5,30.0,0.4609375,0,53927936
0.5,20.0,0.30625,0,53927936
0.3,10.0,0.3078125,0,53927936
