CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.5,18.2,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.2,0.0,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.2,0.0,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.0,0.0,0.0,0,2064384
0.3,18.2,0.153125,0,2785280
0.0,0.0,0.153125,0,2883584
0.0,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.2,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.0,0.0,0.0,0,2883584
0.3,10.0,0.1546875,0,3723264
0.2,0.0,0.0,0,3723264
0.0,0.0,0.0,0,3723264
0.0,0.0,0.0,0,3723264
0.0,0.0,0.0,0,3723264
0.2,9.1,0.0,0,3805184
0.2,0.0,0.3078125,0,4542464
0.0,0.0,0.0,0,4542464
0.0,0.0,0.0,0,4542464
0.2,0.0,0.0,0,4542464
0.0,10.0,0.3078125,0,5361664
0.2,0.0,0.0,0,5361664
0.0,0.0,0.0,0,5361664
0.0,0.0,0.0,0,5361664
0.2,0.0,0.0,0,5361664
0.2,10.0,0.0,0,5758976
0.2,0.0,0.30625,0,6189056
0.0,0.0,0.0,0,6189056
0.2,0.0,0.0,0,6189056
0.0,0.0,0.0,0,6189056
0.3,10.0,0.153125,0,7016448
0.0,0.0,0.0,0,7016448
0.2,0.0,0.0,0,7016448
0.0,0.0,0.0,0,7016448
0.0,0.0,0.0,0,7016448
0.6,25.0,0.153125,0,7528448
0.0,9.1,0.0,0,7843840
0.0,0.0,0.0,0,7843840
0.0,0.0,0.0,0,7843840
0.0,0.0,0.0,0,7843840
0.5,10.0,0.30625,0,8736768
0.2,20.0,0.1546875,0,9478144
0.0,0.0,0.0,0,9494528
0.0,0.0,0.0,0,9494528
0.2,0.0,0.0,0,9494528
0.2,10.0,0.1546875,0,10043392
0.2,0.0,0.1546875,0,10321920
0.0,0.0,0.0,0,10321920
0.0,0.0,0.0,0,10321920
0.0,0.0,0.0,0,10321920
0.3,20.0,0.3078125,0,10440704
0.3,18.2,0.153125,0,10440704
0.0,0.0,0.0,0,10440704
0.0,0.0,0.0,0,10440704
0.0,0.0,0.0,0,10440704
0.2,0.0,0.3078125,0,10440704
0.2,0.0,0.0,0,10440704
0.0,0.0,0.0,0,10440704
0.0,0.0,0.0,0,10440704
0.0,10.0,0.0,0,10440704
0.2,0.0,0.30625,0,10440704
0.0,0.0,0.153125,0,10870784
0.0,0.0,0.0,0,10870784
0.0,0.0,0.0,0,10870784
0.3,0.0,0.0,0,10887168
0.2,11.1,0.3078125,0,11788288
0.5,25.0,0.153125,0,12378112
0.2,10.0,0.0,0,12513280
0.0,0.0,0.0,0,12513280
0.2,10.0,0.1546875,0,13029376
0.5,0.0,0.4625,0,13824000
0.2,9.1,0.0,0,14168064
