CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.5,33.3,0.4609375,0,2850816
0.5,18.2,0.153125,0,1671168
0.2,0.0,0.0,0,1671168
0.0,0.0,0.0,0,1671168
0.0,0.0,0.0,0,1671168
0.0,0.0,0.0,0,1671168
0.2,0.0,0.0,0,1671168
0.0,0.0,0.0,0,1671168
0.0,0.0,0.0,0,1671168
0.0,0.0,0.153125,0,1974272
0.6,40.0,0.4609375,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.2,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.3,10.0,0.1546875,0,2129920
0.6,40.0,0.6125,0,1712128
0.0,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.2,0.0,0.0,0,1712128
0.3,30.0,0.3078125,0,1802240
0.6,27.3,0.153125,0,1716224
0.0,0.0,0.0,0,1716224
0.0,0.0,0.0,0,1716224
0.3,20.0,0.3078125,0,2273280
0.5,27.3,0.3078125,0,1712128
0.2,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.2,0.0,0.30625,0,1716224
0.3,22.2,0.30625,0,1716224
0.0,0.0,0.153125,0,1716224
0.0,0.0,0.0,0,1716224
0.0,0.0,0.0,0,1716224
0.6,30.0,0.4609375,0,2301952
0.5,20.0,0.153125,0,1712128
0.0,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.0,0.0,0.0,0,1712128
0.2,18.2,0.1546875,0,1740800
0.8,40.0,0.6140625,0,1716224
0.0,9.1,0.0,0,1716224
0.0,0.0,0.0,0,1716224
0.0,0.0,0.0,0,1716224
0.5,30.0,0.3078125,0,1847296
0.9,30.0,0.4609375,0,1736704
0.3,33.3,0.4609375,0,1716224
0.2,8.3,0.153125,0,1716224
0.0,0.0,0.0,0,1716224
0.5,20.0,0.153125,0,1728512
0.5,36.4,0.4625,0,1716224
0.0,0.0,0.0,0,1716224
0.0,0.0,0.0,0,1716224
0.2,0.0,0.0,0,1716224
0.5,25.0,0.4625,0,1912832
0.6,40.0,0.4609375,0,2002944
0.0,10.0,0.3078125,0,2002944
0.2,0.0,0.0,0,2002944
0.0,0.0,0.0,0,2002944
0.6,20.0,0.3078125,0,2002944
0.3,30.0,0.1546875,0,2002944
0.0,0.0,0.0,0,2002944
0.0,0.0,0.0,0,2002944
0.0,0.0,0.0,0,2002944
0.6,28.6,0.765625,0,2125824
0.8,50.0,0.459375,0,2093056
0.2,0.0,0.0,0,2093056
0.0,0.0,0.0,0,2093056
0.0,0.0,0.0,0,2093056
3.1,12.5,0.4609375,0,2093056
1.4,53.8,0.6125,0,2043904
0.6,30.0,0.30625,0,2052096
0.3,0.0,0.0,0,2052096
0.5,0.0,0.0,0,2093056
0.6,37.5,0.6109375,0,2351104
1.1,40.0,0.6140625,0,2170880
0.0,0.0,0.0,0,2170880
0.0,0.0,0.0,0,2170880
0.0,0.0,0.0,0,2170880
0.5,20.0,0.153125,0,2170880
0.6,36.4,0.615625,0,2371584
0.3,30.0,0.1546875,0,2138112
0.0,0.0,0.0,0,2138112
0.2,0.0,0.153125,0,2404352
0.9,44.4,0.76875,0,2142208
0.5,41.7,0.30625,0,2138112
0.0,0.0,0.0,0,2138112
0.2,0.0,0.0,0,2138112
0.0,0.0,0.0,0,2138112
0.6,25.0,0.4625,0,2174976
0.3,22.2,0.459375,0,2363392
0.3,20.0,0.1546875,0,2158592
0.2,0.0,0.0,0,2158592
0.3,16.7,0.153125,0,2433024
0.6,45.5,0.6125,0,2392064
0.9,50.0,0.615625,0,2269184
0.6,40.0,0.4625,0,2269184
0.3,9.1,0.153125,0,2269184
0.2,10.0,0.0,0,2269184
0.8,40.0,0.4625,0,2265088
0.6,40.0,0.6125,0,2269184
0.2,0.0,0.3078125,0,2269184
0.0,0.0,0.0,0,2269184
0.6,27.3,0.3078125,0,2269184
0.6,50.0,0.4625,0,2273280
0.5,30.0,0.4609375,0,2269184
0.9,40.0,0.459375,0,2269184
0.0,0.0,0.0,0,2269184
0.2,10.0,0.153125,0,2269184
0.5,40.0,0.615625,0,2387968
0.8,40.0,0.459375,0,2285568
0.3,10.0,0.153125,0,2285568
0.0,0.0,0.0,0,2285568
0.3,30.0,0.4625,0,2400256
0.9,45.5,0.615625,0,2281472
0.8,40.0,0.4609375,0,2285568
0.3,12.5,0.3078125,0,2289664
0.0,9.1,0.0,0,2289664
