CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.2,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
7.1,18.2,0.0,0,622592
2.0,0.0,0.0,0,622592
0.5,0.0,0.0,0,622592
0.8,0.0,0.0,0,622592
0.2,0.0,0.0,0,622592
0.3,0.0,0.0,0,622592
0.3,10.0,0.0,0,1466368
0.6,0.0,0.0,0,1466368
0.6,0.0,0.0,0,1466368
0.2,0.0,0.0,0,1466368
0.2,0.0,0.0,0,1466368
0.6,0.0,0.0,0,1466368
0.2,0.0,0.0,0,1466368
0.0,0.0,0.0,0,1466368
0.2,0.0,0.0,0,1466368
0.0,0.0,0.0,0,1466368
0.3,0.0,0.1546875,0,1482752
0.0,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.2,0.0,0.0,0,1482752
0.0,0.0,0.0,0,1482752
0.2,0.0,0.0,0,1482752
0.0,0.0,0.153125,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.2,0.0,0.0,0,1490944
0.5,25.0,0.153125,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.2,0.0,0.0,0,1490944
0.2,18.2,0.1546875,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.2,0.0,0.0,0,1490944
0.0,0.0,0.1546875,0,1490944
0.2,10.0,0.153125,0,1490944
0.2,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.0,0.0,0.0,0,1490944
0.2,0.0,0.1546875,0,1359872
0.2,0.0,0.0,0,1359872
0.0,0.0,0.0,0,1359872
0.2,0.0,0.0,0,1359872
