CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.6,16.7,0.0,0,679936
0.2,9.1,0.0,0,679936
0.5,0.0,0.0,0,679936
0.2,0.0,0.0,0,679936
0.3,0.0,0.0,0,679936
0.3,0.0,0.0,0,679936
0.6,20.0,0.3078125,0,2580480
0.5,9.1,0.0,0,2580480
0.2,0.0,0.0,0,2580480
0.0,0.0,0.0,0,2580480
0.2,9.1,0.0,0,2580480
0.0,0.0,0.0,0,2580480
0.2,0.0,0.0,0,2580480
0.0,0.0,0.0,0,2580480
0.2,9.1,0.0,0,2580480
0.0,0.0,0.0,0,2580480
0.3,0.0,0.153125,0,2617344
0.0,9.1,0.0,0,2617344
0.0,0.0,0.0,0,2617344
0.2,0.0,0.0,0,2617344
0.0,0.0,0.0,0,2617344
0.2,9.1,0.0,0,2617344
0.0,0.0,0.0,0,2617344
0.0,0.0,0.0,0,2617344
0.2,0.0,0.0,0,2617344
0.0,0.0,0.0,0,2617344
0.3,20.0,0.3078125,0,2641920
0.2,0.0,0.0,0,2641920
0.2,0.0,0.0,0,2641920
0.2,0.0,0.0,0,2641920
0.0,0.0,0.0,0,2641920
0.3,18.2,0.1546875,0,2641920
0.3,20.0,0.30625,0,2641920
0.2,0.0,0.0,0,2641920
0.0,0.0,0.0,0,2641920
0.0,9.1,0.0,0,2641920
0.3,11.1,0.3078125,0,2650112
0.0,0.0,0.0,0,2650112
0.0,0.0,0.0,0,2650112
0.0,0.0,0.0,0,2650112
0.0,0.0,0.0,0,2650112
0.3,20.0,0.1546875,0,2650112
0.2,10.0,0.153125,0,2650112
0.0,0.0,0.0,0,2650112
0.0,9.1,0.0,0,2650112
0.2,0.0,0.0,0,2650112
0.5,20.0,0.30625,0,2662400
0.2,0.0,0.0,0,2662400
0.0,0.0,0.0,0,2662400
0.0,0.0,0.0,0,2662400
0.0,0.0,0.0,0,2662400
0.5,33.3,0.30625,0,2662400
0.0,0.0,0.0,0,2662400
0.0,0.0,0.0,0,2662400
0.2,0.0,0.0,0,2662400
0.3,10.0,0.1546875,0,2699264
0.2,20.0,0.1546875,0,2699264
0.6,20.0,0.3078125,0,2699264
0.0,0.0,0.0,0,2699264
0.0,0.0,0.0,0,2699264
0.0,0.0,0.0,0,2699264
0.8,41.7,0.4625,0,2699264
0.2,0.0,0.0,0,2699264
0.0,0.0,0.0,0,2699264
0.2,0.0,0.0,0,2699264
0.5,20.0,0.1546875,0,2711552
0.2,10.0,0.3078125,0,2711552
0.3,18.2,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.5,30.0,0.3078125,0,2711552
0.2,0.0,0.153125,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.5,18.2,0.1546875,0,2711552
0.2,27.3,0.3078125,0,2711552
0.2,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.2,10.0,0.1546875,0,2711552
0.3,30.0,0.459375,0,2711552
0.5,11.1,0.30625,0,2711552
0.0,9.1,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.6,20.0,0.1546875,0,2711552
0.0,0.0,0.4625,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.2,0.0,0.0,0,2711552
0.3,18.2,0.153125,0,2711552
0.5,30.0,0.3078125,0,2711552
0.2,11.1,0.459375,0,2711552
0.0,0.0,0.0,0,2711552
0.2,0.0,0.0,0,2711552
0.3,27.3,0.153125,0,2711552
0.5,27.3,0.30625,0,2711552
0.2,0.0,0.1546875,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.2,0.0,0.1546875,0,2711552
0.8,41.7,0.3078125,0,2711552
0.2,18.2,0.153125,0,2711552
0.0,0.0,0.0,0,2711552
0.0,0.0,0.0,0,2711552
0.6,22.2,0.4625,0,2764800
0.6,33.3,0.153125,0,2764800
0.5,22.2,0.3078125,0,2764800
0.2,9.1,0.153125,0,2764800
0.2,0.0,0.0,0,2764800
0.3,11.1,0.3078125,0,2764800
0.5,30.0,0.3078125,0,2764800
0.3,10.0,0.1546875,0,2764800
0.0,0.0,0.0,0,2764800
0.0,0.0,0.0,0,2764800
0.5,30.0,0.3078125,0,2764800
0.6,41.7,0.4625,0,2764800
0.2,11.1,0.3078125,0,2764800
0.0,0.0,0.0,0,2764800
0.0,0.0,0.0,0,2764800
0.5,11.1,0.1546875,0,2764800
0.2,20.0,0.3078125,0,2764800
0.2,0.0,0.1546875,0,2764800
0.0,0.0,0.0,0,2764800
0.0,0.0,0.0,0,2764800
0.5,30.0,0.459375,0,2793472
0.8,40.0,0.459375,0,2793472
0.0,0.0,0.153125,0,2793472
0.2,0.0,0.0,0,2793472
0.0,0.0,0.0,0,2793472
0.3,22.2,0.30625,0,2793472
0.3,30.0,0.3078125,0,2793472
0.5,30.0,0.3078125,0,2793472
