Method,Name,Error,Occurrences
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:31:12 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:30:22 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:31:21 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:30:43 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",3
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:31:28 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:30:36 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-128K.html,LocustBadStatusCode(code=502),1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:30:10 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:31:39 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Mon, 21 Jul 2025 09:30:40 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 06:56:30 GMT\', \'ETag\': \'""687de49e-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",1
