Bytes_sent,Bytes_received
63705890041,64054842824
63705892722,64054845505
63705895084,64054847867
63705897446,64054850229
63705898627,64054851410
63717653547,64066606330
63719528074,64068480857
63719529463,64068482246
63719534404,64068487187
63719535585,64068488368
63719537947,64068490730
63719557190,64068509973
63733152010,64082104793
63733153191,64082105974
63733155761,64082108544
63733159627,64082112390
63733161989,64082114752
63733163170,64082115933
63737043756,64085996519
63746816761,64095769524
63746819459,64095772222
63746823219,64095775982
63756344835,64105297598
63760391890,64109344653
63760404473,64109355559
63772407346,64121358501
63773997657,64122948784
63774000227,64122951354
63776995339,64125946466
63787620997,64136572148
63787622617,64136573698
63792542730,64141493811
63801380441,64150331522
63801382803,64150333884
63801385692,64150336773
63812424058,64161375139
63815115821,64164066902
63815118846,64164069993
63829297895,64178248948
63842051829,64191002882
63842326158,64191277211
63845603617,64194987856
63855938314,64208123455
63855947127,64209465116
63858852000,64212369989
63872943303,64226461292
63883268025,64236786014
63883270706,64236788695
63891215653,64244733642
63896923886,64250441875
63896926248,64250444237
63908414292,64261932281
63923148877,64276666678
63924430385,64277948186
63925322102,64278840035
63940509164,64294027003
63951358263,64304876168
63953607328,64307125233
63970387340,64323905217
63978981771,64332499564
63978984452,64332502245
63987479557,64340997350
63998133153,64351650946
64006243226,64359761019
64016872763,64370390556
64030987484,64384505277
64033423007,64386940800
64034243237,64387761030
64044253911,64397771704
64059326781,64412844574
64060704929,64414222722
64076184551,64429702344
64092920440,64446438233
64101742568,64455260361
64111572678,64465090471
64128751250,64482269043
64134083852,64487601645
64148384828,64501902621
64163770877,64517288670
64170264451,64523782244
64181405661,64534923454
64196371743,64549889536
64197462960,64550980753
64209594100,64563111893
64224426172,64577943965
64238198480,64591716273
64243950507,64597468300
64258038554,64611556347
64273014812,64626532605
64285960323,64639478116
64301231423,64654749188
64315874055,64669391820
64320483302,64674001039
64330771884,64684289645
64341775729,64695293490
64358099742,64711617503
64373090800,64726608561
64385820232,64739337993
64402101790,64755619551
64405686155,64759203853
64419310145,64772831808
64433230548,64786752830
64449193954,64802716860
64463634114,64817156872
64479646045,64833168731
64496905440,64850428236
64509814052,64863336713
64524202524,64877725271
64541172272,64894695149
64553778182,64907301616
64569717428,64923240862
64582602589,64936126023
64598391138,64951914572
64613306388,64966829822
64626683077,64980206377
64639933006,64993458788
64651306596,65004832378
64665826141,65019351923
64680602492,65034128274
64695195869,65048721651
64710389123,65063914905
64725646310,65079172092
64743313991,65096839745
64757329413,65110855167
64774230209,65127755879
64792111535,65145637205
64805825709,65159351379
64824739157,65178264827
64838651095,65192176765
64854461877,65207987547
64873105102,65226630772
64887293665,65240819335
64901538672,65255064342
64917467605,65270993275
64928706679,65282232349
64942678966,65296204602
64956086769,65309611756
64971396355,65324922921
64984073912,65337603638
64996673165,65350203251
65010708447,65364238641
65024456430,65377986624
65041564317,65395094511
65057896022,65411426216
65072985054,65426515248
65091499811,65445029629
65107086019,65460616112
65120621262,65474151355
65134259396,65487789489
65149955887,65503486032
65167237545,65520767502
65180645601,65534175690
65193467573,65546997662
65208127464,65561657553
65224915730,65578445819
65240511727,65594041788
65256108973,65609639034
65270596921,65624126978
65283676856,65637206913
65296788847,65650318904
65307865080,65661395137
65322004853,65675534910
65334609725,65688139834
65352067709,65705597818
65368838836,65722368945
65385552891,65739083000
65400110222,65753640331
65415428944,65768959053
65431459266,65784989375
65446514808,65800044941
65461685316,65815215449
65475955171,65829485304
65488753291,65842283424
65502393532,65855923665
65517108721,65870635589
65535060540,65888587546
65552151280,65905678286
65565235885,65918762891
65578844201,65932371207
65595346913,65948873919
65610200620,65964366643
65622201589,65978153980
65635729556,65991681947
65650463763,66006416154
65662900849,66018853240
65679549577,66035501968
65693915947,66049868338
65711735131,66067687522
65728500860,66084453223
65745052136,66101004415
65757113408,66113063452
65772374427,66128325543
65786688427,66142639609
65799753649,66155704831
65815266934,66171218116
65828757024,66184708206
65845306739,66201257921
65860846241,66216797423
65873347925,66229296937
65887759208,66243708220
65899373848,66255322860
65912487680,66268436692
65926451477,66282400489
65940011446,66295960458
65951605672,66307554684
65968395562,66324344574
65980942434,66336891446
65996346983,66352295995
66013363818,66369312830
66026538008,66382487020
66046132769,66402081781
66057537878,66413486890
66072626315,66428575327
66085465283,66441414295
66102947862,66458896874
66120468277,66476417289
66131926346,66487875358
66149332091,66505281103
66164478544,66520427556
66179187522,66535136534
66194116531,66550065539
66211746871,66567695879
66228544751,66584493759
66243304286,66599253294
66256383777,66612332765
66274503996,66630452948
66291790448,66647739400
66304368407,66660317359
66320915388,66676864340
66336643417,66692592369
66351615026,66707563978
66365906858,66721855810
66382184948,66738133924
66397466470,66753415446
66413326078,66769275026
66428194896,66784143844
66438792354,66794741302
66454135327,66810084275
66469978839,66825927787
66483554315,66839503263
66495684137,66851633085
66511213335,66867162283
66526552349,66882501297
66540189803,66896138751
66555414083,66911362937
66569792228,66925741148
66582836707,66938785627
66598535046,66954483966
66612860063,66968808795
66626669861,66982618725
66642963010,66998911874
66661645089,67017593953
66680195948,67036144784
66692965641,67048914477
66705208695,67061157475
66720097233,67076046013
66734731972,67090680752
66749857074,67105805854
66764909827,67120858607
66780276413,67136225193
66794219479,67150168259
66808009697,67163958477
66821424768,67177373548
66838429301,67194378081
66849687568,67205636348
66866800691,67222749471
66880847189,67236795941
66893750705,67249699457
66908097170,67264045922
66919733729,67275682481
66933454071,67289402823
66951264647,67307213399
66967546034,67323494786
66981024919,67336973671
66995642260,67351591012
67010774124,67366722876
67023404707,67379353459
67037505682,67393454434
67055103619,67411052371
67074005489,67429954241
67085661843,67441610595
67099651672,67455600424
67112911984,67468860736
67129274693,67485223445
67145659805,67501608581
67160639745,67516588493
67175522907,67531471655
67189207929,67545156677
67203346630,67559295378
67221300878,67577249626
67236195367,67592144115
67248450349,67604399097
67263753822,67619702570
67280503640,67636452388
67293704594,67649653342
67307545966,67663494714
67323580932,67679529704
67341331151,67697279923
67359040249,67714988993
67371464920,67727413664
67389159697,67745108441
67404226254,67760174998
67419110669,67775059413
67434320670,67790269414
67449288612,67805237298
67462954180,67818902866
67475135728,67831084647
67489713895,67845662899
67504035096,67859984100
67517509516,67873458602
67533608369,67889557455
67548139401,67904098723
67562853658,67918820770
67574829898,67930803257
67593837396,67949810696
67607600805,67963574987
67622392385,67978366505
67637084178,67993058415
67651676417,68007650859
67665876375,68021850819
67679585561,68035560005
67692495594,68048470122
67706978431,68062952959
67718844243,68074818852
67736219889,68092195389
67745897446,68101872946
67761638074,68117613574
67777678519,68133654019
67792297439,68148272939
67807117139,68163092639
67824998856,68180974356
67840858860,68196834332
67855136406,68211111878
67869307439,68225282911
67883713148,68239688620
67898423019,68254398491
67915120201,68271094261
67931009901,68286984050
67942549116,68298523265
67959436093,68315410517
67971824790,68327798773
67986104028,68342075909
68001267882,68358509410
68014112461,68373335115
68027395169,68386617823
68042968483,68402593288
68057267817,68416892622
68070070284,68429695089
68087512661,68447137490
68102656315,68462281144
68118682446,68478307275
68135762580,68495387381
68149278501,68508903302
68167660499,68527285386
68182521892,68542146779
68198313799,68557938686
68212602296,68572227183
68226636701,68586261588
68238845951,68598470838
68251712391,68611337302
68267932864,68627557775
68284243652,68643868563
68297841160,68657466071
68313920566,68673545449
68330608820,68690233703
68343132004,68702756887
68357616789,68717241672
68372251716,68731876599
68386809629,68746434512
68401838086,68761462969
68415352864,68774977747
68429320458,68788945341
68443263662,68802888545
68455553968,68815178851
68472001118,68831626001
68486641764,68846266647
68499456031,68859080914
68512659362,68872284245
68531649015,68891273898
68544359231,68903984114
68560710584,68920335467
68575320805,68934945688
68588954481,68948579364
68605647308,68965272163
68620354485,68979979112
68634573279,68994198078
68647970416,69007595215
68664618380,69024243179
68679913968,69039538767
68689701788,69049324128
68704690142,69064313437
68719094892,69078718187
68731004365,69090627660
68747231285,69106854580
68762253204,69121876499
68779075948,69138699243
68794445872,69154066128
68807148445,69166769476
68820682454,69180303485
68833016102,69192637133
68851352733,69210973764
68864265108,69223886139
68879215508,69238836539
68890583679,69250204710
68906425781,69266046812
68918256389,69277877420
68932447683,69292068714
68947384455,69307005486
68963302200,69322923231
68980878462,69340499493
68995685148,69355306179
69010894550,69370515581
69024127089,69383748144
69038822544,69398443599
69052774953,69412396008
69067694108,69427315163
69078775056,69438396083
69094981114,69454602141
69108313670,69467934697
69124370159,69483991186
69134968913,69494589940
69150681073,69510302100
69162484320,69522105347
69178255201,69537876228
69193380579,69553001630
69209891398,69569512449
69226218503,69585839554
69241754532,69601375583
69256915305,69616536356
69273290410,69632908279
69287917975,69647535844
69303719941,69663337810
69320566455,69680184324
69334936086,69694553955
69348245685,69707863366
69364214743,69723832556
69377837277,69737455090
69390432308,69750050121
69404858433,69764476246
69419527776,69779145589
69433469852,69793087665
69448822390,69808440015
69465540181,69825157938
69478182316,69837800073
69492755580,69852373337
69506587228,69866204985
69520447175,69880064932
69536323477,69895943529
69550140303,69909760355
69564522803,69924144548
69580726502,69940348191
69597424903,69957046592
69613139589,69972761278
69626940150,69986561839
69641309420,70000931109
69657323319,70016945008
69675329460,70034951149
69689844584,70049466273
69703592688,70063214377
69715404980,70075026669
69727704725,70087328550
69742205620,70101829445
69759052954,70118676751
69772166267,70131790064
69785423914,70145047711
69799308094,70158931891
69813794714,70173418511
69829974202,70189597999
69844222309,70203846106
69859597346,70219221143
69875581521,70235205318
69889959221,70249583018
69907039418,70266663215
69922655272,70282279069
69936609638,70296233333
69953773387,70313397082
69966215313,70326689575
69980582341,70342505075
69992156819,70354079553
70006497243,70368419977
70024061874,70385984572
70041747414,70403670084
70059629214,70421551864
70073793512,70435716162
70089075588,70450998238
70104277341,70466199991
70118603223,70480525873
70133527344,70495450018
70150111631,70512034305
70164110797,70526033471
70178921846,70540844520
70191079347,70553002021
70205339979,70567262653
70220616804,70582539478
70232641775,70594564421
70248120330,70610042976
70261545273,70623467919
70276904691,70638827337
70290752680,70652675326
70307723011,70669645563
70322841297,70684763903
70339798215,70701720821
70355085828,70717008434
70369482627,70731405233
70384368565,70746291171
70400592622,70762515228
70414953624,70776876230
70429264714,70791187320
70446152446,70808075034
70460595504,70822518092
70475979665,70837902253
70491852135,70853774723
70507579415,70869502003
70523197458,70885120046
70538067045,70899989585
70551604777,70913527261
70567261490,70929183974
70583687076,70945609560
70594337351,70956259835
70608002514,70969924998
70624388083,70986310521
70640025370,71001949293
70653754112,71015677873
70668116845,71030043493
70684187823,71046114635
70698865203,71060792123
70717126134,71079053026
70732224870,71094151762
70747222030,71109148922
70759198371,71121124887
70771908946,71133835462
70791538987,71153465678
70806710988,71168637811
70822949555,71184876464
70838933111,71200860020
70855042837,71216969746
70870241770,71232168679
70883495145,71245421960
70897423519,71259350334
70910973243,71272900148
70924512235,71286439140
70942923785,71304850690
70960065525,71321991498
70977769144,71339695117
70992065643,71353991616
71004492755,71366422043
71019383936,71381313224
71033250907,71395180195
71049733349,71411662637
71064702063,71426631351
71077790440,71439719752
71096595299,71458524611
71112739169,71474668481
71131375901,71493305213
71146357594,71508286906
71159040030,71520969342
71173967568,71535896932
71190369595,71552298959
71205251813,71567181149
71218951547,71580880883
71236291952,71598221288
71251130243,71613059579
71268256222,71630185558
71282547223,71644476559
71297072827,71659002163
71312153316,71674082652
71326507849,71688437185
71340773028,71702702364
71356320375,71718249763
71372654410,71734583798
71388441083,71750370471
71400786933,71762716321
71414070945,71776000333
71428892638,71790819733
71443663880,71805592297
71458422879,71820352590
71472411508,71834340918
71486187029,71848116439
71501841709,71863772513
71515249675,71877179255
71529549657,71891479209
71543725401,71905649597
71554019122,71915943318
71571716428,71933640900
71584596698,71946521170
71601057833,71962982305
71618247434,71980171906
71635266185,71997187228
71647278321,72009200434
71662934013,72024856126
71676156776,72038078889
71692765574,72054687659
71706808328,72068730413
71721769221,72083691306
71736773181,72098692255
71751408328,72113328243
71767475295,72129395210
71778509487,72140429402
71796151484,72158071399
71813023177,72174943092
71826245074,72188164989
71840453203,72202373118
71857741913,72219661852
71873283818,72235203757
71889676698,72251596701
71904851298,72266771301
71917197463,72279117466
71930933374,72292853377
71944836472,72306756475
71960911549,72322831552
71972574687,72334494662
71989917891,72351837866
72006011653,72367931628
72018885418,72380805417
72032882411,72394802410
72048814012,72410734011
72063825841,72425745892
72079022348,72440942399
72091689292,72453609343
72106799414,72468719465
72119225189,72481145240
72137345988,72499266039
72154673955,72516594006
72165901554,72527821577
72180024624,72541944647
72194556078,72556475818
72208584804,72570504544
72220591767,72582511507
72234437290,72596356720
72246091803,72608007904
72259247249,72623888209
72269742997,72635459841
72284204643,72649921487
72299972287,72665689131
72315723500,72681440250
72329590262,72695307012
72341698095,72707414911
