Total_CPU_percent,Total_Memory_percent
34.5,66.5
26.7,66.4
30.8,66.5
27.3,66.6
27.4,66.7
44.1,66.8
20.0,66.8
17.1,66.8
16.1,66.8
17.2,66.8
12.9,66.8
23.1,66.8
48.0,66.9
16.1,66.9
21.3,66.9
14.0,66.9
21.3,66.9
16.9,66.9
27.2,67.0
39.0,67.1
18.5,67.1
22.4,67.1
50.4,66.8
41.7,66.9
19.7,66.9
43.1,67.0
17.9,67.1
17.5,67.1
21.0,67.1
35.0,67.2
26.4,67.2
23.0,67.2
41.7,67.3
16.2,67.3
18.8,67.3
22.6,67.2
32.5,67.3
19.0,67.3
29.2,67.4
45.5,67.6
45.8,67.8
19.0,67.6
40.3,67.5
29.9,67.5
16.1,67.5
45.4,67.7
48.8,67.7
16.1,67.7
24.0,67.7
43.3,67.8
15.7,68.0
25.6,67.6
53.1,67.5
52.0,67.6
17.8,67.5
35.8,67.6
41.9,67.8
37.0,67.8
40.7,68.0
44.1,68.3
29.2,68.4
17.4,68.4
45.8,68.5
47.7,68.7
30.6,68.7
43.8,68.9
48.8,69.2
18.3,69.2
28.0,69.2
48.4,69.3
45.8,69.5
43.9,68.5
46.2,68.6
60.2,68.7
41.1,68.8
46.8,68.7
38.7,68.8
31.5,68.9
46.6,69.2
47.5,69.4
38.5,69.5
41.0,69.6
42.4,69.5
28.9,69.5
44.2,69.6
57.4,69.8
61.2,70.0
41.7,70.1
47.2,70.3
52.0,70.4
49.2,70.5
48.1,70.5
49.6,70.2
54.5,70.3
44.6,70.2
38.5,70.2
51.9,70.6
52.0,70.7
47.5,70.6
45.7,70.4
48.5,70.3
38.9,70.2
45.4,70.1
53.4,70.2
49.6,70.3
55.6,70.5
45.5,70.7
42.0,70.9
52.8,71.0
50.0,71.1
54.0,71.3
45.5,71.3
55.0,71.2
50.8,71.2
46.8,71.2
53.3,71.3
45.5,71.3
48.3,71.4
50.8,71.3
47.0,71.4
47.2,71.4
46.3,71.5
52.1,71.4
50.4,71.2
48.3,71.3
44.6,71.6
59.0,71.8
50.4,72.1
56.3,72.3
54.1,72.5
52.4,72.3
51.6,72.2
59.5,72.4
49.2,72.4
49.2,72.4
50.8,72.3
52.3,72.2
50.8,72.1
54.3,72.2
49.6,72.3
47.9,72.4
45.3,72.4
55.3,72.3
47.7,72.1
48.8,72.1
50.0,72.2
53.9,72.3
51.2,72.4
50.0,72.3
50.4,72.2
48.8,72.5
50.8,72.5
50.0,72.5
57.6,72.6
76.1,72.6
52.5,72.5
53.3,72.3
46.7,72.4
50.0,72.5
48.8,72.6
51.2,72.6
55.3,72.5
47.5,72.4
50.8,72.5
49.2,72.6
52.1,72.6
50.0,72.7
48.0,72.8
58.7,72.8
58.9,72.9
54.4,72.7
48.8,72.8
53.5,72.9
48.8,72.8
48.8,72.7
51.3,72.6
48.3,72.8
52.9,72.9
50.4,72.8
50.4,72.8
50.8,72.6
57.4,72.6
45.5,72.7
52.5,72.5
48.3,72.6
48.8,72.7
57.4,72.7
56.1,72.6
52.8,72.4
52.6,72.5
59.3,72.6
47.2,72.7
52.1,73.0
49.6,73.2
53.8,73.1
52.7,72.9
51.6,72.9
54.7,72.8
49.2,72.9
51.7,72.9
55.1,72.7
51.2,72.6
47.7,72.4
52.0,72.4
48.1,72.5
51.1,72.4
47.7,72.4
56.5,72.4
53.7,72.4
44.6,72.5
55.9,72.6
50.4,72.8
48.7,72.8
52.3,72.9
50.0,72.8
51.9,72.9
49.6,72.9
48.0,72.9
55.0,72.9
47.9,72.9
46.6,72.9
50.8,72.8
46.6,72.7
55.6,72.6
49.2,72.6
49.2,72.6
47.1,72.6
52.3,72.6
53.9,72.6
50.4,72.6
51.5,72.6
47.7,72.7
57.4,72.7
50.8,72.7
46.9,72.7
48.3,72.7
52.9,72.7
54.3,72.7
53.4,72.8
65.7,73.0
50.0,73.1
49.2,73.2
49.6,73.3
45.1,73.3
