Method,Name,Error,Occurrences
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:25:29 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",11
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:16 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",4
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:25:48 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",20
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:25 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",9
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:25:33 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",3
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:23 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",24
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:44 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",3
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:32 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",15
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:38 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",5
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:45 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:25:09 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:25:31 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:28 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",18
GET,/lorem-256K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.29.1\', \'Date\': \'Thu, 07 Aug 2025 10:24:29 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'262144\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 07:00:46 GMT\', \'ETag\': \'""687de59e-40000""\', \'Accept-Ranges\': \'bytes\'}>.')",40
