Bytes_sent,Bytes_received
269463555696,4633483621
269463555696,4633483621
269463555696,4633483621
269463555696,4633483621
269463555696,4633483621
269463555696,4633483621
269463555696,4633483621
269463555696,4633484045
269463555696,4633484045
269463555696,4633484045
269463555696,4633484045
269463555696,4633484045
269463555696,4633484045
269463555696,4633484045
269463555696,4633484151
269463555696,4633484151
269463555696,4633484151
269472175326,4633742191
269494386568,4634152907
269498071362,4634254049
269498071362,4634254049
269498071362,4634254049
269498071362,4634254049
269498071362,4634254049
269498071362,4634254155
269498071362,4634254155
269498071362,4634254155
269514523022,4634606981
269534091494,4635039075
269534091626,4635039075
269534091626,4635039181
269534091626,4635039181
269534091626,4635039181
269534091626,4635039181
269534091626,4635039287
269534091626,4635039287
269534091626,4635039287
269553641914,4635464551
269568717692,4635794615
269568717972,4635795285
269568777906,4635796465
269568777906,4635796465
269569340394,4635807345
269584649912,4636142985
269604977438,4636598937
269604977570,4636598937
269604990768,4636607675
269627763890,4637126387
269641071370,4637409839
269641071370,4637409839
269641071370,4637409839
269641837522,4637426445
269648720014,4637580325
269670814946,4638084161
269677816904,4638243487
269677817036,4638243605
269681398152,4638362009
269702349028,4638805275
269714170188,4639063951
269714170188,4639063951
269714170188,4639063951
269715002150,4639082137
269727171672,4639344363
269747718476,4639814205
269749834912,4639855887
269749834912,4639856061
269756576748,4640036075
269780178188,4640552465
269796991492,4640944939
269817029618,4641386311
269824176128,4641547859
269824176342,4641548583
269839918712,4641900023
269858899384,4642317801
269858899516,4642317975
269858899516,4642317975
269868345950,4642536817
269888537252,4642978441
269911910062,4643506953
269930762652,4643933465
269930762784,4643933647
269931577178,4643953761
269944928462,4644253099
269966692602,4644735859
269968561400,4644775111
269968561400,4644775111
269981028224,4645052053
270003140366,4645555453
270025244234,4646043843
270040083450,4646359187
270040083582,4646359187
270042513278,4646413231
270059018522,4646791363
270080412730,4647263135
270101665252,4647740245
270113755110,4648005077
270130720782,4648393737
270154473566,4648918395
270176460442,4649410911
