CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.0,0.0,0.0,0,151552
0.8,27.3,0.0,0,200704
0.9,58.3,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.8,33.3,0.0,0,200704
0.5,44.4,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.6,28.6,0.0,0,200704
0.8,30.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.8,30.0,0.0,0,200704
0.8,50.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.9,44.4,0.0,0,200704
0.5,41.7,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.3,11.1,0.0,0,200704
0.6,37.5,0.0,0,200704
0.3,18.2,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,10.0,0.0,0,200704
0.9,50.0,0.0,0,200704
0.5,27.3,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,9.1,0.0,0,200704
0.5,12.5,0.0,0,200704
0.8,45.5,0.0,0,200704
0.2,10.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.2,18.2,0.0,0,200704
0.8,44.4,0.0,0,200704
0.8,30.0,0.0,0,200704
0.8,54.5,0.0,0,200704
0.2,11.1,0.0,0,200704
0.0,0.0,0.0,0,200704
0.5,22.2,0.0,0,200704
0.5,33.3,0.0,0,200704
0.0,0.0,0.0,0,200704
0.2,0.0,0.0,0,200704
0.2,20.0,0.0,0,200704
0.9,50.0,0.0,0,200704
0.6,37.5,0.0,0,200704
0.9,50.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.6,30.0,0.0,0,200704
0.6,50.0,0.0,0,200704
0.3,9.1,0.0,0,200704
0.0,0.0,0.0,0,200704
0.3,22.2,0.0,0,200704
0.9,50.0,0.0,0,200704
0.5,37.5,0.0,0,200704
0.5,30.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.2,0.0,0.0,0,200704
0.6,45.5,0.0,0,200704
0.8,40.0,0.0,0,200704
1.2,58.3,0.0,0,200704
0.5,30.0,0.0,0,200704
0.3,25.0,0.0,0,200704
0.8,50.0,0.0,0,200704
0.6,44.4,0.0,0,200704
0.5,27.3,0.0,0,200704
0.2,0.0,0.0,0,200704
0.0,10.0,0.0,0,200704
0.6,30.0,0.0,0,200704
1.1,58.3,0.0,0,200704
0.6,44.4,0.0,0,200704
0.5,20.0,0.0,0,200704
0.8,40.0,0.0,0,200704
0.5,44.4,0.0,0,200704
0.5,44.4,0.0,0,200704
0.5,20.0,0.0,0,200704
0.0,0.0,0.0,0,200704
0.3,16.7,0.0,0,200704
0.8,28.6,0.0,0,200704
0.5,44.4,0.0,0,200704
3.7,40.0,0.0,0,200704
3.8,20.0,0.0,0,200704
0.9,36.4,0.0,0,200704
1.1,44.4,0.0,0,200704
1.5,54.5,0.0,0,200704
