Total_CPU_percent,Total_Memory_usage
0.2,2658074624
0.0,2658074624
0.2,2658074624
0.0,2658074624
0.0,2658074624
0.0,2658074624
0.0,2658074624
0.2,2658074624
0.0,2658156544
0.0,2658443264
0.0,2658148352
0.0,2658148352
0.0,2658148352
0.0,2658148352
0.0,2658140160
0.0,2658140160
0.2,2658140160
0.2,2658136064
0.0,2657992704
0.2,2657992704
0.0,2657476608
0.0,2657476608
0.0,2657476608
0.2,2657476608
0.0,2657476608
0.0,2657476608
0.0,2657218560
0.2,2657255424
0.2,2656882688
0.0,2656882688
0.0,2656882688
0.0,2656882688
0.0,2656849920
0.0,2656817152
0.0,2656784384
0.2,2656526336
0.0,2656526336
0.2,2656272384
0.0,2656239616
0.0,2656239616
0.2,2656186368
0.0,2656186368
0.3,2656186368
0.2,2656186368
0.3,2656178176
0.0,2656534528
0.0,2656534528
0.2,2656530432
0.0,2656526336
0.2,2656518144
0.0,2656505856
0.0,2656505856
0.3,2656497664
0.2,2656493568
0.0,2656481280
0.0,2656481280
0.0,2656481280
0.2,2655961088
0.0,2655956992
0.0,2655956992
0.0,2655408128
0.0,2655408128
0.3,2655408128
0.0,2655399936
0.0,2655399936
0.0,2655399936
0.2,2655141888
0.0,2655207424
0.2,2654965760
0.0,2654842880
0.0,2654842880
0.2,2654842880
0.0,2654552064
0.2,2654552064
0.0,2654552064
0.2,2654334976
0.2,2654334976
0.2,2654085120
0.0,2654081024
0.0,2654081024
0.2,2653790208
0.0,2653790208
0.2,2653790208
0.0,2653782016
0.0,2653782016
0.0,2653782016
0.3,2653261824
0.5,2653261824
0.0,2652995584
0.0,2652995584
0.0,2652995584
0.2,2652995584
0.5,2652995584
0.0,2652995584
0.0,2652983296
0.0,2652983296
0.3,2652745728
0.2,2652745728
0.2,2652741632
0.0,2652741632
0.0,2652708864
0.5,2652708864
0.2,2652708864
0.0,2652708864
0.0,2652712960
0.0,2652696576
0.2,2652438528
0.2,2652438528
0.0,2652426240
0.0,2652426240
0.0,2652426240
0.3,2652426240
0.2,2652426240
0.0,2652426240
0.0,2652413952
0.0,2652413952
0.2,2652446720
5.1,2652438528
0.6,2652352512
0.2,2652078080
0.5,2652069888
0.3,2652069888
0.6,2652069888
0.3,2652057600
0.8,2652053504
0.2,2652053504
0.5,2651394048
0.2,2651394048
0.0,2651394048
0.0,2651377664
0.0,2651377664
0.5,2651377664
0.0,2651377664
0.3,2651365376
0.0,2651365376
0.2,2651365376
0.0,2651365376
0.2,2651316224
0.2,2651295744
0.0,2651295744
0.0,2651295744
0.5,2651295744
0.2,2651037696
0.2,2651037696
0.0,2651054080
0.0,2651054080
0.5,2651021312
0.2,2651021312
0.2,2650931200
0.0,2650923008
0.2,2650923008
0.0,2650906624
0.3,2650906624
0.0,2650906624
0.0,2650955776
0.2,2650554368
0.5,2650517504
0.2,2650517504
0.3,2650517504
0.0,2650497024
0.0,2650497024
0.5,2650140672
0.3,2650140672
0.0,2650140672
0.0,2650189824
0.2,2650288128
0.0,2650288128
0.0,2650288128
0.5,2650255360
0.0,2650296320
0.2,2650296320
0.3,2650296320
0.3,2650165248
0.0,2650165248
0.2,2649886720
0.2,2650034176
0.2,2650001408
0.2,2649968640
0.0,2649968640
0.2,2649976832
0.0,2649976832
0.3,2649587712
0.3,2649587712
0.0,2649686016
0.2,2649669632
0.2,2649665536
0.2,2649665536
0.2,2649665536
0.3,2649632768
0.0,2649575424
0.2,2649542656
0.3,2649542656
0.2,2649542656
0.2,2649542656
0.0,2649284608
0.5,2649137152
0.2,2649137152
0.2,2649104384
0.2,2649104384
0.2,2649108480
0.2,2649108480
0.3,2649010176
0.3,2648944640
0.2,2648944640
0.2,2648920064
0.3,2648920064
0.2,2648920064
0.0,2649346048
0.2,2649346048
0.3,2649346048
0.3,2649346048
0.2,2649346048
0.2,2649346048
0.2,2649346048
0.2,2648870912
0.5,2648870912
0.2,2648870912
0.2,2648870912
0.2,2648870912
0.2,2648838144
0.2,2648838144
0.3,2648838144
0.3,2648838144
0.0,2648948736
0.2,2648883200
0.3,2648883200
0.3,2648883200
0.2,2648883200
0.0,2648883200
0.2,2648817664
0.2,2648817664
0.3,2648817664
0.2,2648817664
0.0,2648817664
0.2,2648506368
0.2,2648506368
0.5,2648506368
0.3,2648506368
0.0,2648506368
0.0,2648506368
0.2,2648506368
0.5,2648506368
0.5,2648506368
0.3,2648506368
0.2,2648461312
0.3,2648461312
0.2,2648461312
0.3,2648461312
0.2,2648506368
0.2,2648506368
0.2,2648506368
0.2,2648506368
0.6,2648506368
0.2,2648477696
0.2,2648395776
0.3,2648395776
0.2,2648395776
0.2,2648395776
0.2,2648395776
0.2,2648395776
0.3,2648395776
0.3,2648395776
0.3,2648395776
0.2,2648510464
7.7,2648510464
1.4,2648502272
0.5,2648502272
0.6,2648502272
0.2,2648502272
0.8,2648502272
0.6,2648502272
0.5,2648502272
0.2,2648502272
0.5,2648387584
0.5,2648387584
0.2,2648387584
0.5,2648387584
0.2,2648387584
0.2,2648387584
0.3,2648387584
0.3,2648387584
0.2,2648387584
0.2,2648354816
0.2,2648338432
0.0,2648338432
0.2,2648338432
0.2,2648338432
0.6,2648080384
0.2,2648080384
0.0,2648051712
0.2,2648051712
0.0,2648051712
0.3,2648051712
0.3,2648035328
0.3,2648035328
0.0,2648035328
0.2,2648035328
0.3,2648051712
0.2,2648051712
0.0,2648051712
0.2,2648051712
0.3,2648051712
0.0,2648051712
0.3,2648010752
0.2,2648010752
0.3,2648010752
0.3,2648010752
0.2,2648010752
0.0,2648010752
0.3,2648010752
0.2,2648010752
0.3,2648010752
0.3,2648219648
0.2,2648219648
0.0,2648207360
0.3,2648207360
0.2,2648207360
0.2,2648207360
0.3,2648207360
0.0,2648207360
0.5,2648207360
0.3,2648207360
0.0,2648166400
0.3,2648166400
0.2,2648166400
0.5,2648166400
0.0,2648166400
0.3,2648166400
0.3,2648166400
0.3,2648166400
0.3,2648166400
0.2,2648166400
0.2,2648113152
0.0,2648113152
0.2,2648113152
0.2,2648113152
0.2,2648113152
0.3,2648113152
0.2,2648113152
0.0,2648109056
0.2,2648109056
0.2,2648109056
0.3,2648068096
0.0,2648068096
0.5,2648068096
0.0,2648068096
0.3,2648068096
0.2,2648068096
0.0,2648068096
0.0,2648068096
0.2,2648068096
0.3,2648068096
0.2,2647601152
0.3,2647601152
0.2,2647601152
0.2,2647601152
0.3,2647601152
0.2,2647568384
0.2,2647568384
0.3,2647584768
0.3,2647568384
0.2,2647568384
0.2,2647789568
0.2,2647789568
0.2,2647789568
0.3,2647789568
0.5,2647789568
0.2,2647789568
0.2,2647789568
0.0,2647789568
0.5,2647789568
0.3,2647789568
0.2,2647703552
0.5,2647703552
0.0,2647703552
0.0,2647703552
0.5,2647703552
0.2,2647703552
0.2,2647703552
0.2,2647703552
0.3,2647703552
0.2,2647617536
0.5,2647617536
0.2,2647617536
0.2,2647617536
0.2,2647617536
0.3,2647617536
0.3,2647617536
0.0,2647592960
0.3,2647592960
0.0,2647592960
0.0,2647547904
0.3,2647547904
0.0,2647547904
0.5,2647547904
0.2,2647547904
0.3,2647547904
0.2,2647547904
0.0,2647547904
0.2,2647547904
0.2,2647547904
0.3,2647502848
0.0,2647502848
0.2,2647502848
0.2,2647502848
0.2,2647502848
0.2,2647502848
0.2,2647502848
0.2,2647502848
0.2,2647502848
0.0,2647502848
0.3,2647711744
4.9,2648227840
0.5,2648227840
0.0,2648227840
0.0,2648227840
0.8,2648227840
0.2,2648227840
0.8,2648227840
0.6,2648227840
0.6,2648227840
0.3,2648240128
0.2,2648240128
0.5,2648240128
0.2,2648240128
0.2,2648240128
0.0,2648240128
0.0,2648240128
0.5,2648240128
0.0,2648240128
0.2,2648207360
0.2,2648207360
0.0,2648207360
0.2,2648207360
0.0,2648207360
0.2,2648207360
0.3,2648207360
0.2,2648207360
0.2,2648207360
0.0,2648207360
0.3,2648158208
0.3,2648158208
0.2,2647891968
0.3,2647891968
0.2,2647891968
0.2,2647883776
0.5,2647883776
0.0,2647883776
0.2,2647883776
0.2,2647883776
0.0,2647826432
0.3,2647826432
0.2,2647826432
0.2,2647826432
0.2,2647826432
0.5,2647826432
0.0,2647826432
0.2,2647826432
0.0,2647826432
0.2,2647826432
0.3,2647740416
0.0,2647740416
0.0,2647740416
0.3,2647740416
0.0,2647740416
0.3,2647740416
0.2,2647740416
0.3,2647740416
0.0,2647740416
0.3,2647740416
0.3,2647838720
0.2,2647838720
0.2,2647838720
0.0,2647838720
0.2,2647838720
0.3,2647838720
0.2,2647838720
0.3,2647838720
0.3,2647838720
0.2,2647789568
0.2,2647789568
0.3,2647789568
0.2,2647789568
0.3,2647789568
0.2,2647789568
0.0,2647789568
0.0,2647789568
0.3,2647789568
0.3,2647789568
0.2,2647789568
0.0,2647719936
0.0,2647719936
0.3,2647719936
0.0,2647719936
0.3,2647719936
0.2,2647719936
0.2,2647719936
0.3,2647719936
0.2,2647719936
0.0,2647678976
0.2,2647678976
0.2,2647678976
0.2,2647678976
0.2,2647678976
0.2,2647678976
0.3,2647678976
0.0,2647678976
0.3,2647678976
0.3,2647678976
0.2,2647629824
0.3,2647629824
0.2,2647629824
0.5,2647629824
0.2,2647629824
0.2,2647629824
0.3,2647629824
0.3,2647629824
0.2,2647629824
0.2,2647629824
0.3,2647842816
