Total_CPU_percent,Total_Memory_usage
0.4,2684342272
0.0,2684342272
0.0,2684334080
0.0,2684334080
0.2,2684334080
0.0,2683740160
0.0,2683740160
0.0,2683740160
0.0,2683740160
0.2,2683740160
0.0,2683740160
0.0,2683740160
0.3,2683752448
0.0,2683912192
0.0,2683179008
0.0,2682949632
0.2,2682941440
0.0,2682941440
0.2,2682941440
0.0,2682941440
0.0,2682941440
0.0,2682941440
0.3,2682937344
0.0,2682904576
0.0,2682736640
0.0,2682736640
0.0,2682736640
0.0,2682736640
0.0,2682736640
0.2,2682736640
0.0,2682736640
0.0,2682736640
0.3,2682208256
0.0,2682208256
0.2,2681581568
0.0,2681581568
0.0,2681581568
0.2,2681581568
0.0,2681573376
0.0,2681573376
0.6,2681573376
5.8,2681495552
0.5,2681847808
0.3,2681847808
0.2,2681020416
0.2,2681020416
0.3,2681020416
0.6,2681020416
0.2,2681020416
0.5,2681020416
0.2,2681020416
0.8,2681020416
0.6,2681020416
0.8,2680606720
0.0,2680238080
0.0,2680238080
0.0,2680238080
0.2,2680238080
0.2,2680229888
0.0,2680229888
0.2,2680229888
0.3,2680160256
0.2,2680127488
0.0,2680127488
0.2,2679988224
0.0,2679988224
0.0,2679988224
0.3,2679988224
0.0,2679984128
0.0,2679984128
0.0,2680000512
0.3,2679984128
0.2,2679984128
0.3,2679742464
0.0,2679513088
0.0,2679480320
0.2,2679480320
0.6,2679480320
0.0,2679480320
0.0,2679480320
0.0,2679480320
0.3,2679480320
0.5,2679189504
0.0,2679140352
0.2,2679132160
0.0,2679132160
0.2,2679132160
0.2,2679132160
0.2,2679119872
0.0,2679119872
0.0,2679119872
0.5,2679119872
0.2,2679119872
0.0,2678734848
0.0,2678734848
0.0,2678734848
0.3,2678734848
0.2,2678734848
0.3,2678722560
0.0,2678722560
0.0,2678722560
0.0,2678722560
0.3,2679242752
0.0,2678902784
0.0,2678902784
0.0,2678902784
0.5,2678902784
0.3,2678870016
0.2,2678870016
0.0,2678841344
0.0,2678841344
0.3,2678583296
0.3,2678583296
0.2,2678722560
0.0,2678648832
0.0,2678648832
0.6,2678648832
0.0,2678644736
0.0,2678632448
0.0,2678632448
0.2,2678632448
0.6,2678599680
0.3,2678599680
0.2,2678083584
0.0,2678079488
0.0,2678079488
0.5,2678079488
0.0,2678046720
0.2,2678034432
0.0,2678034432
0.2,2678018048
0.3,2678018048
0.5,2678001664
0.0,2678001664
0.0,2677997568
0.0,2677563392
0.5,2677563392
0.3,2677563392
0.2,2677563392
0.0,2677579776
0.2,2677288960
0.6,2677288960
0.0,2676805632
0.2,2676805632
0.0,2676801536
0.0,2676801536
0.3,2676801536
0.3,2676801536
0.3,2676801536
0.2,2676850688
0.3,2676850688
0.3,2676850688
0.2,2676609024
0.3,2676563968
0.0,2676559872
0.3,2676494336
0.2,2676494336
0.5,2676494336
0.0,2676600832
0.0,2676592640
0.2,2676592640
0.3,2676592640
0.3,2676649984
0.2,2676649984
0.0,2676535296
0.5,2676469760
0.2,2676436992
0.3,2676436992
0.0,2676498432
0.0,2676498432
0.3,2676498432
0.6,2676498432
0.2,2676555776
0.2,2676555776
0.0,2676572160
0.3,2676387840
0.5,2676387840
0.3,2676387840
0.3,2676449280
0.0,2676449280
0.2,2676449280
0.3,2676973568
0.0,2676408320
0.3,2676396032
0.0,2676396032
0.5,2676359168
0.2,2676359168
0.5,2676359168
7.5,2675785728
0.0,2675818496
1.1,2675785728
0.5,2675662848
0.5,2675642368
0.6,2675695616
0.3,2675695616
0.6,2675658752
0.5,2675658752
0.5,2675658752
0.3,2675658752
0.0,2675634176
0.5,2675601408
0.3,2675765248
0.2,2675699712
0.3,2675699712
0.2,2675367936
0.2,2675302400
0.5,2675302400
0.3,2675302400
0.3,2675269632
0.0,2675388416
0.5,2675388416
0.2,2675281920
0.6,2675281920
0.2,2675281920
0.2,2675113984
0.5,2675113984
0.2,2675113984
0.3,2675113984
0.3,2675478528
0.0,2675478528
0.3,2675478528
0.2,2674544640
0.3,2674524160
0.0,2674524160
0.3,2674511872
0.5,2674511872
0.2,2674511872
0.2,2674511872
0.2,2674466816
0.3,2674470912
0.2,2674470912
0.2,2674462720
0.2,2674462720
0.3,2674483200
0.0,2674483200
0.2,2674225152
0.5,2674212864
0.3,2674212864
0.5,2674212864
0.0,2674212864
0.3,2674212864
0.2,2674184192
0.5,2674184192
0.3,2674184192
0.0,2674188288
0.2,2674188288
0.2,2674188288
0.2,2674188288
0.2,2674188288
0.5,2674188288
0.3,2673889280
0.3,2673889280
0.3,2673889280
0.2,2673889280
0.0,2673889280
0.3,2673889280
0.2,2673889280
0.3,2673889280
0.2,2673889280
0.2,2673889280
0.2,2673872896
0.5,2673872896
0.3,2673872896
0.2,2673872896
0.2,2673872896
0.3,2673872896
0.3,2673872896
0.2,2673872896
0.2,2673872896
0.0,2674098176
0.3,2674098176
0.6,2674098176
0.2,2674098176
0.2,2674098176
0.0,2674098176
0.5,2674098176
0.3,2674065408
0.2,2674065408
0.3,2674065408
0.2,2674065408
0.3,2674073600
0.5,2674073600
0.3,2674073600
0.3,2674073600
0.0,2674053120
0.3,2674053120
0.0,2674053120
0.3,2674053120
0.2,2674053120
0.2,2674053120
0.2,2674040832
0.5,2674040832
0.0,2674040832
0.2,2674040832
0.2,2674016256
0.8,2674016256
0.3,2674016256
0.5,2674016256
0.3,2674016256
0.2,2674016256
0.3,2674003968
0.3,2674003968
0.0,2674003968
0.5,2674003968
0.3,2674003968
0.2,2674003968
0.2,2674003968
0.3,2674003968
0.3,2674003968
0.0,2673971200
0.2,2673971200
0.5,2673971200
0.2,2673971200
0.2,2673971200
0.5,2673971200
0.3,2673971200
0.2,2673971200
0.3,2673971200
0.3,2673971200
0.0,2673938432
0.3,2673938432
0.2,2673938432
0.3,2673938432
0.3,2673938432
0.0,2673938432
0.2,2673938432
0.3,2673938432
0.3,2673938432
0.0,2673938432
0.2,2674163712
0.5,2674163712
0.5,2674163712
0.0,2674163712
0.2,2674163712
0.3,2674143232
0.2,2674139136
6.9,2674487296
0.3,2674487296
0.6,2674487296
0.2,2674552832
0.3,2674552832
0.5,2674552832
0.2,2674552832
0.3,2674552832
0.3,2674552832
0.5,2674552832
0.5,2674552832
0.5,2674552832
0.5,2674552832
0.0,2674511872
0.3,2674511872
0.3,2674511872
0.3,2674511872
0.0,2674511872
0.2,2674511872
0.5,2674511872
0.3,2674470912
0.2,2674470912
0.0,2674470912
0.2,2674151424
0.0,2674143232
0.2,2674143232
0.5,2674143232
0.2,2674143232
0.6,2674143232
0.2,2674143232
0.5,2674143232
0.2,2674130944
0.5,2674106368
0.0,2674098176
0.2,2674098176
0.3,2674098176
0.3,2674098176
0.2,2674098176
0.2,2674098176
0.3,2674089984
0.5,2674089984
0.0,2674089984
0.6,2674089984
0.0,2674319360
0.3,2674319360
0.0,2674319360
0.2,2674319360
0.5,2674319360
0.5,2674319360
0.0,2674319360
0.2,2674319360
0.2,2674319360
0.3,2674311168
0.5,2674311168
0.2,2674311168
0.5,2674311168
0.0,2674311168
0.3,2674311168
0.5,2674311168
0.2,2674311168
0.5,2674311168
0.5,2674311168
0.3,2674290688
0.5,2674290688
0.2,2674290688
0.3,2674290688
0.3,2674290688
0.2,2674290688
0.2,2674290688
0.3,2674290688
0.2,2674290688
0.5,2674290688
0.2,2674053120
0.0,2674053120
0.5,2674053120
0.2,2674040832
0.0,2674040832
0.3,2674040832
0.2,2674040832
0.3,2674040832
0.2,2674040832
0.3,2674040832
0.6,2674012160
0.2,2673999872
0.5,2673991680
0.0,2673991680
0.3,2673991680
0.3,2673991680
0.2,2673991680
0.0,2673991680
0.5,2673991680
0.0,2673991680
0.6,2671935488
0.3,2671935488
0.2,2671927296
0.2,2671927296
0.8,2671927296
0.2,2671927296
0.2,2671927296
0.3,2671927296
0.5,2671898624
0.2,2671878144
0.0,2671878144
0.2,2671878144
0.3,2671878144
0.2,2671878144
0.5,2671878144
0.0,2671878144
0.0,2671861760
0.3,2671861760
0.2,2671841280
0.3,2671833088
0.2,2671833088
0.3,2671833088
0.3,2671833088
0.3,2671833088
0.2,2671833088
0.3,2671882240
0.0,2671882240
0.2,2671882240
0.2,2671882240
0.3,2671816704
0.0,2671816704
0.3,2671816704
0.0,2671816704
