CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,696320
0.6,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.3,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.3,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.2,0.0,0.0,0,696320
0.0,0.0,0.0,0,696320
0.5,27.3,0.3078125,0,12230656
0.5,33.3,0.4609375,0,14589952
0.3,22.2,0.459375,0,14589952
0.3,18.2,0.153125,0,14589952
0.2,0.0,0.0,0,14589952
0.0,0.0,0.0,0,14589952
0.0,0.0,0.0,0,14589952
0.2,0.0,0.0,0,14589952
0.0,0.0,0.0,0,14589952
0.0,0.0,0.0,0,14589952
0.6,22.2,0.3078125,0,22196224
0.5,30.0,0.4578125,0,24293376
0.6,46.2,0.4578125,0,27176960
0.6,20.0,0.153125,0,27701248
0.0,0.0,0.0,0,27701248
0.0,0.0,0.0,0,27701248
0.0,0.0,0.0,0,27701248
0.0,0.0,0.0,0,27701248
0.0,0.0,0.0,0,27701248
0.0,0.0,0.0,0,27701248
0.6,30.0,0.459375,0,35565568
0.6,22.2,0.4609375,0,37924864
0.6,36.4,0.30625,0,41074688
0.3,0.0,0.153125,0,41074688
0.0,0.0,0.0,0,41074688
0.0,9.1,0.0,0,41336832
0.0,10.0,0.153125,0,42647552
0.3,11.1,0.6125,0,46317568
0.3,22.2,0.3078125,0,51560448
0.8,27.3,0.153125,0,53919744
0.5,22.2,0.4609375,0,60735488
0.3,12.5,0.4609375,0,64405504
0.5,30.0,0.459375,0,67026944
0.2,9.1,0.0,0,67026944
0.2,0.0,0.0,0,67026944
0.0,0.0,0.153125,0,67551232
0.3,20.0,0.3046875,0,70959104
0.3,14.3,0.459375,0,75939840
0.6,30.0,0.3078125,0,79609856
0.0,18.2,0.30625,0,84594688
0.5,12.5,0.30625,0,87998464
0.3,22.2,0.30625,0,91930624
0.3,20.0,0.3046875,0,93241344
0.0,0.0,0.0,0,93241344
0.0,0.0,0.0,0,93241344
0.2,0.0,0.153125,0,94289920
0.8,30.0,0.30625,0,98746368
0.5,41.7,0.6140625,0,103464960
0.5,22.2,0.3078125,0,106348544
0.3,11.1,0.30625,0,112906240
0.6,41.7,0.3046875,0,114741248
0.8,30.0,0.4609375,0,118673408
0.5,22.2,0.459375,0,123129856
0.8,41.7,0.4578125,0,125751296
0.6,40.0,0.6125,0,131518464
0.5,30.0,0.3046875,0,132829184
0.3,12.5,0.4578125,0,138076160
0.6,45.5,0.459375,0,143314944
0.6,30.0,0.4578125,0,145674240
0.6,22.2,0.459375,0,145412096
0.5,36.4,0.30625,0,145412096
0.6,36.4,0.4578125,0,145412096
0.5,22.2,0.459375,0,145412096
0.5,25.0,0.459375,0,145412096
0.3,20.0,0.30625,0,145412096
0.5,22.2,0.459375,0,145412096
0.5,30.0,0.30625,0,145412096
0.8,41.7,0.45625,0,145412096
0.5,22.2,0.30625,0,145412096
0.3,30.0,0.4578125,0,145412096
0.5,20.0,0.30625,0,145412096
0.3,33.3,0.459375,0,148295680
0.5,22.2,0.6125,0,151965696
0.5,22.2,0.30625,0,156426240
0.5,36.4,0.4578125,0,159043584
0.6,30.0,0.459375,0,161140736
0.6,25.0,0.30625,0,165597184
0.6,41.7,0.6125,0,169005056
0.8,41.7,0.459375,0,172675072
0.6,40.0,0.459375,0,178184192
0.6,30.0,0.30625,0,184213504
0.5,30.0,0.459375,0,190242816
0.6,36.4,0.4546875,0,193388544
0.9,36.4,0.45625,0,199417856
0.5,36.4,0.4578125,0,204660736
0.6,30.0,0.30625,0,209121280
0.5,30.0,0.4578125,0,213835776
0.5,30.0,0.3046875,0,218030080
0.9,36.4,0.609375,0,221704192
0.2,12.5,0.3046875,0,221704192
0.8,30.0,0.3046875,0,221704192
0.3,12.5,0.609375,0,221704192
0.6,41.7,0.4578125,0,221704192
0.8,40.0,0.4578125,0,221708288
0.6,30.0,0.4546875,0,221708288
0.5,33.3,0.4578125,0,221708288
0.5,30.0,0.4578125,0,221708288
0.9,45.5,0.4578125,0,221708288
0.3,22.2,0.6078125,0,221708288
0.6,30.0,0.4578125,0,221708288
0.6,41.7,0.3046875,0,221708288
0.6,25.0,0.4546875,0,221708288
0.6,36.4,0.303125,0,221708288
0.5,30.0,0.609375,0,221708288
0.5,22.2,0.4546875,0,221708288
0.8,45.5,0.4578125,0,221708288
0.5,22.2,0.4578125,0,221708288
0.5,36.4,0.30625,0,221708288
0.3,12.5,0.4578125,0,221708288
0.5,20.0,0.30625,0,225640448
1.1,45.5,0.60625,0,232456192
0.9,41.7,0.45625,0,234291200
0.6,41.7,0.4546875,0,239009792
0.8,33.3,0.3046875,0,243208192
0.6,41.7,0.60625,0,245043200
0.5,33.3,0.4578125,0,251072512
0.6,36.4,0.4578125,0,254480384
0.6,33.3,0.6078125,0,261038080
0.8,36.4,0.3046875,0,261296128
0.5,22.2,0.4578125,0,261296128
