CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.2,0.0,0.0,0,622592
0.0,0.0,0.0,0,622592
0.3,20.0,0.153125,0,2056192
0.0,0.0,0.153125,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.2,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.2,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.0,0.0,0.0,0,1732608
0.6,27.3,0.1546875,0,2371584
0.0,0.0,0.0,0,2371584
0.2,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.0,0.0,0.0,0,2371584
0.6,20.0,0.153125,0,2424832
0.0,0.0,0.0,0,2424832
0.0,0.0,0.0,0,2424832
0.0,0.0,0.0,0,2424832
0.0,0.0,0.0,0,2424832
0.0,10.0,0.1546875,0,2428928
0.5,20.0,0.459375,0,2428928
0.0,0.0,0.0,0,2428928
0.2,0.0,0.0,0,2428928
0.0,0.0,0.0,0,2428928
0.5,20.0,0.153125,0,2502656
0.0,0.0,0.0,0,2502656
0.0,0.0,0.0,0,2502656
0.0,0.0,0.0,0,2502656
0.0,0.0,0.0,0,2502656
0.3,12.5,0.3078125,0,2502656
0.2,0.0,0.153125,0,2502656
0.0,0.0,0.0,0,2502656
0.0,0.0,0.0,0,2502656
5.0,10.0,0.0,0,2502656
0.8,27.3,0.153125,0,2486272
0.2,0.0,0.0,0,2486272
0.2,0.0,0.0,0,2486272
0.2,0.0,0.0,0,2486272
0.6,0.0,0.0,0,2486272
0.5,11.1,0.3078125,0,2486272
0.5,0.0,0.0,0,2486272
0.3,0.0,0.0,0,2486272
0.2,0.0,0.0,0,2486272
