Total_CPU_percent,Total_Memory_usage
0.5,2699165696
0.0,2699165696
0.0,2699141120
0.0,2699132928
0.0,2699132928
0.0,2699132928
0.0,2699132928
0.5,2700288000
0.3,2700021760
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.0,2699726848
0.6,2698706944
0.0,2698706944
0.0,2698444800
0.0,2698444800
0.0,2698444800
0.0,2698444800
0.2,2698444800
0.0,2698444800
0.2,2698403840
0.0,2698403840
0.5,2698403840
0.0,2698510336
0.0,2698244096
0.0,2698244096
0.0,2698244096
0.6,2698244096
0.2,2698211328
0.0,2698211328
0.0,2698211328
0.0,2698211328
0.5,2698194944
0.0,2698194944
0.0,2698162176
0.0,2698162176
0.0,2698162176
0.8,2698129408
0.0,2698256384
5.5,2698956800
0.2,2699296768
0.5,2699296768
0.8,2699685888
0.2,2698002432
0.0,2698002432
0.3,2698002432
0.3,2698002432
0.8,2697969664
0.2,2697969664
0.2,2697711616
0.0,2697711616
0.2,2697678848
0.3,2697433088
0.5,2697502720
0.0,2697535488
0.0,2697535488
0.2,2697535488
0.5,2697134080
0.2,2697125888
0.0,2697125888
0.0,2697125888
0.5,2697125888
0.5,2696577024
0.3,2696638464
0.0,2696380416
0.2,2696380416
0.0,2696380416
0.5,2695970816
0.0,2695999488
0.0,2695999488
0.0,2695999488
0.6,2695999488
0.3,2695475200
0.2,2694774784
0.0,2694742016
0.0,2694742016
0.2,2694742016
0.5,2694742016
0.5,2694742016
0.2,2694856704
0.0,2694856704
0.3,2694856704
0.5,2694856704
0.0,2694832128
0.2,2694832128
0.0,2694832128
0.0,2694832128
0.9,2694733824
0.6,2694733824
0.0,2694754304
0.0,2694754304
0.8,2694496256
0.3,2694463488
0.2,2694238208
0.0,2694238208
0.0,2694238208
0.3,2694205440
0.5,2694139904
0.3,2694139904
0.0,2694320128
0.0,2694320128
0.8,2693939200
0.3,2693906432
0.3,2694111232
0.3,2694172672
0.0,2694168576
0.3,2694168576
0.3,2694168576
0.3,2694098944
0.0,2694062080
0.0,2694062080
0.3,2694062080
0.5,2693500928
0.3,2693500928
0.0,2693550080
0.2,2693545984
0.5,2693513216
0.8,2693513216
0.2,2693734400
0.0,2693730304
0.0,2693701632
0.9,2693668864
0.3,2693804032
0.2,2693771264
0.0,2693681152
0.2,2693681152
0.5,2693648384
0.5,2693582848
0.5,2693517312
0.2,2693484544
0.3,2693840896
0.6,2693517312
0.8,2693496832
0.0,2693496832
0.0,2693505024
0.0,2693505024
0.6,2693505024
0.5,2693083136
0.5,2693050368
0.0,2693050368
0.5,2693341184
0.5,2693341184
0.6,2693316608
0.0,2693316608
0.0,2693361664
0.3,2693328896
0.6,2693328896
0.8,2693132288
0.2,2693132288
0.0,2693554176
0.3,2694074368
0.5,2694008832
0.5,2693459968
0.5,2693459968
0.3,2693459968
0.2,2693660672
0.8,2693660672
0.3,2693627904
0.2,2693885952
0.5,2693881856
0.3,2693918720
0.2,2693853184
0.6,2693595136
0.3,2693595136
0.2,2693726208
0.3,2693726208
0.5,2693693440
0.6,2693693440
0.3,2693693440
0.0,2694017024
0.3,2693693440
0.6,2694213632
0.5,2693083136
0.5,2693050368
0.2,2693050368
0.3,2693255168
0.5,2693255168
0.8,2693255168
0.6,2692997120
0.0,2692964352
0.5,2693496832
0.6,2693144576
0.6,2693046272
0.2,2693013504
0.2,2693136384
0.5,2693103616
6.2,2692857856
1.5,2692481024
0.8,2692476928
0.5,2692476928
0.8,2692902912
1.1,2692861952
0.6,2692763648
0.9,2692763648
0.2,2693025792
0.5,2692960256
0.5,2692927488
0.5,2692894720
0.3,2692829184
0.3,2693312512
0.5,2693312512
0.3,2692706304
0.5,2692706304
0.8,2692673536
0.3,2692673536
0.8,2693050368
0.5,2693050368
0.8,2693050368
0.3,2693017600
0.2,2693263360
0.3,2693263360
0.5,2692792320
0.3,2692501504
0.3,2692501504
0.5,2692493312
0.8,2693033984
0.3,2693001216
0.5,2692677632
0.5,2693160960
0.0,2693201920
0.5,2693169152
0.6,2692751360
0.5,2692718592
0.3,2692718592
0.3,2692685824
0.0,2692489216
0.5,2692292608
0.5,2692751360
0.6,2692493312
0.3,2692493312
0.3,2692493312
0.5,2692214784
0.6,2692182016
0.3,2692182016
0.2,2692505600
0.3,2692505600
0.6,2692505600
0.5,2692472832
0.5,2692435968
0.2,2692403200
0.6,2691964928
0.5,2691653632
0.3,2691330048
0.6,2691956736
0.2,2691825664
0.2,2691825664
0.5,2692268032
0.6,2692268032
0.5,2692202496
0.5,2692169728
0.2,2691907584
0.6,2691760128
0.6,2691727360
0.6,2691727360
0.2,2691661824
0.5,2691145728
0.5,2691653632
0.5,2691653632
0.0,2691588096
0.5,2691457024
0.3,2691080192
0.8,2691014656
0.5,2691014656
0.2,2691014656
0.0,2691014656
0.5,2690883584
0.8,2691375104
0.5,2691346432
0.5,2691346432
0.2,2691346432
0.3,2691252224
0.5,2691219456
0.3,2691219456
0.5,2691219456
0.2,2691596288
0.0,2691567616
0.5,2691567616
0.3,2691567616
0.3,2691567616
0.6,2692042752
0.3,2691289088
1.1,2691256320
0.3,2691223552
0.3,2691223552
0.3,2691125248
0.3,2691125248
0.5,2691059712
0.2,2691493888
0.6,2691493888
0.3,2691493888
0.3,2690977792
0.3,2690977792
0.5,2691506176
0.8,2691473408
0.3,2691342336
0.2,2691387392
0.5,2691387392
0.6,2691387392
0.5,2691796992
0.5,2691407872
0.2,2690871296
0.3,2690871296
0.5,2690871296
0.3,2690707456
0.5,2691002368
0.3,2690904064
0.6,2690904064
0.6,2690904064
0.5,2691395584
0.2,2690818048
0.3,2690818048
0.3,2690785280
0.8,2690785280
0.3,2690752512
0.3,2690752512
0.5,2690752512
0.6,2691293184
0.6,2691260416
0.8,2691031040
0.3,2690469888
0.2,2690514944
0.5,2690514944
0.5,2690482176
0.6,2690482176
0.3,2690904064
0.3,2690637824
0.0,2690637824
0.9,2690637824
0.8,2690605056
0.3,2689945600
0.6,2689880064
0.3,2689880064
0.5,2689814528
0.5,2689814528
5.2,2689576960
0.3,2689536000
0.8,2690060288
1.1,2690060288
0.3,2690060288
0.6,2690273280
0.5,2690273280
0.5,2690273280
0.8,2690240512
0.3,2690174976
0.6,2690174976
0.2,2690142208
0.5,2690142208
0.5,2690682880
0.6,2690682880
0.5,2690367488
0.0,2690367488
0.3,2690359296
0.5,2690326528
0.6,2690326528
0.2,2690801664
0.8,2690801664
0.6,2690510848
0.3,2690510848
0.6,2690457600
0.0,2690424832
0.2,2690326528
0.9,2690326528
0.6,2690326528
0.0,2690326528
0.3,2690818048
0.5,2690818048
0.2,2690785280
0.5,2690752512
0.5,2690134016
0.2,2690101248
0.2,2690101248
0.2,2690068480
0.6,2690068480
0.5,2690609152
0.3,2690560000
0.0,2690560000
0.6,2690805760
0.3,2690805760
0.6,2690629632
0.8,2690531328
0.6,2690498560
0.6,2691026944
