Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755004153,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755004154,50,,Aggregated,0.000000,0.000000,63,67,68,69,73,75,77,77,77,77,77,50,0,62,56.03825606005557,26.52932300043176,76.72611599991797,32768.0
1755004155,100,,Aggregated,0.000000,0.000000,51,59,64,65,69,73,76,77,77,77,77,100,0,50,48.350412840045465,11.948194999604311,76.72611599991797,32768.0
1755004156,150,,Aggregated,0.000000,0.000000,36,49,57,59,65,69,74,76,77,77,77,200,0,36,35.104330539998045,2.433509999718808,76.72611599991797,32768.0
1755004157,200,,Aggregated,50.000000,0.000000,30,43,51,56,62,67,73,75,77,77,77,300,0,30,30.252818426670274,2.433509999718808,76.72611599991797,32768.0
1755004158,250,,Aggregated,50.000000,0.000000,28,39,48,53,61,65,71,74,77,77,77,400,0,28,28.63275292750359,2.433509999718808,76.72611599991797,32768.0
1755004159,300,,Aggregated,66.666667,0.000000,19,35,44,49,59,63,69,73,77,77,77,550,0,19,24.946694334562793,2.1415830005935277,76.72611599991797,32768.0
1755004160,350,,Aggregated,75.000000,0.000000,12,32,40,46,57,62,68,72,77,77,77,700,0,12,22.881267407150776,2.1415830005935277,76.72611599991797,32768.0
1755004161,400,,Aggregated,80.000000,0.000000,7,28,36,43,56,61,66,70,77,77,77,900,0,7,20.4800521633418,1.8355530000917497,76.72611599991797,32768.0
1755004162,450,,Aggregated,91.666667,0.000000,6,24,34,40,54,60,65,69,76,77,77,1100,0,6,18.98347099729108,1.8355530000917497,76.72611599991797,32768.0
1755004163,500,,Aggregated,100.000000,0.000000,5,20,33,37,52,60,64,68,76,77,77,1300,0,5,17.991228173093006,1.8355530000917497,76.72611599991797,32768.0
1755004164,550,,Aggregated,112.500000,0.000000,5,15,31,37,53,60,67,74,84,85,85,1550,0,5,17.5756693013007,1.8355530000917497,84.90103999974963,32768.0
1755004165,600,,Aggregated,122.222222,0.000000,5,10,29,35,51,60,66,73,84,85,85,1800,0,5,16.456461006116317,1.6901379995033494,84.90103999974963,32768.0
1755004166,650,,Aggregated,150.000000,0.000000,5,7,26,33,50,59,64,71,84,85,85,2100,0,5,15.514981894761409,1.6901379995033494,84.90103999974963,32768.0
1755004167,700,,Aggregated,170.000000,0.000000,5,7,23,31,48,58,64,70,84,85,85,2400,0,5,14.874579700001126,1.6901379995033494,84.90103999974963,32768.0
1755004168,750,,Aggregated,189.700000,0.000000,4,6,19,30,47,58,64,69,84,85,85,2700,0,4,14.352729262594343,1.6901379995033494,84.90103999974963,32768.0
1755004169,800,,Aggregated,209.800000,0.000000,4,6,14,28,45,56,63,68,82,85,85,3050,0,4,13.592506444261357,1.6901379995033494,84.90103999974963,32768.0
1755004170,850,,Aggregated,209.800000,0.000000,4,6,12,25,44,56,63,69,82,85,85,3400,0,4,13.156018059408673,1.6901379995033494,84.90103999974963,32768.0
1755004171,900,,Aggregated,249.800000,0.000000,4,6,10,23,43,55,62,68,82,85,85,3797,0,4,12.67876326363051,1.6901379995033494,84.90103999974963,32768.0
1755004172,950,,Aggregated,270.000000,0.000000,4,6,9,19,41,55,62,67,80,85,85,4196,0,4,12.244330673022386,1.6901379995033494,84.90103999974963,32768.0
1755004173,1000,,Aggregated,287.000000,0.000000,4,6,8,17,42,55,63,69,82,86,86,4598,0,4,12.249853918662874,1.6901379995033494,85.61046299928421,32768.0
1755004174,1000,,Aggregated,307.400000,0.000000,4,6,7,13,39,54,62,68,82,86,86,4997,0,4,11.659071197322296,1.6901379995033494,85.61046299928421,32768.0
1755004175,1000,,Aggregated,328.400000,0.000000,4,6,7,10,37,52,62,67,81,86,86,5400,0,4,11.161345038707184,1.6901379995033494,85.61046299928421,32768.0
1755004176,1000,,Aggregated,342.700000,0.000000,4,5,7,9,35,51,61,67,81,86,86,5778,0,4,10.733751275876314,1.6901379995033494,85.61046299928421,32768.0
1755004177,1000,,Aggregated,357.000000,0.000000,4,5,7,8,34,50,61,66,80,86,86,6175,0,4,10.374503452145689,1.6901379995033494,85.61046299928421,32768.0
1755004178,1000,,Aggregated,362.100000,0.000000,4,5,7,8,32,49,61,65,80,86,86,6583,0,4,10.031727083701655,1.6901379995033494,85.61046299928421,32768.0
1755004179,1000,,Aggregated,373.100000,0.000000,4,5,6,8,30,48,60,65,80,86,86,6975,0,4,9.730431483584908,1.6901379995033494,85.61046299928421,32768.0
1755004180,1000,,Aggregated,382.800000,0.000000,4,5,6,7,29,47,60,64,80,86,86,7378,0,4,9.441963967473816,1.6901379995033494,85.61046299928421,32768.0
1755004181,1000,,Aggregated,387.600000,0.000000,4,5,6,7,27,46,60,64,80,86,86,7730,0,4,9.191290743212166,1.6901379995033494,85.61046299928421,32768.0
1755004182,1000,,Aggregated,392.000000,0.000000,4,5,6,7,25,45,59,64,80,86,86,8140,0,4,8.946513299511096,1.6901379995033494,85.61046299928421,32768.0
1755004183,1000,,Aggregated,389.200000,0.000000,4,5,6,7,22,44,59,63,80,86,86,8543,0,4,8.76116372585917,1.6901379995033494,85.61046299928421,32768.0
1755004184,1000,,Aggregated,390.500000,0.000000,4,5,6,7,19,43,58,63,80,86,86,8942,0,4,8.581817201970079,1.6901379995033494,85.61046299928421,32768.0
1755004185,1000,,Aggregated,388.900000,0.000000,4,5,6,7,16,41,57,63,80,86,86,9339,0,4,8.413005934577095,1.6901379995033494,85.61046299928421,32768.0
1755004186,1000,,Aggregated,389.100000,0.000000,4,5,6,7,14,40,57,63,80,86,86,9673,0,4,8.3073830219182,1.6901379995033494,85.61046299928421,32768.0
1755004187,1000,,Aggregated,389.300000,0.000000,4,5,6,7,13,39,57,62,79,85,86,10101,0,4,8.191597406397076,1.6901379995033494,85.61046299928421,32768.0
1755004188,1000,,Aggregated,390.600000,0.000000,4,5,6,7,12,38,56,62,79,85,86,10487,0,4,8.073100674169032,1.6901379995033494,85.61046299928421,32768.0
1755004189,1000,,Aggregated,389.000000,0.000000,4,5,6,7,12,37,56,62,79,85,86,10896,0,4,7.94816386169238,1.6901379995033494,85.61046299928421,32768.0
1755004190,1000,,Aggregated,389.500000,0.000000,4,5,6,7,11,36,55,62,79,85,86,11291,0,4,7.837730819856904,1.6901379995033494,85.61046299928421,32768.0
1755004191,1000,,Aggregated,389.100000,0.000000,4,5,6,7,11,35,55,61,79,85,86,11638,0,4,7.746371492009629,1.6901379995033494,85.61046299928421,32768.0
1755004192,1000,,Aggregated,388.900000,0.000000,4,5,6,7,10,34,55,61,78,85,86,12043,0,4,7.644539854937218,1.6901379995033494,85.61046299928421,32768.0
1755004193,1000,,Aggregated,393.700000,0.000000,4,5,6,6,10,34,54,61,78,85,86,12439,0,4,7.549747709381873,1.6901379995033494,85.61046299928421,32768.0
1755004194,1000,,Aggregated,391.700000,0.000000,4,5,6,6,10,33,53,61,78,85,86,12837,0,4,7.455892876840891,1.6901379995033494,85.61046299928421,32768.0
1755004195,1000,,Aggregated,392.100000,0.000000,4,5,6,6,9,32,53,61,77,85,86,13239,0,4,7.365215483722837,1.6901379995033494,85.61046299928421,32768.0
1755004196,1000,,Aggregated,389.800000,0.000000,4,5,6,6,9,31,52,60,77,85,86,13610,0,4,7.293737236076624,1.6901379995033494,85.61046299928421,32768.0
1755004197,1000,,Aggregated,390.800000,0.000000,4,5,6,6,9,30,52,60,77,85,86,14010,0,4,7.2097905487510525,1.6901379995033494,85.61046299928421,32768.0
1755004198,1000,,Aggregated,395.500000,0.000000,4,5,6,6,9,29,51,60,77,85,86,14408,0,4,7.1352679019292475,1.6901379995033494,85.61046299928421,32768.0
1755004199,1000,,Aggregated,394.900000,0.000000,4,5,6,6,9,29,51,60,77,85,86,14788,0,4,7.067880860562697,1.6901379995033494,85.61046299928421,32768.0
1755004200,1000,,Aggregated,394.100000,0.000000,4,5,6,6,9,28,50,60,76,85,86,15198,0,4,7.014182108172394,1.6901379995033494,85.61046299928421,32768.0
1755004201,1000,,Aggregated,390.300000,0.000000,4,5,6,6,9,27,50,60,76,85,86,15591,0,4,6.957087285678121,1.6901379995033494,85.61046299928421,32768.0
1755004202,1000,,Aggregated,391.600000,0.000000,4,5,6,6,8,25,50,59,76,85,86,15987,0,4,6.893656243949485,1.3972040005683084,85.61046299928421,32768.0
1755004203,1000,,Aggregated,393.000000,0.000000,4,5,6,6,8,24,49,59,76,85,86,16394,0,4,6.832198360194092,1.3972040005683084,85.61046299928421,32768.0
1755004204,1000,,Aggregated,392.800000,0.000000,4,5,6,6,8,23,49,59,76,85,86,16755,0,4,6.781071098599014,1.3972040005683084,85.61046299928421,32768.0
1755004205,1000,,Aggregated,393.500000,0.000000,4,5,6,6,8,22,48,59,76,85,86,17158,0,4,6.736095599780671,1.3972040005683084,85.61046299928421,32768.0
1755004206,1000,,Aggregated,389.500000,0.000000,4,5,6,6,8,20,48,58,76,85,86,17565,0,4,6.684624597212147,1.3972040005683084,85.61046299928421,32768.0
1755004207,1000,,Aggregated,390.200000,0.000000,4,5,6,6,8,19,47,58,76,85,86,17958,0,4,6.6374378964830525,1.3972040005683084,85.61046299928421,32768.0
1755004208,1000,,Aggregated,389.900000,0.000000,4,5,6,6,8,17,47,58,75,85,86,18357,0,4,6.594910086998772,1.3972040005683084,85.61046299928421,32768.0
