Bytes_sent,Bytes_received
77684905830,1063304258
77684905830,1063304258
77684905830,1063304258
77684905830,1063304258
77684905830,1063304684
77684905830,1063304858
77684905830,1063304858
77684905830,1063304858
77684905830,1063304858
77684905830,1063304858
77684905830,1063305032
77684905830,1063305190
77684905830,1063305190
77684905830,1063305364
77684905830,1063305364
77684905830,1063305364
77684905830,1063305364
77688337112,1063394884
77688337244,1063394884
77688337244,1063394884
77688337244,1063394884
77688337244,1063394884
77688337244,1063395058
77688337244,1063395058
77688337244,1063395270
77688337244,1063395270
77688337244,1063395270
77691768072,1063486328
77691768072,1063486510
77691768072,1063486510
77691768072,1063486616
77691768072,1063486616
77691768072,1063486616
77691768072,1063486616
77691768072,1063486616
77691768072,1063486616
77691768072,1063486616
77695199032,1063576140
77695199032,1063576140
77695199032,1063576140
77695199032,1063576140
77695199032,1063576140
77697326280,1063634930
77698630256,1063670974
77698630256,1063671186
77698630256,1063671186
77698630256,1063671186
77702061150,1063762362
77702061150,1063762362
77702061150,1063762362
77702061150,1063762362
77702061150,1063762362
77705492110,1063855662
77705492242,1063855662
77705492242,1063855662
77705492242,1063855662
77708092406,1063928264
77708923400,1063946956
77708923400,1063946956
77708923400,1063946956
77708923400,1063946956
77709129350,1063952554
77712354426,1064041436
77712354558,1064041436
77712354558,1064041648
77712354558,1064041648
77715854190,1064137050
77717433076,1064180658
77719216346,1064227422
77719216478,1064227422
77719216478,1064227528
77720383728,1064259586
77722647372,1064321182
77722647504,1064321364
77722647504,1064321364
77722647504,1064321364
77726284348,1064417076
77729097722,1064494880
77729509424,1064506548
77729509556,1064506548
77729509556,1064506548
77730744662,1064540018
77732940384,1064600438
77733000200,1064602500
77733000200,1064602500
77733000200,1064602500
77737048482,1064710588
77739655914,1064782456
77739861856,1064788156
77739861856,1064788156
77739861856,1064788314
77741715380,1064840662
77744940440,1064928386
77746586498,1064973778
77746723842,1064977510
77746723842,1064977510
77750978140,1065091786
77753311536,1065156410
77753586092,1065163874
77753586092,1065163874
77753586092,1065163874
77755850552,1065226212
77759830228,1065335804
