Bytes_sent,Bytes_received
78442429529,78390493633
78442429529,78390493633
78442429529,78390493633
78442429529,78390493633
78442429529,78390493633
78442429529,78390493807
78442429809,78390494633
78442489707,78390495813
78442489707,78390495987
78442489707,78390495987
78442489707,78390495987
78442489707,78390495987
78445983399,78393980205
78445983399,78393980417
78445983399,78393980417
78445983399,78393980417
78445983399,78393980417
78445983399,78393980591
78445983399,78393980591
78445983399,78393980591
78445983399,78393980591
78445983399,78393980591
78449482173,78397469195
78449482173,78397469377
78449482173,78397469377
78449482173,78397469483
78449482173,78397469483
78449482173,78397469483
78449482173,78397469483
78449482173,78397469483
78449482173,78397469483
78449482173,78397469483
78452975601,78400952545
78452975601,78400952757
78452975601,78400952757
78452975601,78400952757
78452975601,78400952757
78455216139,78403187489
78456477873,78404444663
78456477873,78404444663
78456477873,78404444663
78456481371,78404449879
78459974733,78407932899
78459974733,78407932899
78459974733,78407932899
78459974733,78407932899
78460134205,78408105321
78463474365,78411424875
78463474365,78411424875
78463474365,78411424875
78463474365,78411424875
78466411899,78414353119
78466970961,78414911171
78466970961,78414911171
78466970961,78414911171
78466970961,78414911171
78467320515,78415260583
78470469537,78418402501
78470469537,78418402501
78470469537,78418402501
78470469537,78418402501
78474109875,78422031085
78476137935,78424056307
78477466821,78425382705
78477466821,78425382705
78477466821,78425382811
78478935555,78426848583
78480966189,78428873371
78480966189,78428873553
78480966189,78428873553
78480966189,78428873553
78484743041,78432639169
78487599233,78435501935
78487963539,78435850801
78487963539,78435850801
78487963539,78435850801
78489223837,78437108453
78491463765,78439341687
78491463765,78439341687
78491463765,78439341687
78491463765,78439341687
78495590139,78443456563
78498320871,78446180921
78498460851,78446320465
78498460851,78446320465
78498460851,78446320623
78500561293,78448416369
78503852127,78451697461
78505393425,78453234115
78505463415,78453303887
78505463415,78453303887
78509801969,78457629511
78512181993,78460004219
78512461953,78460283571
78512461953,78460283571
78512461953,78460283571
78514913055,78462728619
78518835399,78466638307
78519395121,78467196813
78519465243,78467266703
78519465243,78467266703
78524152767,78471939509
78526251081,78474032855
78526460589,78474242359
78526460589,78474242359
78526460589,78474242465
78529471539,78477244035
78532692229,78480457409
78533462361,78481225289
78533462361,78481225289
78533462361,78481225289
78538501883,78486248661
78541999513,78489738419
78543679457,78491413945
78543959277,78491693517
78543961301,78491695567
78548070493,78495811921
78550401657,78498118539
78550961181,78498676941
78550961181,78498676941
78552725675,78500439871
78556701059,78504399591
78560693817,78508380821
78561394245,78509079579
78561464235,78509149509
78562164795,78509848527
78565737453,78513411391
78568116981,78515783453
78568466799,78516132799
78568466799,78516132799
78572102253,78519759827
78574833777,78522483609
78577844337,78525485459
78578963583,78526602419
78578963583,78526602419
78579243213,78526881483
78583726819,78531351541
78587439303,78535055011
78588910545,78536522663
78589469937,78537081183
78593318353,78540917329
78596746851,78544337317
78599196699,78546781001
78599965995,78547549153
78599965995,78547551211
78601436049,78549016653
78605077795,78552647955
78609207117,78556765053
78610397409,78557952045
78610467267,78558021765
78614595313,78562138405
78618165639,78565698875
78620614893,78568141723
78620964645,78568490715
78621024735,78568492563
78623055963,78570518371
78627187905,78574639571
78630200949,78577642997
78631532673,78578970251
78631532673,78578970251
78635378889,78582805091
78639440355,78586854823
78643291917,78590696613
78644972815,78592372907
78645532587,78592930647
78648263319,78595654373
78652394783,78599776137
78655055319,78602428413
78655964463,78603335179
78656034321,78603405135
78660787973,78608144669
78664780043,78612126961
78668280665,78615619093
78669890955,78617225281
78670030803,78617364603
78673251861,78620575925
78677523297,78624837261
78679975619,78627282179
78680464857,78627769821
78680534847,78627839763
78686062275,78633353567
78689353323,78636636081
78692503401,78639778109
78694324857,78641594713
78694604025,78641873699
78698384029,78645644947
78701745315,78648997961
78705739145,78652984067
78707768679,78655005193
78709864711,78657106991
78714698151,78661913189
78718551363,78665754549
78721073247,78668269063
78722472717,78669664941
78723032769,78670223801
78727304249,78674485097
78731223843,78678394953
78734518213,78681679559
78736409109,78683565377
78736479231,78683635149
78742917585,78690056265
78747049173,78694175943
78749782479,78696901477
78750413049,78697529911
78751525359,78698646991
78755526741,78702627617
78759167409,78706257103
78762600483,78709681957
