Total_CPU_percent,Total_Memory_usage
0.4,2687500288
0.0,2687893504
0.0,2687893504
0.0,2687877120
0.2,2687877120
0.0,2687877120
0.0,2687877120
0.0,2687877120
0.0,2687877120
0.0,2687868928
0.0,2687741952
0.2,2687741952
0.0,2687741952
0.0,2687741952
0.0,2687741952
0.0,2687741952
0.0,2687741952
0.3,2690469888
0.0,2691977216
0.0,2691846144
0.0,2691780608
0.0,2688749568
0.2,2688749568
0.0,2688552960
0.0,2688552960
0.0,2688552960
0.0,2688552960
0.3,2692349952
0.3,2693869568
0.0,2693804032
0.0,2693124096
0.3,2693091328
0.0,2693058560
0.0,2693058560
0.0,2692665344
0.0,2692337664
0.0,2691977216
0.2,2695737344
0.2,2696224768
0.2,2696224768
0.0,2696044544
0.0,2695786496
0.2,2696077312
0.3,2700587008
0.0,2700320768
0.0,2700222464
0.0,2700222464
0.2,2703810560
0.0,2703966208
0.0,2703966208
0.0,2702336000
0.0,2702139392
0.6,2703884288
0.5,2706640896
0.0,2706735104
0.0,2706702336
0.2,2707668992
0.5,2709565440
0.2,2709524480
0.0,2709491712
0.0,2709098496
0.0,2709065728
0.5,2710548480
0.3,2711445504
0.0,2711445504
0.0,2711347200
0.2,2713776128
0.3,2716856320
0.6,2719563776
0.0,2719887360
0.2,2720124928
0.0,2720059392
0.5,2723065856
0.3,2723852288
0.0,2721329152
0.3,2719936512
0.0,2720325632
0.5,2721931264
0.2,2723078144
0.0,2722881536
0.0,2722144256
0.2,2722144256
0.3,2723651584
0.0,2722762752
9.5,2719576064
0.2,2718855168
0.5,2719805440
0.6,2722250752
0.8,2725335040
0.3,2724642816
0.3,2724642816
0.2,2724540416
0.6,2729127936
0.6,2732359680
0.0,2733588480
0.0,2733457408
0.3,2737385472
0.9,2739310592
0.3,2740662272
0.0,2740310016
0.0,2740310016
0.3,2740822016
0.3,2744213504
0.5,2745159680
0.3,2746023936
0.0,2746023936
0.6,2747269120
0.5,2747629568
0.2,2747953152
0.0,2747031552
0.2,2746933248
0.0,2746015744
0.2,2746900480
0.3,2746114048
0.0,2743808000
0.0,2740826112
0.5,2742853632
0.5,2744352768
0.5,2745925632
0.2,2745614336
0.0,2745352192
0.2,2747129856
0.3,2750947328
0.6,2753572864
0.0,2751725568
0.0,2751725568
0.6,2757599232
0.8,2759712768
0.3,2762723328
0.3,2762694656
0.0,2763182080
0.5,2766352384
0.5,2770243584
0.0,2771300352
0.0,2771447808
0.2,2771578880
0.5,2771873792
0.5,2770173952
0.2,2771681280
0.3,2770948096
0.0,2770751488
0.2,2771898368
0.8,2770980864
0.6,2772094976
0.2,2769608704
0.2,2769883136
0.8,2772144128
0.8,2770833408
0.3,2770563072
0.0,2770784256
0.0,2769997824
0.6,2770817024
0.3,2770849792
0.9,2770587648
0.2,2767491072
0.2,2769862656
0.6,2775089152
0.5,2779037696
0.2,2780925952
0.2,2780659712
0.2,2780069888
0.5,2785488896
0.5,2789019648
0.6,2793263104
0.3,2792083456
0.5,2793558016
0.5,2794508288
0.6,2793918464
0.3,2794795008
0.6,2795515904
0.0,2794598400
0.6,2796498944
0.3,2796429312
0.3,2796494848
0.5,2795958272
0.3,2796974080
0.6,2796642304
0.6,2793013248
0.3,2792873984
0.3,2793758720
0.5,2794139648
0.6,2795450368
0.6,2794467328
0.5,2794729472
0.0,2793955328
0.5,2798657536
0.8,2801790976
0.5,2804330496
0.6,2806534144
0.8,2809122816
0.2,2809823232
0.8,2812788736
0.5,2813980672
0.8,2812391424
0.6,2813587456
