Bytes_sent,Bytes_received
220557722088,259609370596
220557722368,259609372610
220557782174,259609373790
220557782174,259609374082
220557782174,259609374082
220557782174,259609374082
220557782174,259609374082
220559732810,259613935130
220564971978,259625012400
220564971978,259625012672
220564971978,259625012672
220564971978,259625012672
220564971978,259625012854
220564971978,259625012854
220564971978,259625012854
220564971978,259625012854
220564971978,259625012854
220569319036,259635258598
220572204490,259641604144
220572204490,259641604144
220572204490,259641604302
220572204490,259641604302
220572204490,259641604302
220572204490,259641604302
220572204490,259641604302
220572204490,259641604302
220572204490,259641604302
220578337022,259656288694
220579437080,259658677742
220579437080,259658677848
220579437080,259658677848
220579437080,259658678060
220580563874,259661094408
220586496570,259674514732
220586635414,259674685476
220586635414,259674685476
220586635414,259674685476
220593830648,259690274260
220593830648,259690274472
220593830648,259690274472
220593830648,259690275538
220593830648,259690275712
220596405984,259695695328
220600979476,259704661812
220600979476,259704661812
220600979476,259704661812
220601306740,259705101246
220608221464,259720960168
220608221464,259720960342
220608221464,259720960448
220608221464,259720960622
220608221464,259720960622
220612818576,259731926722
220615458186,259737827674
220615458186,259737827674
220615458186,259737827674
220616828850,259740485736
220623686024,259756256162
220628705990,259767282150
220629860298,259769441218
220629860298,259769441218
220629862276,259769458680
220634331206,259779273258
220637060930,259785386786
220637060930,259785386786
220637060930,259785386786
220639456762,259791625292
220646179000,259806397924
220651046384,259816423184
220651481852,259817484924
220651481852,259817484924
220651777584,259818337010
220657488534,259831817320
220658726200,259834679042
220658726200,259834679042
220658726200,259834679042
220661293364,259841337658
220668609942,259859196588
220673246428,259869783618
220673246428,259869783618
220673246428,259869783618
220673970920,259871405446
220680406176,259886263006
220685769256,259897716784
220687652282,259902038434
220687652282,259902038434
220691475606,259912434572
220698452020,259930316522
220702260044,259939525724
220702260176,259939525948
220702260176,259939525948
220703843770,259942990938
220710358514,259958476928
220715494496,259971120258
220716735666,259973695482
220716735666,259973695482
220722690478,259986415772
220728806636,260000518402
220731160128,260006270870
220731160128,260006270870
220731160128,260006270870
220732759680,260010235582
220738627636,260024126442
220745323148,260039113476
220745604580,260039566964
220745604580,260039567130
220750634684,260051443210
220758680360,260070088554
220764475930,260083350472
220767281556,260089135324
220767281556,260089135720
220769416164,260093685110
220775864912,260109457584
220781780434,260123482964
220781780434,260123482964
220781780434,260123482964
220788473394,260138840196
220795779748,260156249142
220801090874,260167978874
220803405054,260172616000
220803405054,260172616000
220807400904,260181888836
220814404866,260199273420
220817902390,260207039984
220817902390,260207039984
220817903410,260207043502
220826156306,260225628640
220831626486,260238381014
220838029272,260252554204
220839535740,260255624284
220839535740,260255624284
220843128432,260263872668
220849962056,260281082828
220857310474,260298362010
220861097502,260307118920
220862150260,260309760684
220869689600,260327019290
220875910050,260340993448
220882357852,260355562470
220882935050,260356891986
220883080762,260357264728
220887467682,260367483066
220895539904,260385981048
220901196616,260398350160
220904100344,260404429574
220906827088,260410088586
220913548654,260427297230
220921256132,260445655362
220925899390,260456047320
220926401764,260457818834
220926544818,260458111582
220932090048,260471833940
220938519518,260489401442
220945061162,260506447070
220948397992,260515706870
220951164082,260522917346
220958081316,260540964322
220964872920,260557371506
220972283768,260575569766
220977137588,260590819924
220978875866,260596200862
220985082594,260612538758
220990798294,260630171746
220997251310,260649643554
221000042390,260657752362
221003485848,260668794862
221009512808,260687528316
221016630274,260707832952
221024206678,260728414962
221029313964,260740869842
221031031804,260747161324
221037234336,260763917066
221043448724,260783111290
221050375596,260802555266
221051963160,260808535708
221056463626,260821451694
221062946822,260840179178
221069416576,260858997906
221075810270,260878090304
221081545314,260895379230
221083078070,260900313258
221088209410,260916567716
221096199106,260937065592
221103794170,260954849060
221109539292,260968033218
221115917304,260982588308
221123442052,260999637572
221129754438,261014447280
221135068790,261025495234
221139799370,261036321414
221141815556,261040693386
221146398524,261051743604
221154009704,261069037760
221161208556,261085531400
221168129598,261101216942
221173044518,261114084998
221180668908,261131778038
221188083018,261149254614
221194331902,261164392742
221197642770,261171559382
221200647902,261178309340
221207186642,261192685214
221212817468,261205000704
221219418794,261221800558
221226241938,261238164542
221227985344,261241929454
221231542618,261249117404
221238769580,261266224320
221246341172,261283851908
221253646912,261301216258
221259112092,261313650254
221266571610,261331125568
221273475192,261346979524
221278533744,261358475826
221284487588,261372154728
221285781320,261374964326
221290702408,261385550984
221297441598,261400923696
221304892930,261418401236
221311596044,261434309126
221316722770,261446950978
221325031676,261466203336
221331966014,261481361184
221338417070,261496200070
221342608238,261505628784
221345229652,261511730350
221351057052,261524844570
221357338470,261539641796
221363049546,261552761738
221369830184,261568553930
221372655818,261575134744
221376265206,261582828620
221383058040,261597885128
221389706196,261613194882
221397123922,261631217394
221403342884,261644817262
221409605758,261659605578
221416588418,261675837332
221423280982,261691511122
221428197542,261702287512
221431188620,261709083762
221435461770,261718794538
221440206106,261729959472
221447078216,261746425602
221454486886,261764003238
221461117620,261779762166
221468249084,261795969886
221475353178,261813776164
221482095282,261830918440
221487044486,261843496626
221489968692,261849760262
221495517904,261861827964
221501021228,261874966178
221507312496,261888800886
221513103996,261903214660
221517743112,261913889370
221521101308,261922151962
221527147394,261936550312
221533385796,261952405054
221539771832,261968016016
221547266118,261985610062
221553350330,261999726664
221561089844,262017215518
221567429406,262031404602
221572950746,262044682752
221575459648,262050509446
221579970096,262060886504
221584433484,262070060502
221590983820,262083843692
221597771418,262100267314
221604607342,262114873542
221611787896,262131547548
221618201474,262146451758
221625326670,262163077700
221631527464,262177571100
221634651328,262184603898
221639608812,262195853080
221645671716,262209091060
221651235558,262222233056
221656808070,262235356360
221662712742,262248577820
221665339766,262254739182
221670023712,262265636556
221677258576,262281569932
221682773658,262294563204
221689608166,262311226166
221697198544,262329108548
221704980142,262347327906
221711346106,262361650042
221716781292,262374344970
221720342914,262382619104
221723643200,262389760394
221728163300,262400248558
221735453998,262416323916
221741759280,262430500312
221748295680,262445752636
221755155636,262461972086
221761754780,262479154350
221768698434,262495412514
221775966838,262512696140
221779540724,262520505876
221783871102,262530165074
221789822436,262544902168
221795639858,262559164936
221801457938,262571783556
221807877650,262586510486
221810325126,262591888168
221814428116,262601721602
221821070410,262617886020
221826590386,262629745636
221833253710,262646156274
221840113306,262662790078
221847441190,262681211307
221854991922,262699287186
221861376964,262714205776
221865260862,262722777338
221868955258,262730934956
221872501034,262738823426
221879197478,262754653034
221884958126,262768369654
221892399488,262785856978
221899190408,262801566688
221904778226,262814702020
221911738008,262831179546
221918875410,262847899026
221924222788,262861076124
221928356976,262870099048
221934241026,262883892412
221940270456,262897667356
221946080214,262911789206
221951936456,262924213578
221955193810,262931506418
221958809558,262939498842
221964351950,262953604174
221971210452,262969995900
221977996240,262984411496
221984181800,262998088508
221990497774,263013510950
221998165850,263031870170
222004856644,263047144590
222010164616,263058398902
222013903710,263066973794
222017254588,263074325814
222022532606,263085948400
222029671562,263103390954
222035431038,263117528706
222042833936,263135200112
222049286972,263149444826
222055503184,263163153086
222062642904,263178366920
222068622374,263193193860
222072489868,263201954532
222077810054,263213574646
222084409002,263228938128
222089881048,263241484984
222096647750,263256867522
222099909398,263263933068
222103083154,263270738142
222107835286,263280983906
222114181886,263296184536
222121031298,263312736646
222127835572,263327857154
222134024158,263342143708
222141509184,263359150040
222148111774,263375217662
222154305696,263389988066
222158681108,263399099110
222161866726,263406313708
222166514256,263416844626
222172779134,263431995702
222179331120,263446745280
222186342892,263463742328
222193582162,263481764496
222199413632,263493852188
222206220068,263509371594
222212743006,263523807328
