Total_CPU_percent,Total_Memory_usage
0.2,2692182016
0.0,2692182016
0.0,2692153344
0.2,2692153344
0.0,2692153344
0.0,2692153344
3.8,2692128768
3.5,2691371008
0.2,2691371008
0.3,2691371008
0.0,2691371008
0.2,2691371008
0.6,2691403776
0.0,2691432448
0.6,2691432448
0.0,2691432448
0.0,2691432448
0.0,2691330048
0.0,2691330048
0.0,2691330048
0.0,2691330048
0.0,2691330048
0.3,2691072000
0.0,2691072000
0.0,2691072000
0.0,2691072000
0.2,2691072000
0.0,2690801664
0.0,2690543616
0.0,2690543616
0.2,2690543616
0.0,2690543616
0.3,2690543616
0.0,2690535424
0.0,2690535424
0.2,2690535424
0.0,2690535424
0.0,2690433024
0.6,2690433024
0.0,2690433024
0.0,2690433024
0.0,2690433024
0.5,2690433024
0.0,2690433024
0.0,2690433024
0.2,2690433024
0.0,2690433024
0.0,2689417216
0.5,2689417216
0.2,2689413120
0.0,2689409024
0.2,2689409024
0.2,2689409024
0.2,2689409024
0.0,2689400832
0.2,2689400832
0.0,2689400832
0.2,2689142784
0.2,2689138688
0.0,2689138688
0.0,2689134592
0.2,2689134592
0.3,2689134592
0.2,2689134592
0.0,2689118208
0.0,2689118208
0.0,2689118208
0.6,2689118208
0.2,2689118208
0.0,2689118208
0.0,2689118208
0.0,2689118208
0.6,2689118208
0.3,2689118208
0.2,2689118208
0.0,2689118208
0.0,2689093632
0.5,2689093632
0.2,2689081344
0.0,2689081344
0.2,2689081344
0.0,2689081344
0.6,2689081344
0.2,2689077248
0.2,2689060864
0.0,2689060864
0.0,2689060864
0.6,2688802816
0.3,2688802816
0.0,2688536576
0.0,2688528384
0.0,2688528384
0.6,2688528384
0.2,2688524288
0.0,2688512000
0.2,2688512000
0.0,2688512000
0.3,2688512000
0.0,2688512000
0.2,2688512000
0.0,2688512000
0.3,2688512000
0.2,2688512000
0.2,2688512000
0.2,2688512000
0.0,2688512000
0.2,2688733184
0.2,2688733184
0.5,2688733184
0.0,2688724992
0.0,2688720896
0.5,2688720896
0.2,2688720896
0.5,2688720896
0.5,2688692224
0.0,2688692224
0.2,2688172032
0.2,2688172032
0.2,2688172032
0.0,2688159744
0.0,2688155648
0.3,2688155648
0.5,2688155648
0.3,2688155648
0.2,2688131072
0.0,2688131072
0.2,2688114688
0.3,2688114688
0.2,2688114688
0.0,2688114688
0.0,2688114688
0.6,2688114688
0.5,2688114688
0.3,2688114688
0.2,2688114688
0.0,2687807488
0.2,2687807488
0.2,2687807488
0.5,2687807488
0.2,2687795200
0.2,2687782912
0.2,2687782912
0.3,2687782912
0.3,2687782912
0.0,2687754240
0.0,2687672320
0.2,2687512576
0.5,2687512576
0.3,2687512576
0.3,2687512576
0.3,2687492096
0.3,2687492096
0.3,2687492096
0.0,2687492096
5.7,2687492096
0.0,2687721472
0.6,2687721472
0.8,2687721472
0.3,2687721472
0.3,2687721472
0.3,2687721472
0.3,2687721472
0.6,2687721472
0.8,2687721472
0.9,2687721472
0.3,2687660032
0.3,2687660032
0.5,2687660032
0.3,2687660032
0.0,2687635456
0.2,2687631360
0.6,2687631360
0.6,2687631360
0.2,2687631360
0.2,2687631360
0.3,2687582208
0.3,2687582208
0.2,2687582208
0.2,2687582208
0.2,2687561728
0.3,2687561728
0.2,2687561728
0.8,2687561728
0.3,2687561728
0.0,2687561728
0.2,2687524864
0.3,2687524864
0.3,2687524864
0.2,2687524864
0.5,2687524864
0.2,2687524864
0.3,2687524864
0.3,2687524864
0.2,2687524864
0.0,2687524864
0.2,2687741952
0.5,2687741952
0.5,2687741952
0.3,2687741952
0.3,2687741952
0.0,2687721472
0.6,2687721472
0.3,2687721472
0.2,2687721472
0.3,2687655936
0.2,2687655936
0.5,2687655936
0.3,2687655936
0.3,2687655936
0.2,2687655936
0.3,2687655936
0.3,2687655936
0.3,2687655936
0.3,2687655936
0.5,2687606784
0.3,2687606784
0.3,2687606784
0.2,2687606784
0.5,2687606784
0.3,2687606784
0.0,2687606784
0.0,2687537152
0.5,2687537152
0.3,2687537152
0.3,2687557632
0.3,2687557632
0.5,2687557632
0.3,2687557632
0.2,2687557632
0.5,2687557632
0.0,2687754240
0.3,2687754240
0.3,2687754240
0.3,2687754240
0.2,2687737856
0.2,2687737856
