Bytes_sent,Bytes_received
81058668046,81102935700
81058668046,81102935700
81058668286,81102946792
81058668370,81102946898
81058668370,81102947004
81058668370,81102947004
81058668370,81102947004
81063298006,81107572028
81065548954,81109810944
81065548954,81109810944
81065548954,81109811156
81065548954,81109811262
81065549194,81109832404
81065549194,81109832404
81065549194,81109832578
81065549194,81109832578
81065549194,81109832578
81072430966,81116696224
81072430966,81116696224
81072430966,81116696224
81072430966,81116696224
81072430966,81116696224
81072430966,81116714916
81072430966,81116714916
81072430966,81116715022
81072430966,81116715022
81072430966,81116715196
81079310230,81123576912
81079310230,81123576912
81079310230,81123576912
81079310230,81123577282
81079310230,81123579294
81082513152,81126806108
81086182860,81130459314
81086182860,81130459314
81086182860,81130459314
81086182860,81130459314
81093066546,81137324416
81093066546,81137324416
81093066546,81137324416
81093066546,81137324416
81093066546,81137327534
81098429472,81142696750
81099940984,81144205972
81099940984,81144205972
81099940984,81144205972
81099940984,81144205972
81106850556,81151068158
81106850556,81151068158
81106850688,81151068276
81106850772,81151068700
81106850772,81151070974
81112501165,81156882492
81113721316,81157951372
81113721316,81157951372
81113721316,81157951372
81113722574,81157953656
81124181502,81168379138
81127342174,81171534678
81127479474,81171671972
81127479474,81171671972
81127777710,81172009610
81134213262,81178413372
81134350612,81178550418
81134350612,81178550418
81134350612,81178550418
81138776628,81183502790
81145901508,81190080328
81148100024,81192276178
81148100024,81192276178
81148100024,81192276548
81148374954,81192560764
81154694318,81198882712
81154969710,81199160980
81154969890,81199161146
81154969890,81199161146
81162129216,81206295190
81166527766,81210687094
81168725952,81212882248
81168725952,81212882248
81168725952,81212882248
81170356012,81214543658
81178485076,81222647342
81182193562,81226350294
81182468360,81226625076
81182468360,81226625076
81190036764,81234173536
81194704966,81238837240
81196217046,81240346504
81196217046,81240346716
81196217046,81240346822
81199925466,81244053928
81206935422,81251062750
81209958794,81254079122
81209958794,81254079122
81209958794,81254079122
81217397937,81261524010
81222198764,81266294512
81223712298,81267806550
81223712298,81267806550
81223712298,81267806550
81227287840,81271382032
81234026290,81278112276
81237459120,81281541258
81237459120,81281541364
81237459120,81281541364
81245983146,81290046632
81253105219,81297180384
81256971832,81301024900
81258070760,81302122926
81258070760,81302123084
81262901614,81306961370
81269753008,81313789362
81271814422,81315848418
81271814702,81315849086
81271874168,81315850266
81280977646,81324956104
81288376752,81332322302
81292362080,81336303450
81292499578,81336440914
81292499578,81336441104
81297857512,81341791308
81303898580,81347827164
81306281202,81350162062
81306281202,81350162062
81306281370,81350162448
81316596368,81360459384
81323191586,81367046580
81326626066,81370477246
81326900732,81370752504
81326900732,81370752610
81331577650,81375423000
81341198348,81385029756
81346417264,81390241890
81347516918,81391340710
81349052673,81393174546
81358110082,81401911204
81365800442,81409593550
81367998956,81411790130
81368136388,81411927410
81368839614,81412647432
81377206116,81420987374
81384209794,81427982566
81388054920,81431822798
81388741684,81432509150
81396031396,81439782048
81400297602,81444043566
81407161080,81450897382
81409085456,81452819200
81409360650,81453094484
81411284632,81455016058
81419527846,81463250584
81425712946,81469427286
81428736320,81472448234
81429971820,81473684284
81436847256,81480545690
81440973256,81484665620
81449901382,81493585748
81455676034,81499353704
81457187852,81500864198
81459939528,81503612204
81467776386,81511437692
81475746456,81519399074
81477669048,81521319540
81478081872,81521732022
81486200860,81529833528
81492250290,81535875362
81500215666,81543832312
81504336382,81547949730
81505573468,81549185284
81508665176,81552341134
81516428022,81560027254
81522473386,81566065596
81525766996,81569356658
81526179688,81569768550
81534440748,81578002458
81541172810,81584728990
81548867328,81592407130
81551755834,81595289090
81553679684,81597210796
81558492182,81602016934
81564539388,81608055016
81572096174,81615629554
81578964928,81622463790
81580612792,81624111564
81589827542,81633308718
81598483530,81641954542
81604864176,81648355440
81608233068,81651694270
81608645232,81652106636
81613552720,81657052238
81622392054,81665833780
81629947910,81673380212
81633931854,81677359336
81635993136,81679419068
81644947358,81688355060
81654183412,81697588248
81659700954,81703109152
81663015662,81706423978
81663705532,81707113052
81670732796,81714139900
81676525278,81719932588
81685054630,81728474960
81689629536,81733030322
81691150476,81734554426
81694547750,81737946996
81701497136,81744894190
81709354968,81752755752
81715561386,81758963164
81718185414,81761584364
81726043314,81769440738
81734998218,81778395454
81741892504,81785293798
81745617458,81789020144
81746308022,81789710598
81750304752,81793701966
81759265646,81802664836
81766572104,81809973956
81771541482,81814942860
81773888072,81817289194
81781323420,81824719362
81790693683,81834082034
81796765654,81840151264
81800079634,81843465686
81801597040,81844987416
81807239218,81850626468
81813727914,81857110884
81822437756,81865891498
81826673498,81870078454
81828904246,81872287978
81831940288,81875328884
81838514186,81881946990
81846006320,81889392316
81853311870,81896698054
81856350708,81899737374
81862619046,81906077588
81873035958,81916416922
81879249508,81922625872
81883529754,81926909034
81884357388,81927741386
81887939044,81931323650
81897171052,81940555506
81903796730,81947173622
81909007318,81952417498
81911521234,81954902754
81918644558,81962064170
81926679826,81970054078
81933992286,81977364864
81938132384,81981506000
81939514232,81982890964
81944337040,81987708952
81950959312,81994332812
81959636690,82003011428
81964742634,82008119186
81966360734,82009804944
81969583977,82012971038
81975814510,82019268952
81982815848,82026181054
81990126006,82033486030
81993989910,82037355360
81999778872,82043145026
82008319736,82051681086
82015686962,82058995272
82020114576,82063414970
82022322000,82065626484
82025200974,82068529452
82032941128,82076246038
82041216532,82084515042
