Bytes_sent,Bytes_received
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192429528019,192166820914
192430474315,192167743416
192430476955,192167751286
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430480387,192167754354
192430876511,192168139496
192431185701,192168439240
192431186229,192168439830
192431186229,192168439830
192431186229,192168439830
192431186229,192168439830
192431186229,192168440004
192431186229,192168440004
192431186229,192168440004
192431186509,192168440846
192431727129,192168908712
192432078963,192169250684
192432079227,192169250920
192432079227,192169250920
192432079227,192169250920
192432112447,192169283004
192432487803,192169647194
192432803265,192169951266
192432803265,192169951440
192432803265,192169951440
192433333881,192170477612
192433674369,192170801794
192433674369,192170801794
192433674369,192170801794
192433674369,192170801794
192433916345,192171039402
192434595173,192171703694
192434677293,192171784146
192434677293,192171784146
192434808191,192171930268
192435439577,192172530856
192435682397,192172769320
192435682397,192172769320
192435682397,192172769320
192435682397,192172769320
192435840193,192172923820
192436443921,192173513282
192436683477,192173747900
192436683477,192173747900
192437100257,192174155304
192437464913,192174520218
192438004507,192175040080
192438468291,192175493496
192438565289,192175588724
192438565421,192175588724
192438905293,192175922214
192439374033,192176377322
192439400465,192176403048
192439400465,192176403048
192439898425,192176883938
192440078935,192177064328
192440477097,192177450776
192440832425,192177796856
192440833877,192177798390
192440833877,192177798390
192441103181,192178060756
192441483981,192178429044
192441522521,192178465938
192441522521,192178465938
192441849073,192178780820
192442219661,192179151420
192442646731,192179560228
192442997721,192179897056
192442997721,192179897056
192442997721,192179897056
192443460453,192180366488
192443986045,192180858700
192444387605,192181254034
192444572761,192181426938
192444938771,192181781960
192445356181,192182188374
192445725971,192182545752
192445922235,192182735282
192445922235,192182735282
192445947679,192182759834
192446156555,192182962324
192446541261,192183333380
192447162127,192183940988
192447473765,192184245180
192447976275,192184735442
192448418429,192185163460
192448837149,192185569994
192448957535,192185686714
192448957535,192185686714
192449028339,192185755608
192449442049,192186164548
192449856667,192186556958
192450251019,192186938704
192450294867,192186981800
192450711075,192187388624
192451172227,192187838174
192451696187,192188348116
192452160795,192188800244
192452493511,192189125024
192452667457,192189294172
192453059281,192189674224
192453490733,192190092346
192453881997,192190472112
192453933769,192190522048
192454373145,192190948588
192454894073,192191455626
192455462783,192192011700
192455914817,192192450928
192456288745,192192813110
192456446265,192192966012
192456892669,192193396814
192457276767,192193779144
192457611021,192194094576
192457722489,192194209766
192458136461,192194604838
192458534347,192194991932
192458924697,192195371688
192459418663,192195850046
192459677649,192196104398
192459803143,192196227054
192460262271,192196673706
192460633623,192197033154
192461018907,192197406450
192461388293,192197770916
192461997939,192198356444
192462647547,192198986968
192463175201,192199499484
192463754783,192200079698
192464173179,192200472884
192464486443,192200777102
192464797455,192201087430
192465328069,192201597404
192465785501,192202043820
192466298427,192202542222
192466662317,192202896596
192467117771,192203339496
192467635193,192203846670
192468101903,192204296880
192468480551,192204665694
192468858587,192205033330
192469215743,192205381926
192469653113,192205814818
192470104977,192206249038
192470509429,192206644484
192471161805,192207279428
192471638837,192207750510
192472117451,192208209296
192472556225,192208642956
192473015463,192209081166
192473352281,192209407138
192473821015,192209865654
192474328829,192210360284
192474802626,192210822686
192475319217,192211325024
192475821739,192211817746
192476266053,192212244070
192476661253,192212628838
192477102147,192213057032
192477583611,192213527556
192478182817,192214112490
192478459785,192214382864
192479151395,192215056532
192479682151,192215517352
192479981143,192215809964
192480502211,192216317126
192481087437,192216898488
192481409773,192217200742
192481744567,192217527194
192482292115,192218059726
192482747163,192218505216
192483095547,192218846228
192483541251,192219299030
192484101719,192219828418
192484476943,192220191598
192485082965,192220783288
192485620785,192221311984
192486118875,192221796086
192486616797,192222282332
192486889753,192222567008
192487221909,192222871840
192487551187,192223191810
192488164863,192223789476
192488428287,192224045276
192489025699,192224628454
192489306463,192224896502
192489770585,192225350686
192490108407,192225674368
192490752345,192226320062
192491287079,192226825704
192491859965,192227383764
192492232951,192227745976
192492660945,192228161090
192493130031,192228616028
192493671885,192229141232
192494113769,192229570670
192494603681,192230045856
192494644241,192230087266
192495065897,192230497878
192495778109,192231191492
192496108081,192231512952
192496683453,192232067788
192496989869,192232368004
192497470489,192232833072
192497900865,192233252880
192498311143,192233655232
192498704529,192234042006
192499234991,192234552832
192499709499,192235012536
192500216557,192235507268
192500552001,192235834886
192500686861,192235968424
192501337709,192236597868
192501708729,192236960606
192502173771,192237412076
192502539813,192237768138
192503245799,192238481232
192503853343,192239053536
192504324267,192239511680
192504948787,192240117632
192505318969,192240479222
192505792933,192240939430
192506092829,192241231446
192506641265,192241760490
192506754273,192241873602
192507307847,192242410604
192507692553,192242793620
192508144251,192243222152
192508629879,192243695886
192509135745,192244186762
192509564393,192244601852
192509818001,192244848152
192510385463,192245399096
192510793505,192245798816
192511423593,192246412358
192511887081,192246861922
192512393379,192247354898
192512826499,192247777546
192513368901,192248300726
192513477229,192248409932
192513892041,192248826056
192514356859,192249278668
192515068757,192249963344
192515337215,192250225542
192515777263,192250654066
192516118403,192250985990
192516619153,192251471522
192516866389,192251711140
192517445179,192252273106
192517765319,192252586438
192518196963,192253004468
192518508443,192253306290
192518976767,192253759848
192519551377,192254322562
192520104333,192254858524
192520438205,192255184048
192520885673,192255621086
192521189817,192255916256
192521535227,192256250754
192521933299,192256637800
192522339383,192257034362
192522748636,192257436430
192523304771,192257972752
192523764323,192258419950
192524393995,192259046052
192524815775,192259446388
192525381393,192259995896
192525965809,192260580254
192526335265,192260929782
192526686421,192261274110
192527096397,192261660812
192527500991,192262053576
192528065319,192262602090
192528366885,192262894424
192528760557,192263276538
192528889853,192263403548
192529263987,192263769068
192529727099,192264219192
192530338965,192264814912
192530733107,192265213376
192531150517,192265622802
192531478541,192265924082
192532093777,192266529482
192532508553,192266925424
192532724833,192267137844
192533296687,192267693344
192533616383,192268003778
192534040851,192268419252
192534476379,192268842844
192535027931,192269379130
192535408077,192269749026
192535827713,192270157926
192536416285,192270730004
192536654423,192270961486
192537234981,192271536576
192537338433,192271625156
192537727991,192272002758
192538255347,192272514912
192538682173,192272928188
192539066885,192273301524
192539593619,192273852664
192539996899,192274208116
192540622273,192274816450
192541290159,192275469388
192541587669,192275766874
192541982359,192276143294
192542632465,192276783910
192543077463,192277226244
192543376811,192277499568
192543771539,192277883470
192544116927,192278219576
192544747741,192278790488
192545249393,192279277466
192545367211,192279385190
192545931975,192279931752
192546534975,192280517694
192546822413,192280796782
192547133755,192281099246
192547375211,192281332672
192547426833,192281384350
192548131001,192282068440
192548583505,192282512124
192548937597,192282861456
192549483127,192283387960
192549758767,192283653554
192549856863,192283751360
192550382835,192284271354
192550891721,192284757230
192551277601,192285133168
192551624453,192285472208
192552055733,192285890268
192552448947,192286271672
192553219795,192287020754
192553529149,192287322872
192553545473,192287339946
192553859943,192287654172
192554630355,192288392728
192555060483,192288811388
192555366967,192289108500
192555589025,192289328796
192556082973,192289803766
192556463733,192290171828
192556826155,192290524428
192556965985,192290671334
192557589787,192291266402
192558014431,192291688672
192558434433,192292091198
192558891349,192292541352
192559217699,192292848418
192559499101,192293123344
192559925749,192293538038
192560414965,192294012698
192560896883,192294480924
192561609675,192295174730
192561937957,192295495674
192562324625,192295871312
192563042189,192296567640
192563451485,192296967498
192563799523,192297307308
192564198207,192297692014
192564531863,192298016380
192565097293,192298567200
192565748323,192299196636
192566215111,192299648666
192566441827,192299869124
192566947335,192300372458
192567549971,192300948316
192567974011,192301361632
192568478311,192301856720
192568755243,192302121526
192569229485,192302580712
192569916155,192303250004
192570330025,192303658588
192570935751,192304242884
192571284543,192304583134
192571655803,192304943398
192571996659,192305273994
192572451715,192305725250
192572848634,192306112960
192573312389,192306554984
192573705305,192306936874
192574264893,192307478274
192574713259,192307915832
192575156891,192308357234
192575793507,192308970460
192576373309,192309529894
192576841773,192309984982
192577232145,192310365162
192577659903,192310782112
192578015579,192311129186
192578527989,192311640038
192578900263,192311990046
192579570887,192312640970
192579896671,192312960220
192580058105,192313118608
192580897917,192313937094
192581372855,192314399122
192581793807,192314807490
192582242631,192315243768
192582686765,192315683550
192583043943,192316022832
192583428279,192316398376
192584074575,192317029238
192584539397,192317480858
192584634631,192317575756
192585419647,192318340398
192586051939,192318958286
192586461413,192319354242
192586852535,192319738076
192587362753,192320234888
192587981045,192320838250
192588408265,192321253014
192588644131,192321483292
192588893349,192321726682
192589506705,192322321876
192589846191,192322653914
192590495547,192323285982
192590951589,192323728572
192591352641,192324118128
192591685995,192324442760
192592192257,192324947310
192592801067,192325525664
192592819679,192325546832
192593445525,192326153366
192594065311,192326768700
192594321209,192327016738
192594882091,192327550470
192595236357,192327895244
192595626945,192328272056
192595998595,192328649818
192596508809,192329129520
192596959421,192329567784
192597232959,192329834598
192597610071,192330200714
192598226301,192330796868
192598675249,192331233108
192598896597,192331450168
192598944533,192331498124
192599680213,192332213082
192600214413,192332734322
192600700639,192333205026
192601030761,192333529010
192601483477,192333970638
192601984061,192334455214
192602251417,192334715556
192602761235,192335227002
192603153443,192335593826
192603772579,192336196448
192604194531,192336607030
192604738201,192337141330
192605182493,192337568536
192605613423,192337986054
192606069789,192338431472
192606442517,192338793276
192606597379,192338944236
192607348569,192339692950
192607832625,192340145786
192608268759,192340569878
192608832283,192341063176
192609477363,192341687734
192609835351,192342039228
192610285083,192342477050
192610750807,192342928298
192611239123,192343402270
192611963197,192344107866
192612380217,192344515282
192612632741,192344761590
