Total_CPU_percent,Total_Memory_usage
0.4,2655379456
0.0,2655379456
0.0,2655637504
0.2,2655637504
0.0,2655637504
0.0,2655637504
0.0,2655637504
0.0,2655612928
0.0,2655612928
0.0,2655612928
0.0,2655612928
0.0,2655612928
0.2,2655612928
0.0,2655612928
0.0,2655612928
0.0,2655612928
0.2,2660519936
0.2,2660388864
0.0,2655109120
0.2,2654916608
0.0,2654892032
0.0,2654892032
0.0,2654892032
0.0,2654892032
0.2,2654892032
0.0,2659053568
0.0,2660814848
0.0,2660421632
0.0,2660257792
0.0,2658062336
0.2,2658062336
0.0,2658062336
0.0,2658062336
0.0,2658062336
0.0,2658062336
0.3,2661699584
0.0,2661699584
0.2,2661441536
0.0,2658766848
8.5,2654826496
0.3,2653978624
0.8,2658631680
0.3,2658197504
0.0,2657050624
0.5,2655739904
0.5,2660786176
0.0,2660421632
0.0,2659635200
0.2,2656657408
0.0,2656657408
0.0,2657476608
0.3,2660229120
0.2,2660163584
0.0,2660163584
0.0,2660163584
0.2,2662719488
0.2,2662260736
0.0,2662129664
0.0,2661462016
0.0,2661462016
0.2,2658316288
0.2,2660438016
0.0,2660560896
0.0,2660265984
0.0,2660265984
0.3,2663219200
0.2,2664927232
0.0,2664001536
0.0,2661183488
0.0,2661183488
0.0,2660896768
0.2,2661879808
0.0,2661875712
0.0,2661875712
0.2,2661875712
0.2,2665512960
0.5,2663186432
0.0,2662780928
0.0,2661597184
0.0,2661597184
0.0,2658058240
0.3,2659201024
0.0,2657136640
0.0,2653962240
0.0,2652880896
0.3,2659991552
0.2,2661527552
0.0,2659672064
0.0,2658983936
0.0,2658983936
0.5,2662686720
0.0,2662973440
0.3,2663546880
0.0,2663677952
0.0,2665365504
0.3,2665627648
0.2,2665562112
0.0,2663620608
0.0,2663620608
0.0,2663620608
0.2,2659000320
0.3,2661163008
0.0,2660900864
0.0,2661183488
0.3,2665021440
0.2,2665152512
0.2,2665603072
0.0,2663960576
0.0,2663960576
0.0,2664484864
0.6,2664779776
0.0,2664243200
0.0,2663522304
0.0,2663096320
0.5,2662572032
0.2,2663325696
0.2,2663522304
0.2,2662346752
0.0,2662047744
0.3,2661851136
0.3,2659721216
0.0,2657525760
0.2,2654531584
0.0,2652434432
0.5,2658201600
0.2,2660925440
0.3,2661318656
0.2,2660196352
0.0,2660196352
0.0,2661863424
0.2,2663763968
0.3,2664550400
0.0,2664869888
0.0,2664865792
0.5,2665488384
0.0,2662735872
0.0,2661191680
0.0,2660495360
0.0,2660495360
0.3,2660233216
0.0,2660200448
0.3,2660528128
0.0,2661249024
0.0,2661457920
0.3,2663522304
0.3,2662834176
0.3,2660597760
0.0,2660552704
0.0,2660749312
0.3,2661343232
0.5,2662555648
0.2,2661113856
0.2,2660851712
0.0,2660966400
0.2,2662014976
0.0,2663161856
0.2,2661679104
0.2,2660655104
0.0,2660655104
0.2,2660524032
0.0,2659901440
0.2,2655051776
0.2,2652942336
0.0,2653986816
0.3,2659917824
0.2,2661392384
0.0,2660708352
0.3,2661003264
0.0,2660741120
0.2,2660794368
0.2,2661154816
0.2,2661511168
0.0,2660483072
0.2,2661855232
0.3,2661232640
0.3,2663825408
0.2,2661715968
0.2,2660864000
0.2,2661015552
0.0,2661703680
0.5,2661048320
0.5,2659409920
0.0,2659426304
0.2,2661588992
0.3,2663358464
0.3,2664013824
2.8,2657906688
2.5,2649964544
0.2,2650152960
0.5,2655854592
0.3,2658017280
0.6,2660278272
0.5,2659721216
0.5,2660024320
0.8,2660581376
0.5,2659926016
0.2,2658861056
0.2,2659049472
0.2,2658623488
0.2,2659639296
0.6,2657443840
0.3,2656067584
0.2,2655019008
0.3,2661314560
0.2,2662006784
0.2,2660753408
0.3,2659086336
0.0,2659074048
0.3,2658942976
0.2,2660450304
0.0,2661695488
0.3,2662121472
0.2,2660352000
0.2,2656587776
0.5,2656821248
0.3,2658705408
0.3,2659426304
0.3,2659000320
0.5,2661621760
0.2,2659590144
0.3,2660868096
