Bytes_sent,Bytes_received
48030264310,48081325210
48030264310,48081325210
48030264310,48081325210
48030264310,48081325210
48030264310,48081325210
48030264310,48081325210
48043944078,48094917746
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48043944078,48094917958
48046420946,48099227420
48057589036,48108510912
48057589036,48108510912
48057589036,48108510912
48057589036,48108510912
48057589036,48108511284
48057589036,48108511284
48057589036,48108511284
48057589036,48108511284
48057589036,48108511284
48069274342,48122091878
48071253526,48122104648
48071253526,48122104648
48071253526,48122104648
48071253526,48122104754
48071253526,48122104754
48084319912,48135163144
48084864122,48135707014
48084864122,48135707014
48084864122,48135707014
48098515452,48149301184
48098515452,48149301184
48098515452,48149301184
48098515452,48149301184
48098515452,48149301290
48101478756,48152294832
48112122880,48162900274
48112122880,48162900274
48112122880,48162900274
48112122880,48162900274
48125790728,48176489470
48125790728,48176489682
48125790728,48176489682
48125790728,48176489682
48125790728,48176489788
48129875504,48180572722
48139397826,48190093150
48139397826,48190093150
48139397826,48190093150
48139397826,48190093150
48154161050,48204773196
48164489386,48215174658
48166677022,48217280344
48166677022,48217280344
48166677022,48217280344
48172211428,48222929382
48180281150,48230877640
48180281150,48230877640
48180281150,48230877640
48180281150,48230877640
48197175912,48247735696
48207246800,48257797486
48207518872,48258069628
48207518872,48258069628
48207518872,48258069628
48212964144,48263512760
48221123132,48271669294
48221123132,48271669294
48221123132,48271669476
48221123132,48271669476
48237759872,48288258258
48248373580,48298865420
48248373580,48298865420
48248373580,48298865420
48248373580,48298865420
48258710996,48309203498
48270142249,48320629632
48275311018,48325792248
48275583090,48326064504
48275707243,48326382192
48293567406,48344006694
48302545250,48352979054
48302817388,48353251060
48302817388,48353251166
48302817388,48353251166
48318285992,48368750280
48328115464,48378536814
48330021420,48380441304
48330021420,48380441304
48336670006,48389998220
48346990814,48397303522
48357055032,48407363686
48357327302,48407636046
48357327302,48407636152
48358143848,48408452788
48373648850,48423953302
48383169060,48433468454
48384529552,48434827412
48384529552,48434827412
48384530218,48434828554
48406639275,48456853986
48418937994,48469089172
48424924106,48475071682
48425468184,48475616140
48427371896,48477518174
48441787818,48491930000
48451610846,48501842860
48452667134,48502803544
48452667134,48502803544
48466342430,48516396740
48479144758,48529205936
48489825280,48539996926
48493548108,48543585200
48493548108,48543585382
48496667376,48546714250
48510694507,48560734188
48520752470,48570776790
