Total_CPU_percent,Total_Memory_usage
0.4,2683494400
0.0,2683031552
0.0,2683031552
0.0,2683031552
0.0,2683031552
0.0,2683031552
5.5,2683940864
0.3,2683490304
0.6,2684039168
0.3,2684039168
0.3,2684039168
0.0,2684432384
0.2,2684432384
0.2,2684432384
0.5,2684432384
0.0,2684432384
0.2,2684432384
0.0,2684432384
0.2,2684112896
0.0,2684108800
0.0,2684108800
0.0,2683334656
0.2,2683334656
0.0,2683334656
0.0,2683334656
0.0,2683334656
0.0,2683334656
0.0,2683334656
0.5,2683297792
0.0,2683297792
0.0,2683297792
0.0,2682728448
0.0,2682638336
0.2,2682372096
0.3,2682372096
0.0,2682372096
0.0,2682372096
0.0,2682363904
0.5,2682355712
0.0,2682355712
0.0,2682355712
0.0,2682392576
0.2,2682392576
0.3,2682392576
0.5,2682425344
0.0,2682421248
0.0,2682421248
0.0,2682421248
0.3,2682466304
0.2,2682466304
0.2,2682466304
0.0,2682155008
0.0,2682155008
0.3,2682155008
0.0,2681946112
0.0,2681942016
0.0,2681942016
0.0,2681942016
0.6,2681942016
0.3,2681942016
0.0,2682355712
0.0,2682355712
0.2,2682355712
0.8,2682355712
0.0,2682355712
0.0,2682355712
0.0,2682355712
0.3,2682355712
0.0,2682355712
0.2,2682355712
0.2,2682503168
0.0,2682503168
0.3,2682503168
0.2,2682503168
0.0,2682548224
0.0,2682548224
0.0,2682548224
0.3,2682548224
0.5,2682527744
0.2,2682650624
0.0,2682134528
0.0,2682134528
0.3,2682134528
0.2,2682134528
0.5,2682134528
0.0,2682204160
0.0,2682204160
0.3,2682204160
0.3,2682204160
0.2,2682314752
0.0,2682249216
0.0,2682249216
0.5,2682249216
0.2,2682249216
0.0,2682249216
0.2,2682249216
0.0,2682249216
0.2,2682249216
0.6,2682249216
0.0,2682077184
0.0,2682523648
0.0,2682523648
0.3,2682523648
0.3,2682523648
0.2,2682523648
0.0,2682609664
0.0,2682609664
0.6,2682609664
0.3,2682351616
0.5,2682351616
0.3,2682339328
0.0,2682097664
0.2,2682097664
0.5,2682097664
0.2,2682167296
0.0,2682167296
0.2,2682167296
0.2,2682126336
0.6,2682126336
0.2,2682245120
0.0,2682261504
0.0,2682257408
0.2,2682257408
0.5,2682257408
0.0,2682187776
0.0,2682183680
0.0,2682183680
0.8,2682183680
0.0,2682183680
0.3,2682580992
0.0,2682593280
0.0,2682593280
0.3,2682593280
0.3,2682593280
0.2,2682593280
0.2,2682593280
0.2,2682675200
0.2,2682675200
0.5,2682675200
0.3,2682314752
0.0,2682052608
0.0,2682052608
0.2,2682052608
0.3,2682052608
0.3,2682052608
0.0,2682130432
0.2,2682130432
0.2,2682130432
0.3,2682130432
0.0,2682322944
0.2,2682314752
0.0,2682314752
0.6,2682314752
0.2,2682314752
6.0,2682298368
0.2,2682679296
0.5,2682675200
0.2,2682675200
0.9,2682675200
0.3,2683031552
0.5,2683060224
0.6,2683355136
0.9,2683060224
0.0,2683060224
0.0,2683060224
0.3,2683408384
0.5,2683408384
0.2,2683408384
0.6,2683408384
0.5,2683592704
0.0,2683604992
0.3,2683604992
0.6,2683604992
0.6,2683604992
0.2,2683604992
0.0,2683957248
0.5,2683699200
0.3,2683699200
0.3,2684084224
0.2,2683895808
0.0,2683908096
0.5,2683908096
0.3,2683908096
0.3,2683908096
0.2,2683908096
0.2,2683908096
0.6,2683998208
0.2,2683998208
0.6,2684137472
0.2,2684137472
0.2,2684162048
0.3,2684162048
0.2,2684162048
0.5,2684162048
0.5,2684162048
0.0,2684252160
0.5,2684252160
0.3,2684252160
0.5,2684145664
0.0,2684145664
0.2,2684141568
0.3,2684141568
0.5,2684141568
0.6,2684141568
0.5,2684141568
