Bytes_sent,Bytes_received
191119891688,191127355368
191119891688,191127355368
191119891688,191127355368
191119891688,191127355542
191119891688,191127355542
191119891688,191127355542
191119891968,191127356384
191119951510,191127357836
191120882252,191128963154
191121851146,191130116140
191121851146,191130116140
191121851146,191130116140
191121851230,191130116246
191121851398,191130116782
191121851398,191130116888
191121851398,191130117062
191121851398,191130117062
191121851398,191130117062
191123795176,191133200230
191123795176,191133201576
191123795176,191133201576
191123795176,191133201576
191123795176,191133201758
191123795176,191133201758
191123795176,191133202240
191123795176,191133202406
191123795176,191133202406
191123795176,191133202564
191125733656,191136096818
191125733656,191136097348
191125733656,191136097348
191125733656,191136097348
191125733656,191136097348
191126554176,191137120886
191127598028,191138347842
191127598028,191138347842
191127598028,191138347842
191127598028,191138347842
191129489324,191140849464
191129489324,191140849464
191129489324,191140849464
191129489324,191140849464
191129489324,191140849464
191130605102,191142144624
191131344732,191142964872
191131344732,191142964872
191131344732,191142964872
191131344732,191142964872
191133244224,191145519406
191133244224,191145519406
191133244224,191145519406
191133244224,191145519406
191133244224,191145519406
191134811147,191147405100
191135108614,191147721358
191135108614,191147721358
191135108614,191147721464
191135411292,191148135876
191137532564,191150980666
191138862606,191152921476
191138899286,191152958308
191138899286,191152958414
191138937884,191153007080
191140698464,191155213898
191140771824,191155287232
191140771824,191155287232
191140771824,191155287414
191142004364,191156802526
191143506268,191158635010
191144513416,191159825268
191144513416,191159825268
191144513416,191159825268
191144780288,191160237870
191146390670,191162315692
191146390670,191162315692
191146390670,191162315692
191146390670,191162317132
191147907235,191164692394
191149662480,191166886904
191150186874,191167564968
191150186874,191167565232
191150186874,191167565232
191150708488,191168184508
191152611376,191170451380
191153572076,191171525970
191153914088,191172016876
191153914088,191172017082
191155845784,191174673872
191157268836,191176441666
191157670488,191176864622
191157670488,191176864622
191157670488,191176864728
191158433528,191177972766
191160270572,191180687248
191161435690,191182620074
191161509050,191182693394
191161509050,191182693602
191163582084,191185322794
191165183604,191187593458
191165300430,191187773888
191165300430,191187773888
191165300430,191187774814
191166229624,191188830096
191168173038,191191702130
191169031500,191192716034
191169071942,191192805830
191169071942,191192805830
191171261044,191195625062
191173166942,191197948730
191174322816,191199330172
191174692660,191199748120
191174692660,191199748120
191176178764,191201488094
191177916930,191203648068
191178416616,191204242414
191178416616,191204242414
191178416616,191204242414
191180767090,191207522008
191182894314,191210156768
191183938934,191211425104
191184051890,191211582418
191184051890,191211582418
191185843514,191213732878
191187300234,191215554360
191187780214,191216084300
191187780214,191216084300
191187780214,191216084406
191190766718,191220060254
191192410966,191222108800
191193339848,191223202802
191193413340,191223276122
191193413340,191223276122
191195121688,191225264816
191197497524,191228079170
191198483756,191229469160
191198934440,191230043798
191199590886,191230931038
191202103197,191234237574
191203992530,191236672856
191204644136,191237418166
191204644136,191237418166
191204717232,191237491396
191206926638,191240311580
191208765362,191242268212
191209989254,191243630740
191210211056,191243877426
191211630822,191245785632
191213403684,191247878720
191215167608,191250043430
191215840234,191250914238
191215840234,191250914238
191216177486,191251359804
191218735112,191254773244
191220509540,191257214950
191221401820,191258394906
191221548408,191258541404
191223466808,191260986696
191224488034,191262234450
191227065782,191265682332
191228351584,191267296636
191228906470,191267916956
191229841998,191269090456
191232044654,191271767934
191233763712,191273913722
191234519206,191274923988
191234667180,191275090310
191236676800,191277771346
191238291176,191279791936
191240617786,191282705116
191241802370,191284020180
191242175610,191284457204
191242962100,191285418612
191245116308,191287898414
191247168980,191290412600
191247755908,191291031612
191247757944,191291032084
191249927898,191293971492
191251998658,191296770252
191254067736,191299543112
191255163854,191301007616
191255273794,191301171246
191256368862,191302603066
191258007304,191304542296
191260830036,191308305572
191261865728,191309455688
191262727548,191310561212
191265316880,191313727002
191267370209,191316711342
191269076338,191318656690
191270126124,191320015304
191270314864,191320281018
191271856038,191322318832
191273659096,191324537598
191275841446,191327221282
191277275870,191329203072
191277797528,191329860322
191280532548,191333710038
191282677000,191336435462
191284346026,191338500184
191285361348,191339790678
191285405010,191339894338
191287262114,191342123596
191289412040,191344818360
191291503120,191347404726
191292645114,191348969352
191292953352,191349381202
191294047878,191350682464
191295447594,191352409272
191298226738,191356121674
191299618816,191357725808
191300318564,191358685806
191303059681,191361973622
191304853356,191363981210
191306694174,191366065374
191307880730,191367605206
191308074828,191367870362
191309461236,191369511730
191311353054,191371734360
191313469046,191374313032
191315091386,191376279280
191315634820,191376872796
191317624456,191379676156
191320301356,191382892122
191321886890,191384816172
191322985988,191386094622
191323279270,191386441066
191324505586,191388123070
191326927614,191391034514
191328913248,191393334444
191330238470,191394996944
191330801200,191395621860
191331584076,191396529034
191332911402,191398117710
191335336592,191401065968
191337418096,191403695104
191338240652,191404562662
191340281378,191407096214
191342337636,191409791354
191344196884,191412101622
191345449121,191413463582
191345877684,191413921850
191346887496,191415051060
191348974290,191417741250
191350908217,191420172410
191352644174,191422258924
191353711930,191423649068
191354908454,191424950410
191357572656,191428522914
191359530622,191430999970
191360803272,191432572994
191361096800,191432838222
191362231152,191434212434
191364226470,191436581160
191366496406,191439424434
191367864004,191441165372
191368615174,191441961382
191369428872,191442808234
191370830548,191444400420
191372712490,191446587420
191374992050,191449166352
191375860230,191450243640
191377699520,191452567658
191379879328,191455202048
191381745034,191457464374
191382939852,191458947104
191383612912,191459706242
191384549868,191460760074
191386464126,191463438062
191388498550,191465950496
191390311942,191468042230
191391374268,191469343100
