Total_CPU_percent,Total_Memory_usage
0.2,2684862464
0.2,2684846080
0.0,2684837888
0.2,2684837888
0.0,2684837888
0.0,2684837888
0.0,2684837888
0.0,2684837888
0.0,2684837888
0.0,2684837888
0.2,2684837888
0.0,2684837888
0.0,2684837888
0.0,2684579840
0.0,2684579840
0.0,2684579840
0.0,2684579840
0.5,2705063936
0.8,2710077440
0.3,2711715840
0.0,2699784192
0.0,2699751424
0.2,2699456512
0.0,2698407936
0.0,2698391552
0.2,2698129408
0.0,2698096640
1.1,2718830592
0.2,2722463744
0.2,2723565568
0.0,2723201024
0.2,2722152448
0.0,2721628160
0.0,2720321536
0.0,2715045888
0.2,2711273472
0.0,2708783104
0.5,2728493056
0.5,2734501888
0.3,2737348608
0.0,2733875200
0.0,2733678592
0.0,2733678592
0.2,2733232128
0.3,2739175424
0.8,2743205888
0.8,2748936192
0.6,2752487424
0.3,2759208960
0.5,2762289152
0.2,2761531392
0.0,2760908800
0.0,2760765440
0.2,2766725120
0.5,2770874368
0.6,2776854528
0.3,2781814784
0.6,2780835840
0.6,2786840576
0.3,2784825344
0.2,2783776768
0.0,2783678464
0.2,2787188736
5.9,2793078784
1.2,2797125632
0.8,2800095232
0.8,2807975936
0.8,2810073088
0.5,2811744256
0.6,2816815104
0.6,2821541888
0.3,2826784768
0.5,2828828672
0.3,2830364672
0.8,2834358272
0.2,2837909504
0.5,2841198592
0.5,2840576000
0.8,2843820032
0.8,2843516928
0.2,2844143616
0.3,2843947008
0.3,2840735744
0.5,2841391104
0.8,2842443776
0.0,2838605824
0.6,2843058176
0.5,2842238976
0.3,2844569600
0.8,2849660928
0.6,2854240256
0.8,2856632320
0.5,2861289472
0.6,2863951872
0.6,2867453952
0.8,2873462784
0.8,2879770624
0.8,2885226496
0.2,2889793536
0.6,2895892480
0.8,2895896576
0.5,2901495808
0.3,2905116672
0.9,2911903744
0.5,2918150144
0.5,2920562688
0.9,2919383040
0.3,2918858752
0.8,2919661568
0.6,2921037824
0.5,2920939520
0.6,2920349696
0.6,2918662144
0.3,2916765696
0.6,2919059456
0.6,2921222144
0.5,2920534016
0.6,2917785600
0.5,2919432192
0.5,2919235584
0.6,2919432192
0.5,2920382464
0.6,2919989248
0.3,2920153088
0.8,2917433344
0.6,2917896192
0.6,2920386560
0.6,2918420480
0.5,2926891008
0.8,2929102848
0.5,2932453376
0.6,2937692160
0.5,2943750144
0.5,2948227072
0.8,2947366912
0.5,2948055040
0.6,2947043328
0.5,2946535424
0.5,2949713920
0.6,2946699264
0.9,2948141056
0.8,2947354624
0.3,2948075520
0.6,2948501504
0.3,2948337664
0.6,2944405504
0.5,2947485696
0.5,2947235840
0.3,2947039232
0.6,2947137536
0.6,2947825664
0.3,2944974848
0.5,2947006464
0.6,2947596288
0.3,2946646016
0.5,2948386816
0.5,2946527232
0.8,2946232320
0.3,2948493312
0.6,2949017600
0.6,2951495680
0.8,2951979008
0.6,2958770176
0.8,2959343616
0.6,2960752640
0.6,2960072704
0.8,2959790080
0.5,2958512128
0.5,2960773120
0.5,2961850368
0.5,2961096704
0.3,2963095552
0.2,2961719296
0.6,2960998400
0.5,2961686528
0.8,2961862656
0.6,2960728064
0.3,2960498688
0.3,2961317888
0.8,2958565376
0.8,2962923520
0.6,2962104320
0.9,2962300928
0.6,2962960384
0.8,2958733312
0.8,2960273408
0.9,2962616320
0.5,2961108992
0.5,2961338368
0.8,2960224256
0.3,2959568896
0.6,2963202048
0.6,2968588288
0.8,2969964544
0.5,2965049344
0.5,2966499328
0.5,2966204416
0.6,2966831104
0.5,2968338432
0.8,2966405120
0.5,2965716992
0.6,2967748608
0.6,2966011904
0.5,2966044672
0.5,2964996096
0.5,2965176320
0.6,2966781952
0.6,2965372928
0.5,2962915328
10.6,2957504512
0.8,2965487616
0.6,2965323776
0.5,2964140032
0.2,2963968000
0.8,2965409792
0.6,2964082688
0.5,2965295104
0.5,2963918848
0.6,2964901888
0.8,2969628672
0.8,2971746304
0.5,2976866304
0.8,2976395264
0.8,2975707136
0.6,2976440320
0.5,2973597696
0.5,2976481280
0.6,2977071104
0.8,2975399936
0.2,2975170560
0.5,2974187520
0.5,2977169408
0.3,2976448512
0.6,2974351360
0.6,2975703040
0.6,2976260096
0.9,2973442048
