CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,139264
0.0,0.0,0.0,0,139264
0.0,0.0,0.0,0,139264
0.0,0.0,0.0,0,139264
0.0,0.0,0.0,0,139264
0.0,0.0,0.0,0,139264
0.2,0.0,0.0,0,139264
0.0,0.0,0.0,0,184320
0.8,50.0,0.0,0,184320
0.9,45.5,0.0,0,184320
0.6,40.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.2,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.6,41.7,0.0,0,184320
0.8,28.6,0.0,0,184320
0.2,44.4,0.0,0,184320
0.5,11.1,0.0,0,184320
0.0,0.0,0.0,0,184320
0.2,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.6,40.0,0.0,0,184320
0.8,50.0,0.0,0,184320
0.5,40.0,0.0,0,184320
0.6,10.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.2,10.0,0.0,0,184320
0.6,33.3,0.0,0,184320
0.6,40.0,0.0,0,184320
0.8,44.4,0.0,0,184320
0.6,40.0,0.0,0,184320
0.6,44.4,0.0,0,184320
0.9,58.3,0.0,0,184320
0.5,20.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
1.1,53.8,0.0,0,184320
0.8,45.5,0.0,0,184320
0.5,37.5,0.0,0,184320
0.5,27.3,0.0,0,184320
0.9,50.0,0.0,0,184320
0.9,45.5,0.0,0,184320
0.5,33.3,0.0,0,184320
0.0,0.0,0.0,0,184320
0.0,0.0,0.0,0,184320
0.2,11.1,0.0,0,184320
0.5,33.3,0.0,0,184320
0.3,25.0,0.0,0,184320
0.6,40.0,0.0,0,184320
0.3,11.1,0.0,0,184320
0.9,40.0,0.0,0,184320
0.5,44.4,0.0,0,184320
0.8,44.4,0.0,0,184320
0.8,45.5,0.0,0,184320
0.8,50.0,0.0,0,184320
0.8,33.3,0.0,0,184320
0.6,40.0,0.0,0,184320
0.5,37.5,0.0,0,184320
0.8,50.0,0.0,0,184320
0.3,27.3,0.0,0,184320
1.1,50.0,0.0,0,184320
0.5,37.5,0.0,0,184320
0.5,37.5,0.0,0,184320
0.9,45.5,0.0,0,184320
1.1,54.5,0.0,0,184320
0.8,45.5,0.0,0,184320
0.9,50.0,0.0,0,184320
0.9,54.5,0.0,0,184320
0.0,0.0,0.0,0,184320
0.6,30.0,0.0,0,184320
0.5,45.5,0.0,0,184320
0.8,37.5,0.0,0,184320
0.3,37.5,0.0,0,184320
0.9,45.5,0.0,0,184320
1.1,44.4,0.0,0,184320
0.3,37.5,0.0,0,184320
0.6,33.3,0.0,0,184320
0.5,45.5,0.0,0,184320
0.8,44.4,0.0,0,184320
0.5,44.4,0.0,0,184320
0.8,37.5,0.0,0,184320
0.6,45.5,0.0,0,188416
0.9,50.0,0.0,0,188416
0.8,44.4,0.0,0,188416
0.8,40.0,0.0,0,188416
0.6,44.4,0.0,0,188416
0.6,40.0,0.0,0,188416
0.8,50.0,0.0,0,188416
0.5,25.0,0.0,0,188416
0.6,37.5,0.0,0,188416
0.9,54.5,0.0,0,188416
1.1,53.8,0.0,0,188416
0.9,50.0,0.0,0,188416
0.9,50.0,0.0,0,188416
0.6,50.0,0.0,0,188416
0.8,44.4,0.0,0,188416
0.6,37.5,0.0,0,188416
0.9,54.5,0.0,0,188416
0.9,54.5,0.0,0,188416
0.2,14.3,0.0,0,188416
0.8,50.0,0.0,0,188416
0.8,50.0,0.0,0,188416
1.1,54.5,0.0,0,188416
0.9,50.0,0.0,0,188416
0.8,44.4,0.0,0,188416
