Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755003934,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755003935,50,,Aggregated,0.000000,0.000000,300,320,320,330,330,340,350,350,350,350,350,50,0,290.0,269.4600400600575,100.81548699963605,346.5709660003995,262144.0
1755003936,100,,Aggregated,0.000000,0.000000,250,300,310,320,330,330,340,350,350,350,350,100,0,250.0,241.8804372300292,59.00500099960482,346.5709660003995,262144.0
1755003937,150,,Aggregated,50.000000,0.000000,200,250,300,310,320,330,340,340,350,350,350,184,0,200.0,196.34188357065835,8.81653099986579,346.5709660003995,262144.0
1755003938,200,,Aggregated,50.000000,0.000000,170,230,280,300,320,330,360,370,370,370,370,300,0,170.0,175.12385347999347,6.842246999440249,372.0490770001561,262144.0
1755003939,250,,Aggregated,50.000000,0.000000,150,220,260,290,320,330,350,370,370,370,370,400,0,150.0,159.60258654248946,6.842246999440249,372.0490770001561,262144.0
1755003940,300,,Aggregated,62.500000,0.000000,120,190,240,270,310,330,350,370,430,430,430,550,1,120.0,142.55624733635753,6.842246999440249,429.0841170004569,261667.37454545454
1755003941,350,,Aggregated,70.000000,0.000000,130,180,220,250,310,330,370,390,560,560,560,700,1,130.0,142.1542844985718,6.842246999440249,562.8522289998728,261769.50857142857
1755003942,400,,Aggregated,81.000000,0.166667,140,190,230,250,310,340,370,430,650,650,650,841,1,140.0,150.16042702258946,6.842246999440249,653.1998419995944,261832.29488703923
1755003943,450,,Aggregated,89.857143,0.142857,160,210,260,300,340,450,620,800,990,990,990,972,1,160.0,181.17083848148036,6.842246999440249,993.6575980000271,261874.30452674898
1755003944,500,,Aggregated,97.000000,0.125000,180,270,330,370,610,780,1100,1200,1800,1900,1900,1128,1,180.0,255.5175585789039,6.842246999440249,1856.678439999996,261911.60283687944
1755003945,550,,Aggregated,101.000000,0.111111,210,320,420,540,750,900,1300,1700,2000,2200,2200,1266,1,210.0,319.0753888981127,6.842246999440249,2173.7428449996514,261936.93522906792
1755003946,600,,Aggregated,103.900000,0.100000,250,400,590,680,830,1100,1700,2200,2800,2900,2900,1418,1,250.0,389.26871951340644,6.842246999440249,2917.600298999787,261959.1311706629
1755003947,650,,Aggregated,115.000000,0.100000,290,510,670,740,900,1300,2200,2800,3700,4000,4000,1544,1,290.0,448.4089494015597,6.842246999440249,3966.177794000032,261974.2176165803
1755003948,700,,Aggregated,125.300000,0.100000,320,630,750,820,1100,1500,2600,3400,4000,4100,4100,1700,1,320.0,528.0938581941216,6.842246999440249,4058.3422489999066,261989.79764705882
1755003949,750,,Aggregated,134.000000,0.100000,370,700,820,910,1200,1600,2900,3600,4900,5000,5000,1838,1,370.0,587.4660194238312,6.842246999440249,5009.532914000374,262001.37540805223
1755003950,800,,Aggregated,137.000000,0.100000,470,760,900,1000,1300,1800,3300,4200,5800,5800,5800,1989,1,470.0,657.1101014052296,6.842246999440249,5807.529437999619,262012.2031171443
1755003951,850,,Aggregated,142.200000,0.100000,560,810,980,1100,1400,1900,3600,5100,6400,6800,6800,2124,1,550.0,718.7254980404863,6.842246999440249,6826.229428999795,262020.5800376648
1755003952,900,,Aggregated,144.300000,0.000000,630,880,1100,1200,1500,2100,4100,5700,7100,7300,7300,2276,1,620.0,790.0809666955159,6.842246999440249,7303.3547649993125,262028.82249560632
1755003953,950,,Aggregated,143.700000,0.000000,680,960,1100,1200,1500,2300,4800,6400,7900,7900,7900,2416,1,680.0,854.2831006841884,6.842246999440249,7871.5901700006725,262035.49668874172
1755003954,1000,,Aggregated,141.700000,0.000000,740,1000,1200,1300,1700,2400,5300,7000,8700,8800,8800,2576,1,730.0,926.700822160328,6.842246999440249,8812.056634999863,262042.23602484472
1755003955,1000,,Aggregated,143.500000,0.000000,780,1100,1300,1400,1700,2500,5700,7600,9800,10000,10000,2732,1,780.0,983.4492954381423,6.842246999440249,10003.52360099987,262048.046852123
1755003956,1000,,Aggregated,145.700000,0.000000,830,1100,1300,1400,1700,2500,6200,8200,10000,11000,11000,2869,1,830.0,1032.608773969328,6.842246999440249,10824.346730999423,262052.62879051935
1755003957,1000,,Aggregated,145.600000,0.000000,880,1200,1400,1500,1800,2600,6700,8700,11000,11000,11000,3020,1,880.0,1084.8125633993395,6.842246999440249,10824.346730999423,262057.19735099337
1755003958,1000,,Aggregated,145.500000,0.000000,920,1200,1400,1500,1800,2700,7000,9500,12000,12000,12000,3164,1,920.0,1141.1692791690896,6.842246999440249,12023.972067000614,262061.14791403286
1755003959,1000,,Aggregated,146.500000,0.000000,970,1300,1500,1600,1900,2700,7300,9800,13000,13000,13000,3309,1,970.0,1186.7520434119065,6.842246999440249,12972.202160000052,262064.77848292535
1755003960,1000,,Aggregated,147.400000,0.000000,1000,1300,1500,1600,2000,2800,7600,10000,14000,14000,14000,3473,1,1000.0,1242.935851119779,6.842246999440249,13892.672481999398,262068.51943564642
1755003961,1000,,Aggregated,145.400000,0.000000,1100,1400,1600,1700,2000,2800,8100,11000,15000,15000,15000,3629,1,1100.0,1300.001058326534,6.842246999440249,15035.752210000283,262071.76412234775
1755003962,1000,,Aggregated,145.600000,0.000000,1100,1400,1600,1700,2000,2800,8100,11000,15000,15000,15000,3774,1,1100.0,1330.9548508070986,6.842246999440249,15159.330574000705,262074.53948065714
1755003963,1000,,Aggregated,147.100000,0.000000,1100,1400,1600,1700,2100,2900,8600,12000,16000,16000,16000,3919,1,1100.0,1379.5969194074994,6.842246999440249,16043.561335999584,262077.1094667007
1755003964,1000,,Aggregated,149.900000,0.000000,1200,1500,1700,1800,2100,3000,9100,13000,17000,17000,17000,4060,1,1200.0,1422.7224026273364,6.842246999440249,17458.606170000166,262079.43251231528
1755003965,1000,,Aggregated,150.300000,0.000000,1200,1500,1700,1800,2100,3100,9400,14000,17000,18000,18000,4202,1,1200.0,1470.8310145523508,6.842246999440249,17997.871794000275,262081.61446930034
