Bytes_sent,Bytes_received
57737501689,57705124678
57737501689,57705124678
57737501689,57705124678
57737501689,57705124678
57737501689,57705124678
57737501689,57705125030
57737501689,57705125030
57737501689,57705125030
57737501689,57705125030
57737501689,57705125030
57737501689,57705125242
57737501689,57705125242
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57764555001,57732170738
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221210
57791603033,57759221422
57791603033,57759221422
57818663473,57786282552
57818663473,57786282658
57818663473,57786282658
57818663473,57786282658
57818663473,57786283224
57831134921,57798818284
57845739753,57813343428
57845739753,57813343428
57845739753,57813343428
57845739753,57813343428
57872800589,57840400522
57872800589,57840400522
57872800589,57840400664
57872800589,57840400664
57872800589,57840400664
57893214293,57860923784
57899883667,57867472284
57899883667,57867472496
57899883667,57867472496
57899883667,57867472496
57926936781,57894528036
57926936781,57894528036
57926936781,57894528036
57926936781,57894528036
57926936781,57894528036
57950218731,57917802480
57954009299,57921592522
57954009299,57921592522
57954009299,57921592522
57968700087,57938624592
57990817401,57958402516
58007608295,57975179722
58008149319,57975720862
58008149319,57975720862
58008149319,57975720862
58035225995,58002791730
58035225995,58002791730
58035225995,58002791942
58035225995,58002791942
58062296995,58029847840
58075837643,58043387234
58089377631,58056919242
58089377911,58056919910
58089437801,58056921090
58089437801,58056921264
58111170003,58078956418
58116501343,58083980796
58116501343,58083980796
58116501343,58083980796
58144104679,58111590750
58165225381,58132697960
58170637865,58138112888
58170637865,58138112888
58170637865,58138113062
58173348519,58140821386
58206083179,58173705802
58222630157,58190079408
58224797553,58192249490
58224797553,58192249490
58253495279,58220956496
58273534593,58240964224
58278947737,58246378444
58278947737,58246378658
58278947737,58246378832
58290317755,58257745014
58321183117,58288594494
58332559207,58299965460
58333100957,58300506718
58333100957,58300506718
58361255061,58328645014
58380012479,58347509704
58387250481,58354632076
58387250481,58354632076
58387250481,58354632076
58402410241,58369785578
58435441679,58402803678
58440857001,58408219510
58441398157,58408761362
58441398157,58408761362
58471724739,58439070774
58498797611,58466132322
58518831645,58486156422
58522624555,58489945420
58522624555,58489945586
58544485517,58511919616
58568549969,58535947796
58576780481,58544065948
58576780481,58544065948
58576780481,58544065948
58613092789,58580360724
58645010975,58612254666
58654755521,58621997142
58658006285,58625248522
58658006285,58625248522
58681503775,58649071890
58699163181,58666378936
58712158251,58679367210
58712158251,58679367210
58726828559,58694561502
58750065590,58717257732
58780985159,58748178908
58792301833,58759471624
58793384385,58760553488
58793384385,58760553488
58819566121,58786784098
58850241933,58817385724
58867925059,58835246468
58873528009,58840658538
58901686073,58868791108
58918470357,58885572928
