Total_CPU_percent,Total_Memory_usage
0.4,2689134592
0.0,2689118208
0.0,2689368064
0.0,2689368064
0.0,2689368064
0.0,2689368064
0.0,2689302528
0.0,2689302528
0.0,2689302528
0.2,2689302528
0.0,2689093632
0.2,2689093632
0.2,2688696320
0.0,2688696320
0.0,2688696320
0.0,2688696320
0.2,2688688128
0.0,2688688128
0.2,2688679936
0.0,2688679936
0.0,2688720896
0.0,2688720896
0.3,2688253952
0.0,2688249856
0.0,2688098304
0.2,2688098304
0.0,2688057344
0.0,2688057344
0.0,2688057344
0.0,2688057344
0.0,2687799296
0.0,2687799296
0.6,2687791104
0.0,2687791104
0.0,2687791104
0.0,2687791104
0.0,2687791104
0.5,2687791104
0.5,2687791104
0.0,2687787008
0.0,2687787008
0.2,2687787008
0.0,2687787008
0.0,2687787008
0.0,2687787008
0.0,2687787008
0.2,2687787008
0.3,2687787008
0.0,2687787008
0.0,2686906368
0.2,2686906368
0.3,2686906368
0.0,2687152128
0.0,2687152128
0.2,2687152128
0.0,2687152128
0.2,2687152128
0.3,2687152128
0.0,2687148032
0.2,2686889984
0.0,2686889984
0.3,2686889984
0.3,2686889984
0.2,2686889984
0.0,2686894080
0.0,2686894080
0.2,2686754816
0.3,2686754816
0.0,2686746624
0.2,2686550016
0.0,2686550016
0.3,2686550016
0.2,2686550016
0.2,2686550016
0.0,2686550016
0.0,2686550016
0.2,2686550016
0.2,2686550016
0.2,2686550016
0.0,2686525440
0.0,2686525440
0.6,2686525440
0.5,2686525440
0.0,2686529536
0.0,2686529536
0.0,2686529536
0.2,2686529536
0.3,2686529536
0.5,2686529536
0.0,2686259200
0.0,2686259200
0.6,2686259200
0.5,2686259200
0.2,2686263296
0.0,2686263296
0.0,2686263296
0.3,2686263296
0.3,2686263296
0.2,2686251008
0.0,2686251008
0.0,2686251008
0.6,2686251008
0.5,2686251008
0.0,2686255104
0.0,2686251008
0.0,2686251008
0.3,2686251008
0.3,2686251008
0.3,2686242816
0.0,2686242816
0.2,2686242816
0.5,2686242816
0.5,2686242816
0.3,2686242816
0.2,2686242816
0.0,2686242816
0.2,2686242816
4.6,2686119936
0.3,2685808640
0.8,2685808640
0.3,2685808640
0.9,2685808640
0.5,2685804544
0.5,2685788160
0.5,2685784064
0.3,2685784064
0.9,2685784064
0.6,2685784064
0.2,2685788160
0.0,2685788160
0.3,2685788160
0.8,2685779968
0.9,2685779968
0.2,2685767680
0.0,2685763584
0.0,2685763584
0.5,2685763584
0.2,2685763584
0.5,2685767680
