Total_CPU_percent,Total_Memory_usage
0.4,2671652864
0.2,2671652864
0.0,2671652864
0.0,2671652864
0.0,2671652864
0.2,2672279552
0.0,2672279552
0.0,2672279552
0.0,2672279552
0.0,2672279552
0.2,2672279552
0.0,2672279552
0.2,2672758784
0.0,2672726016
0.0,2672726016
0.0,2672033792
0.0,2672033792
0.2,2672001024
0.0,2672001024
0.0,2672001024
0.0,2672001024
0.2,2672001024
0.2,2672918528
0.0,2672713728
0.0,2671874048
0.0,2671706112
0.2,2671673344
0.0,2671542272
0.0,2671509504
0.0,2671345664
3.3,2671263744
3.4,2670972928
0.6,2671517696
0.2,2671517696
0.2,2670796800
0.2,2670796800
0.3,2670538752
0.2,2670440448
0.3,2670964736
0.5,2670960640
0.2,2670960640
0.0,2670960640
0.5,2671419392
0.0,2671382528
0.0,2670686208
0.0,2670686208
0.0,2670620672
0.3,2670981120
0.0,2670981120
0.0,2670977024
0.0,2670977024
0.2,2670747648
0.0,2669961216
0.0,2669953024
0.0,2668326912
0.0,2668220416
0.0,2668220416
0.3,2668646400
0.0,2668580864
0.0,2668580864
0.2,2668548096
0.3,2669547520
0.0,2669875200
0.2,2669613056
0.0,2668769280
0.0,2668703744
0.3,2668441600
0.3,2669191168
0.0,2668847104
0.0,2668744704
0.0,2668711936
0.2,2669596672
0.3,2669395968
0.0,2668695552
0.2,2668642304
0.0,2668642304
0.0,2668609536
0.6,2669068288
0.0,2669494272
0.0,2669326336
0.0,2669293568
0.5,2669461504
0.5,2669359104
0.0,2669219840
0.0,2669219840
0.0,2669219840
0.3,2668277760
0.3,2668187648
0.5,2668318720
0.0,2668187648
0.0,2668154880
0.2,2668781568
0.2,2668552192
0.2,2667429888
0.0,2667429888
0.2,2667429888
0.3,2667823104
0.3,2668314624
0.2,2668732416
0.0,2668630016
0.0,2668564480
0.5,2668335104
0.3,2668367872
0.2,2667474944
0.0,2666917888
0.2,2666557440
0.3,2666459136
0.3,2666541056
0.0,2666790912
0.0,2666688512
0.0,2666622976
0.3,2667307008
0.6,2668027904
0.2,2667302912
0.0,2667687936
0.0,2667683840
0.9,2668240896
0.3,2668503040
0.2,2668462080
0.0,2668326912
0.0,2668228608
0.5,2668232704
0.3,2668167168
0.2,2667823104
0.0,2667626496
0.0,2667622400
0.3,2667917312
0.3,2668048384
0.0,2667941888
0.0,2667937792
0.3,2667642880
0.2,2666725376
0.0,2667315200
0.2,2665373696
0.2,2665340928
0.0,2665340928
0.3,2666192896
0.9,2667143168
0.0,2667110400
0.2,2667286528
0.2,2668265472
0.3,2667151360
0.3,2667274240
0.2,2666643456
0.0,2665758720
0.2,2665168896
0.3,2665070592
0.3,2665332736
0.0,2665713664
0.0,2665771008
0.0,2666655744
0.5,2666721280
0.3,2666192896
0.2,2665332736
0.0,2665201664
0.5,2665136128
0.3,2666283008
0.5,2666577920
0.0,2667245568
0.0,2667241472
0.3,2667700224
0.5,2667995136
0.5,2666672128
0.5,2666639360
0.0,2666528768
0.0,2666496000
0.2,2666627072
0.5,2667085824
0.3,2666168320
0.0,2666344448
0.0,2667098112
0.5,2667933696
0.5,2667462656
0.0,2665955328
0.0,2666401792
0.5,2666926080
0.2,2666958848
0.2,2666926080
4.7,2663022592
0.3,2662715392
0.5,2664026112
0.5,2664255488
0.5,2664849408
0.3,2664980480
0.5,2664546304
0.0,2664284160
0.3,2664316928
0.3,2664808448
0.3,2665005056
0.3,2665406464
0.2,2667073536
0.2,2665619456
0.0,2666045440
0.5,2664996864
0.0,2665185280
0.5,2666102784
0.2,2666102784
0.5,2666823680
0.3,2666954752
0.3,2667253760
0.2,2667581440
0.5,2667745280
0.0,2667466752
0.3,2666979328
0.0,2667134976
0.3,2667606016
0.2,2667671552
0.3,2667114496
0.0,2666754048
0.0,2666958848
0.2,2665435136
0.3,2665390080
0.5,2666078208
0.3,2664701952
0.0,2664861696
0.6,2665648128
0.0,2665877504
0.6,2665648128
0.2,2665844736
0.0,2665193472
0.2,2664439808
0.3,2663882752
0.3,2664206336
0.2,2664402944
0.2,2663583744
0.5,2663387136
0.2,2664009728
0.2,2664763392
0.2,2664304640
0.2,2664321024
0.5,2664845312
0.5,2665103360
0.2,2664943616
0.3,2665107456
0.0,2664042496
0.2,2664402944
0.6,2665025536
0.2,2665713664
0.3,2665680896
0.2,2665943040
0.5,2665992192
0.3,2666029056
0.5,2666160128
0.3,2665799680
0.0,2666139648
0.5,2666237952
0.2,2666795008
0.2,2667024384
0.3,2666795008
0.0,2666598400
0.2,2666008576
0.5,2665332736
0.2,2665529344
0.5,2665594880
0.2,2663636992
0.5,2664390656
0.3,2665095168
0.2,2666045440
0.2,2665750528
0.0,2665336832
0.3,2664644608
0.5,2664251392
0.2,2663464960
0.2,2663235584
0.2,2662711296
0.5,2662350848
0.3,2663661568
0.3,2664054784
0.3,2664402944
0.2,2664173568
0.2,2664169472
0.3,2664529920
0.3,2665328640
0.3,2665787392
0.2,2664124416
0.2,2664943616
0.3,2665205760
0.3,2666090496
0.0,2666332160
0.3,2666102784
0.2,2665594880
0.2,2666151936
0.5,2666643456
0.2,2666446848
0.3,2666586112
0.3,2666717184
0.5,2666553344
0.3,2667438080
0.3,2667307008
0.2,2666782720
0.6,2666786816
0.5,2666786816
