Bytes_sent,Bytes_received
42560067804,699803701
42560067804,699803701
42560067804,699803859
42560067804,699803859
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699803965
42560067804,699804147
42560067804,699804147
42566862520,699914203
42566862652,699914203
42566862652,699914203
42566862652,699914415
42566862652,699914415
42566862652,699914521
42566862652,699914521
42566862652,699914521
42566862652,699914521
42566862652,699914521
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42573657962,700027999
42580453734,700143483
42580453734,700143483
42580453734,700143695
42580453734,700143695
42580453734,700143695
42584229425,700209329
42587248450,700261409
42587248450,700261409
42587248450,700261409
42587248450,700261515
42594044090,700374403
42594044090,700374403
42594044090,700374403
42594044090,700374577
42594044090,700374577
42600294772,700481709
42600838410,700491049
42600838410,700491049
42600838410,700491049
42601416618,700510763
42607633654,700605825
42607633654,700605825
42607633654,700606037
42607633654,700606143
42607770758,700610657
42614427842,700724975
42614427974,700725081
42614427974,700725081
42614427974,700725081
42619633689,700816347
42624349008,700890639
42628017810,700953915
42628017942,700953915
42628017942,700953915
42628833984,700969155
42634812460,701071877
42634812872,701072547
42634872114,701073609
42634872114,701073609
42642075664,701191977
42647239400,701281883
42648462536,701303869
42648462536,701304081
42648462536,701304187
42650063944,701332973
42655257450,701423251
42655257582,701423251
42655257582,701423251
42655257582,701423251
42662460934,701541383
42666945436,701617121
42668848466,701649381
42668848466,701649381
42668848466,701649381
42670887158,701684451
42677953462,701805791
42682438294,701881175
42682438426,701881175
42682438426,701881175
42689506602,701996593
42694941704,702089309
42696028848,702107777
42696028848,702107989
42696028848,702108095
42699155384,702164295
42707443926,702302457
42709618346,702340927
42709618478,702340927
42709618478,702340927
42717500734,702469451
42722935926,702560965
42723207910,702565995
42723207910,702565995
42723207910,702565995
42727828404,702647257
42734079680,702755265
42736797606,702802207
42736797738,702802207
42736797738,702802207
42745088720,702941739
42752051980,703060937
42756501860,703135369
42757181490,703149249
42757181490,703149355
42762858806,703248587
42769819572,703364705
42770770592,703380823
42770770724,703380823
42770770724,703380823
42780692332,703545715
42789119100,703693953
42791020786,703725645
42791156778,703727865
42791156778,703727865
42798766192,703855135
42803522612,703937437
42804746012,703959541
42804746012,703959541
42804748952,703966441
42815346326,704138365
42822141528,704257485
42825130622,704308943
42825130754,704309261
42825130754,704309261
42832484602,704435243
42839263700,704550235
42844427956,704638767
42845515100,704657353
42852310278,704768589
42857338286,704855331
42863725092,704964273
