# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       10.805      198.938
       0.101        0.000       10.805      198.938
       0.201        0.000       10.805      198.938
       0.302        0.000       10.805      198.938
       0.402        0.000       10.805      198.938
       0.502        0.000       10.805      198.938
       0.603        0.000       10.805      198.938
       0.703        0.000       10.805      198.938
       0.805        0.000       10.805      198.938
       0.906        0.000       10.805      198.938
       1.007        0.000       10.805      198.938
       1.107        0.000       10.805      198.938
       1.208        0.000       10.805      198.938
       1.308        0.000       10.805      198.938
       1.409        0.000       10.805      198.938
       1.509        0.000       10.805      198.938
       1.611        0.000       10.805      198.938
       1.713        0.000       10.805      198.938
       1.814        0.000       10.805      198.938
       1.915       29.800       11.930      201.812
       2.016        0.000       11.930      201.812
       2.117        0.000       11.930      201.812
       2.217        0.000       11.930      201.812
       2.318        0.000       11.930      201.812
       2.418        0.000       11.930      201.812
       2.528        0.000       11.930      201.812
       2.628        0.000       11.930      201.812
       2.730        0.000       11.930      201.812
       2.831       19.900       13.055      205.109
       2.931        0.000       13.055      205.109
       3.032        0.000       13.055      205.109
       3.133        0.000       13.055      205.109
       3.234        0.000       13.055      205.109
       3.334        0.000       13.180      205.109
       3.435        0.000       13.180      205.109
       3.535        0.000       13.180      205.109
       3.636        0.000       13.180      205.109
       3.736        0.000       13.180      205.109
       3.836       10.000       14.180      208.395
       3.937        0.000       14.180      208.395
       4.038        0.000       14.180      208.395
       4.138       10.000       14.180      208.395
       4.238        0.000       14.180      208.395
       4.339        0.000       14.180      208.395
       4.439        0.000       14.180      208.395
       4.540        0.000       14.180      208.395
       4.640        0.000       14.180      208.395
       4.741        0.000       14.180      208.395
       4.841       19.900       15.430      211.473
       4.941        0.000       15.555      211.473
       5.042        0.000       15.555      211.473
       5.142        0.000       15.555      211.473
       5.242        0.000       15.555      211.473
       5.343        0.000       15.555      211.473
       5.443        0.000       15.555      211.473
       5.544        9.900       15.555      211.473
       5.644        0.000       15.555      211.473
       5.745        0.000       15.555      211.473
       5.846       19.800       16.430      214.016
       5.946        0.000       16.430      214.016
       6.047        0.000       16.430      214.016
