Bytes_sent,Bytes_received
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500776
392966800894,7860500988
392982420178,7860868460
393000130302,7861227314
393000130434,7861227314
393000130558,7861227314
393000130558,7861227314
393000130558,7861227314
393000130558,7861227314
393000130558,7861227472
393000130558,7861227472
393001341782,7861282978
393023652764,7861749246
393035609178,7862003858
393035609178,7862003964
393035609178,7862003964
393035609178,7862004138
393035609178,7862004138
393035609178,7862004138
393035609178,7862004138
393035609178,7862004138
393039463932,7862122948
393060554444,7862558014
393070411578,7862778366
393070411578,7862778366
393070411578,7862778540
393070411578,7862778540
393078724318,7862974606
393095439980,7863357882
393108556876,7863662264
393108556876,7863662264
393117480340,7863865500
393140198288,7864366988
393143999514,7864449312
393143999514,7864449312
393143999514,7864449312
393143999514,7864449312
393157511932,7864751034
393177241382,7865216716
393179613746,7865272584
393179614026,7865273254
393193107830,7865575844
393213667636,7866031798
393216043482,7866089806
393216043482,7866089806
393216043482,7866089806
393217495664,7866121096
393234856444,7866528050
393253043764,7866925298
393253043896,7866925456
393253043896,7866925456
393268088868,7867264892
393290717512,7867771516
393307645656,7868160848
393324559504,7868538612
393325784934,7868563256
393329100046,7868636632
393351103982,7869142038
393362640952,7869398582
393362641084,7869398582
393362641084,7869398794
393381856970,7869829088
393403348180,7870317632
393424088826,7870776472
393435347730,7871028828
393435347862,7871028828
393438820080,7871108664
393459933716,7871578488
393472878762,7871862228
393472878894,7871862228
393472878894,7871862228
393494428132,7872333208
393516378164,7872827958
393537658432,7873300264
393545173324,7873455198
393545173324,7873455198
393551390934,7873595428
393569693222,7874015264
393591570592,7874500556
393612630390,7874980448
393622081642,7875210684
393645028416,7875698150
393667744822,7876187994
393689083310,7876642932
393689708090,7876653976
393689768234,7876657428
393703570334,7876976624
393723925644,7877427956
393746160138,7877936894
393764211630,7878346906
393772633098,7878556900
393792756806,7878982328
393817833788,7879526072
393836035030,7879931100
393836035162,7879931634
393836433078,7879941074
393850318570,7880267980
393871075650,7880741434
393894037904,7881240068
393910907454,7881617102
393915978500,7881750844
393938006286,7882231360
393960921840,7882712772
393983572588,7883226040
394004518714,7883698472
394018417596,7883996920
394037303026,7884443546
394057594720,7884906868
394081530854,7885432414
394090714290,7885626818
394105913550,7885969410
394125334316,7886420120
394146822404,7886909274
394168303202,7887398948
394189503950,7887890884
394204120838,7888219058
394225089292,7888753412
394247479600,7889346916
394271656124,7889948648
394293694722,7890478738
394315068988,7891045158
394337263032,7891624118
394362499672,7892226800
394386517754,7892813898
394410700626,7893393894
394432322656,7893917230
394454015618,7894498164
394478920254,7895114206
394501791784,7895677374
394525410212,7896259988
394547674838,7896823926
394570873054,7897395978
394596417962,7898022132
394617957092,7898594864
394640019922,7899188062
394662493432,7899738788
394685737482,7900326998
394707041178,7900875428
394729981844,7901459318
394752035600,7901950324
394776285240,7902476666
394795835106,7902938610
394818584020,7903392600
394837885104,7903854316
394859040648,7904317766
394879219094,7904796792
394901340096,7905292142
394922733268,7905776228
394945416564,7906262742
394968216764,7906781584
394988413466,7907262242
395011665228,7907785854
395036293200,7908300726
395056560144,7908779846
395078650626,7909275882
395097641206,7909738880
395120860188,7910246844
395142649834,7910750332
395163648994,7911252918
395184728680,7911720882
395205879018,7912198446
395226636140,7912680336
395250013650,7913192968
395271319482,7913685470
395292105284,7914176534
395313175866,7914638530
395334701150,7915114752
395354839566,7915606188
395375803842,7916068878
395395787090,7916550370
395418168614,7917027242
395441945518,7917544390
395466898942,7918092970
395489036638,7918599620
395511552760,7919078662
395533442230,7919575434
395554352632,7920051275
395574327046,7920533988
395595892050,7921027446
395617569490,7921505016
395639815722,7922005214
395662434640,7922511808
395684873518,7923032082
395707334454,7923525352
395728184580,7924018236
395749286920,7924489572
395771978006,7925032746
395799791466,7925625592
395828862540,7926217598
395850608448,7926692544
395871525128,7927214914
395896033792,7927725752
395918717572,7928234616
395939836528,7928758626
395961888656,7929243568
395982351344,7929718196
396006270752,7930240780
396027034410,7930725170
396048208402,7931227906
396068973282,7931673208
396093164780,7932173166
396114079248,7932650106
396135300280,7933146090
396156092348,7933607740
396177850726,7934122584
396197503392,7934590876
396218318308,7935066582
396239428710,7935543344
396259831196,7936020426
396280709602,7936519680
396303319396,7937022150
396324221570,7937481594
396346517738,7938032874
396368926028,7938506536
396390639104,7938971696
396410572570,7939486082
396430546952,7939949894
396455399198,7940481998
396477474940,7940936978
396497198622,7941424294
396519555798,7941923766
396543096906,7942392586
396563543502,7942895350
396585425990,7943305366
396605301730,7943808020
396628546358,7944361192
396654344570,7944902026
396678505292,7945402782
396699152800,7945904466
396720004530,7946390710
396741278202,7946879202
396765960094,7947381172
396787356318,7947878012
396809409136,7948340740
396831159610,7948847308
396851194996,7949302362
396872309714,7949812322
396892994426,7950282692
396914053042,7950730608
396933930162,7951191936
396957169538,7951714514
396977800520,7952226708
396999974698,7952644006
397020521058,7953104036
397039289228,7953623832
397061285574,7954111656
397084036786,7954582142
397105800550,7955067082
397128408054,7955578828
397150907872,7956088528
397171989350,7956586558
397196053048,7957094366
397219084996,7957598910
397239870934,7958088778
397260730236,7958558292
397282975964,7958998942
397303816898,7959468186
397325160118,7959984176
397347994218,7960476402
397371117604,7960986276
397394320748,7961499942
397415565550,7962000424
397437340188,7962521366
397459659872,7963000706
397481694650,7963501420
397503480854,7964006494
397528872054,7964529360
397549844166,7965033636
397572122770,7965530602
397593005292,7966035240
397616817248,7966565698
397639204080,7967051600
397660558538,7967499306
397681497368,7967997152
397701914830,7968483862
397725217034,7969000986
397746502070,7969466840
397768783192,7969942298
397788956540,7970454076
397812339734,7970971928
397833667870,7971419234
397853840988,7971910434
397875546938,7972426134
397896293460,7972903432
397918454672,7973366730
397940869532,7973879338
397960820274,7974356992
397982318790,7974813548
398003231388,7975302564
398023909586,7975785498
398045432338,7976296634
398069149634,7976780780
398092686584,7977274888
398113182866,7977785240
398136083810,7978278506
398159982118,7978815130
398183455638,7979338760
398205021852,7979823372
398226996460,7980327212
398249992370,7980855394
398273759256,7981332092
398293956810,7981829386
398316426674,7982321964
398341259280,7982902326
398367019548,7983405856
398388542234,7983893926
398408235230,7984357454
398428888828,7984819038
398450291138,7985311270
398471018542,7985759620
398491528746,7986245708
398515177540,7986773998
398538311060,7987246938
398557903286,7987732998
398577690602,7988169112
398600246384,7988681366
398622091796,7989158526
398644054954,7989641944
398665908052,7990165852
398687068394,7990613316
398711399766,7991163560
398732597472,7991591736
398754272264,7992132760
398776442916,7992620440
398798922876,7993090970
398820090908,7993579818
398840007710,7994047730
398860490136,7994530038
398883075658,7995036006
398904615652,7995511578
398926973888,7996021340
398949178172,7996510832
398971267272,7996984286
398992111054,7997442192
399017795250,7998063750
399041636628,7998622862
399064751908,7999147648
399090288828,7999689168
399113683694,8000222812
399135292472,8000716384
399156572594,8001183884
399177756060,8001698166
399203250552,8002224350
399227870300,8002788806
399249762316,8003260162
399270678090,8003780654
399293962648,8004290642
399315859104,8004764962
399338001416,8005287048
399361781302,8005756662
399384562008,8006323130
399410904616,8006867646
399435331148,8007394346
399459173498,8007908290
399481980556,8008413280
399505256258,8008937560
399527915990,8009448564
399552537656,8009977736
399574498412,8010476072
399598473460,8010995866
399622541172,8011547934
399644497364,8012032684
399664724032,8012508948
399686072280,8012980426
399705711024,8013453766
399726674938,8013924942
399749479096,8014394694
399769019360,8014881082
399789244584,8015355258
399812175618,8015839436
399832766152,8016326922
399856582286,8016868398
399877729350,8017340074
399899989048,8017815430
399922319082,8018310362
399942266604,8018771900
399965425522,8019283022
399987036004,8019741206
400007171442,8020247678
400029142278,8020737628
400052475340,8021240142
400076315748,8021765668
400099362282,8022281472
400122294780,8022811726
400144323558,8023256924
400163729716,8023699324
400184963226,8024234350
400208042456,8024752272
400229475526,8025223310
400251069914,8025708226
400274576994,8026251468
400295903036,8026704682
400316725748,8027197042
400338400070,8027714924
400359456602,8028134104
400381676678,8028627356
400402872470,8029159536
400423336490,8029613754
400445771534,8030096406
400466786544,8030569894
400489773696,8031026588
400510460028,8031553216
400533331934,8032053238
400556860414,8032553872
400579818652,8033108016
400601835362,8033556626
400621315606,8034033420
400642065532,8034534210
400665512190,8035068622
400688227094,8035562526
400710518640,8036074798
400731771050,8036589014
400753538818,8037059620
400773111826,8037500148
400793017706,8037972800
400812205308,8038479732
400835887064,8038968412
400858972492,8039477898
400879398014,8039947032
400900493658,8040446388
400925487256,8040960938
400947893558,8041531628
400970911496,8042056554
400992821958,8042530724
401013357182,8042993004
401033372788,8043498262
401054064772,8044002716
401075931030,8044453662
401096405408,8044937894
401116460694,8045394280
401138536916,8045901846
401161125750,8046392890
401182275926,8046865040
401203462924,8047328950
401222599874,8047779234
401243203442,8048228542
401263392842,8048727526
401283837014,8049198100
401305277738,8049683786
401326625796,8050142770
401349350352,8050659082
401371442036,8051149910
401393063748,8051568426
401414329414,8052051358
401434644192,8052539406
401457358462,8053022612
401479544542,8053536390
401501840422,8054043420
401524067350,8054495102
401544800034,8054972486
401568127412,8055493492
401589361316,8055963742
401611229198,8056465314
401633581282,8056937754
401654760136,8057398568
401676739994,8057952528
401698771210,8058437518
401720281830,8058907646
401743595920,8059435168
401768743692,8059966726
401791932398,8060454036
401813700014,8060979056
401834788580,8061472150
401857135224,8061967444
401880306362,8062454710
401900438474,8062891418
401921729598,8063372448
401941533932,8063853122
401966540550,8064370026
401988900084,8064882624
402010479754,8065384472
402033349456,8065877828
402055201938,8066379142
402076299634,8066862530
402098907824,8067355670
402120948054,8067869722
402141955714,8068337524
402162060770,8068779050
402183157410,8069267582
402205706994,8069771710
402229966192,8070253812
402252989154,8070785496
402274344708,8071255162
402295954310,8071765192
402317832124,8072276908
402340822842,8072803864
402364240066,8073299424
402385694968,8073791540
402406883394,8074285146
402429432230,8074767062
402452947760,8075306178
402475552874,8075834122
402498186388,8076273278
402519291526,8076766910
402541399610,8077265392
402564657538,8077781666
402587071902,8078285094
402610233546,8078831806
402633612676,8079343864
402657455650,8079855578
402679894638,8080363600
402702089784,8080886220
402723806518,8081373386
402744947856,8081866594
402765922042,8082342700
402787533586,8082822088
402809099758,8083322508
402831495982,8083791574
402852567368,8084243726
402875896178,8084767840
402898474692,8085274308
402921533940,8085782066
402944357994,8086272384
402965899758,8086791678
402987087656,8087250260
403007675552,8087743894
403028809950,8088218114
403050720452,8088699758
403070764100,8089169344
403094264092,8089707012
403117922824,8090171770
403138203242,8090624838
403158107844,8091149384
403180414304,8091609380
403201423964,8092091460
403221052696,8092544752
403242394244,8093032780
403263164128,8093511308
403285556126,8093995676
403306423928,8094459504
403329215430,8094962288
403350033128,8095439078
403370390076,8095924568
403391650674,8096425544
403415489458,8096932072
403436781024,8097371600
403458337068,8097881550
403480222992,8098393294
403505595902,8098905664
403527566552,8099411524
403547916052,8099893284
403569525388,8100369970
403592078376,8100871398
403612924428,8101327820
403633475544,8101797606
403652765700,8102257414
403674366678,8102755150
403695509842,8103239620
403715647312,8103673268
403738573274,8104137672
403758407756,8104589664
403779275284,8105106608
403802981166,8105612582
403825271872,8106088846
403844720136,8106598198
403867899294,8107102102
403891416902,8107642888
403912596332,8108133098
403933528182,8108659126
403956687884,8109124314
403977209906,8109605924
403999227556,8110085036
404020571412,8110581440
404042172938,8111063258
404062825690,8111541878
404084794674,8112003440
404106210980,8112451652
404126275624,8112972576
404147981488,8113429794
404170317870,8113927072
404191031328,8114395534
404212824376,8114871622
404233951966,8115331788
404255361372,8115825938
404276183500,8116280464
404299134354,8116822132
404322331146,8117342784
404346346970,8117870748
404369271878,8118370658
404392191608,8118871250
404415487134,8119400328
404437916258,8119898200
404458494464,8120363966
404479851144,8120857946
404501262724,8121313658
