Total_CPU_percent,Total_Memory_usage
0.4,2699677696
0.0,2699677696
0.0,2699669504
0.0,2699669504
0.0,2699669504
0.2,2699669504
0.0,2699669504
0.0,2699669504
0.0,2698924032
0.0,2698694656
0.2,2698694656
0.0,2698694656
0.2,2698690560
0.0,2698690560
0.0,2698690560
0.0,2698690560
0.0,2698690560
0.2,2698432512
0.0,2698432512
0.2,2698432512
0.0,2698432512
0.0,2698424320
0.2,2698162176
0.3,2697900032
0.0,2697900032
0.0,2697895936
0.2,2697846784
0.0,2697830400
0.0,2697830400
0.0,2697830400
0.2,2697830400
0.2,2697830400
0.2,2697830400
0.0,2697830400
0.0,2697830400
0.0,2697830400
0.0,2697830400
0.2,2697822208
0.5,2697822208
0.2,2697814016
0.0,2697814016
0.3,2697809920
0.2,2697809920
0.0,2697805824
0.0,2697805824
0.0,2697805824
0.0,2697805824
0.3,2697805824
0.3,2697805824
0.0,2697535488
0.0,2697535488
0.0,2697535488
0.2,2697535488
0.0,2697527296
0.0,2697527296
0.0,2697527296
0.0,2697527296
0.5,2697519104
0.0,2697519104
0.0,2697519104
0.0,2697519104
0.2,2697519104
0.0,2697519104
0.5,2697519104
0.5,2697519104
0.0,2697519104
0.2,2697482240
0.0,2697482240
0.2,2697482240
0.0,2697474048
0.0,2697474048
0.2,2697474048
0.2,2697474048
0.3,2697461760
0.0,2697461760
0.2,2697457664
0.0,2697457664
0.3,2697457664
0.2,2697191424
0.0,2697183232
0.2,2697183232
0.2,2696970240
0.3,2696712192
0.2,2696704000
0.0,2696704000
0.0,2696695808
0.2,2696695808
0.2,2696695808
0.6,2696695808
0.2,2696695808
0.0,2696695808
0.3,2696695808
0.5,2696679424
0.3,2696679424
0.0,2696679424
0.2,2696679424
0.0,2696507392
0.2,2696507392
0.5,2696507392
0.0,2696507392
0.3,2696491008
0.2,2696486912
0.2,2696486912
0.3,2696474624
0.0,2696474624
0.0,2696474624
0.3,2696216576
0.2,2696216576
0.6,2696216576
0.0,2696200192
0.0,2696200192
0.6,2696200192
0.3,2695684096
0.2,2695684096
0.2,2695684096
0.2,2695684096
0.2,2695647232
0.3,2695647232
0.6,2695647232
0.0,2695626752
0.0,2695626752
0.3,2695626752
0.2,2695626752
0.3,2695626752
0.3,2695626752
4.3,2695598080
2.5,2695315456
0.6,2695315456
0.3,2695315456
0.5,2695315456
0.8,2695286784
0.2,2695286784
0.8,2695286784
0.2,2695270400
0.3,2695270400
0.5,2695258112
0.2,2695258112
0.3,2695258112
0.0,2695258112
0.5,2695000064
0.3,2694979584
0.3,2694979584
0.2,2694418432
0.2,2694418432
0.2,2694418432
0.3,2693648384
0.3,2693648384
0.2,2693386240
0.3,2693386240
0.3,2693365760
0.0,2693107712
0.5,2693357568
0.0,2693357568
0.3,2693349376
0.2,2693349376
0.0,2693345280
0.3,2693345280
0.0,2693345280
0.3,2693332992
0.2,2693320704
0.0,2693320704
0.3,2693308416
0.0,2693214208
0.2,2693197824
0.3,2693197824
0.2,2693148672
0.0,2693144576
0.3,2693144576
0.2,2693132288
0.0,2693132288
0.3,2693124096
0.2,2693124096
0.0,2693124096
0.3,2693124096
0.2,2693124096
0.2,2693091328
0.3,2692993024
0.3,2692980736
0.3,2692980736
0.3,2692980736
0.5,2692984832
0.2,2692984832
0.2,2692972544
0.2,2692960256
0.3,2692960256
0.2,2692579328
0.0,2692579328
0.2,2692571136
0.3,2692571136
0.2,2692571136
0.2,2692046848
0.0,2692034560
0.2,2692034560
0.5,2692009984
0.2,2692009984
0.2,2691502080
0.2,2691502080
0.3,2691502080
0.2,2691489792
0.3,2691481600
0.2,2691481600
0.0,2691743744
0.2,2691743744
0.2,2691735552
0.3,2691702784
0.2,2691694592
0.2,2691694592
0.2,2691682304
0.3,2691682304
0.5,2691424256
0.0,2691416064
0.3,2691411968
0.2,2691411968
0.2,2691399680
0.0,2691399680
0.0,2691399680
0.3,2691399680
0.2,2691399680
0.3,2691399680
0.2,2691399680
0.2,2691399680
0.2,2691399680
0.2,2691399680
0.2,2691399680
0.2,2691354624
0.2,2691346432
0.5,2691346432
0.2,2691346432
0.2,2691334144
0.3,2691321856
0.2,2691321856
0.3,2691313664
0.0,2691313664
0.2,2691305472
0.2,2691305472
0.2,2691305472
0.3,2691305472
0.2,2691305472
0.3,2691305472
0.3,2691305472
0.0,2691305472
0.3,2691305472
0.2,2691305472
0.2,2691305472
0.2,2691256320
0.2,2691248128
0.5,2691248128
0.3,2691502080
0.3,2691493888
0.0,2691493888
0.2,2691481600
0.0,2691330048
0.3,2691321856
0.2,2691055616
0.0,2691055616
0.3,2691055616
0.0,2691055616
0.3,2691055616
0.0,2691055616
0.3,2691055616
0.0,2691055616
0.2,2691055616
0.5,2691055616
0.0,2691272704
0.2,2691260416
0.3,2691252224
0.2,2691252224
0.2,2691244032
0.5,2691244032
0.2,2691244032
0.2,2691235840
0.3,2691223552
0.3,2691223552
6.0,2691248128
0.8,2691072000
0.3,2691072000
0.2,2691072000
0.6,2691072000
0.5,2691072000
0.5,2691072000
0.5,2691072000
0.2,2691072000
0.3,2691072000
0.2,2691026944
0.2,2691002368
0.3,2691002368
0.2,2690990080
0.3,2690981888
0.2,2690723840
0.3,2690723840
0.2,2690715648
0.3,2690457600
0.3,2690445312
0.2,2690428928
0.3,2690428928
0.0,2690428928
0.2,2690428928
0.3,2690428928
0.3,2690428928
0.2,2690428928
0.5,2690428928
0.2,2690428928
0.2,2690428928
0.0,2690383872
0.0,2690375680
0.3,2690375680
0.0,2690367488
0.3,2690367488
0.3,2690355200
0.3,2690613248
0.2,2690605056
0.2,2690600960
0.3,2690588672
0.5,2690572288
0.3,2690560000
0.2,2690560000
0.0,2690547712
0.2,2690547712
0.2,2690543616
0.3,2690543616
0.2,2690531328
0.2,2690531328
0.0,2690265088
0.3,2690265088
0.2,2690265088
0.0,2690265088
0.2,2690265088
0.3,2690265088
0.2,2690265088
0.3,2690265088
0.3,2690265088
0.2,2690265088
0.2,2690314240
0.2,2690314240
0.0,2690301952
0.2,2690301952
0.3,2690289664
0.2,2690289664
0.3,2690277376
0.0,2690277376
0.2,2690281472
0.3,2690265088
