Total_CPU_percent,Total_Memory_usage
0.4,2695344128
0.0,2695344128
0.0,2695344128
0.0,2695344128
0.0,2695344128
0.2,2695344128
0.0,2695344128
0.2,2699735040
0.0,2699603968
0.0,2699603968
0.0,2699603968
0.0,2699603968
0.0,2699603968
0.2,2699472896
0.0,2699341824
0.0,2699341824
0.0,2699341824
0.5,2698682368
0.0,2698412032
0.0,2698412032
0.0,2698403840
0.2,2698395648
0.0,2698166272
0.0,2697773056
0.0,2697773056
0.0,2697773056
0.0,2697641984
0.5,2698248192
0.2,2697871360
0.0,2697871360
0.0,2697871360
5.6,2694406144
0.6,2695700480
0.3,2695335936
0.0,2695335936
0.5,2695335936
0.2,2698219520
0.5,2696949760
0.0,2696785920
0.2,2696785920
0.3,2696654848
0.2,2696654848
1.2,2697084928
0.0,2697015296
0.2,2696486912
0.0,2696355840
0.3,2700791808
0.0,2699239424
0.0,2699239424
0.0,2699239424
0.0,2698944512
0.2,2698797056
0.3,2699800576
0.2,2699890688
0.0,2699890688
0.0,2699890688
0.3,2698772480
0.3,2699591680
0.2,2700222464
0.0,2700222464
0.0,2700222464
0.2,2700648448
0.3,2700820480
0.2,2700292096
0.0,2700226560
0.0,2700226560
0.5,2700492800
0.5,2700361728
0.0,2700886016
0.0,2700783616
0.0,2699833344
0.2,2698457088
0.3,2695704576
0.0,2695401472
0.2,2695401472
0.0,2695401472
0.5,2699378688
0.2,2700292096
0.0,2699956224
0.2,2699956224
0.0,2699923456
0.3,2700255232
0.5,2700488704
0.2,2700677120
0.0,2700353536
0.0,2700054528
0.5,2701619200
0.5,2701996032
0.0,2702290944
0.0,2701832192
0.2,2701602816
0.5,2702426112
0.3,2701148160
0.0,2701103104
0.2,2701234176
0.0,2701070336
0.5,2699644928
0.5,2700464128
0.0,2700623872
0.0,2700623872
0.0,2700623872
0.5,2700591104
0.3,2701262848
0.0,2700693504
0.0,2700595200
0.0,2700595200
0.5,2701819904
0.2,2702610432
0.3,2702479360
0.0,2701750272
0.0,2699554816
0.2,2697318400
0.5,2696630272
0.0,2696716288
0.0,2696650752
0.3,2700636160
0.3,2699423744
0.6,2700636160
0.2,2700668928
0.0,2700402688
0.0,2700402688
0.6,2701029376
0.3,2699669504
0.0,2699726848
0.0,2699530240
0.3,2701189120
0.5,2700496896
0.3,2700218368
0.2,2700021760
0.2,2700021760
0.0,2700021760
0.3,2700251136
0.9,2700398592
0.3,2700627968
0.0,2700464128
0.5,2699374592
0.2,2699980800
0.5,2701291520
0.0,2701303808
0.2,2701205504
0.2,2701213696
0.3,2703736832
0.2,2701180928
0.0,2701062144
0.0,2700374016
0.5,2701934592
0.3,2700787712
0.2,2700103680
0.2,2699972608
0.2,2698334208
0.2,2695254016
0.3,2695335936
0.3,2696089600
0.0,2695860224
0.0,2695876608
0.3,2700578816
0.5,2700541952
0.6,2700873728
0.5,2701398016
0.0,2701398016
0.2,2700836864
0.3,2700476416
0.5,2700836864
0.2,2700443648
0.2,2699165696
0.3,2701946880
0.5,2702798848
0.2,2702176256
0.3,2701815808
0.2,2702114816
0.3,2702344192
0.6,2701389824
0.3,2700505088
0.0,2700996608
0.2,2700550144
0.5,2701557760
0.8,2702278656
0.5,2702770176
2.9,2696593408
0.6,2693533696
0.6,2695499776
0.6,2696286208
1.1,2697318400
0.3,2697482240
0.6,2697687040
0.6,2701750272
0.8,2701012992
0.8,2701176832
0.2,2699702272
0.0,2698010624
0.2,2696798208
0.8,2697633792
0.5,2697306112
0.3,2697175040
0.0,2695139328
0.6,2702524416
0.5,2704343040
0.3,2704424960
0.3,2705539072
0.2,2705358848
0.8,2704932864
0.3,2703818752
0.3,2703409152
0.3,2704916480
