Bytes_sent,Bytes_received
152960012165,152807879129
152960012165,152807879129
152960012165,152807879129
152960012165,152807879311
152960012165,152807879523
152960012165,152807879523
152960012165,152807879523
152960012165,152807879523
152960012165,152807879523
152960012165,152807879523
152960012165,152807879629
152960012165,152807879629
152961202899,152809080127
152961820333,152809681695
152961820465,152809681813
152961820465,152809681813
152961820465,152809681813
152961820465,152809681813
152961820465,152809681813
152961820465,152809681971
152961820465,152809681971
152961820465,152809681971
152963627841,152811482867
152963627841,152811482867
152963627841,152811483079
152963627841,152811483079
152963627841,152811483079
152963627841,152811483079
152963627841,152811483079
152963627841,152811483079
152963627841,152811483185
152963627841,152811483185
152965435283,152813282593
152965435283,152813282593
152965435283,152813282593
152965435283,152813282593
152965435283,152813282593
152966013031,152813858749
152967242923,152815083805
152967242923,152815084069
152967242923,152815084259
152967242923,152815084433
152969050959,152816886013
152969050959,152816886013
152969050959,152816886225
152969050959,152816886225
152969050959,152816886225
152970643293,152818487069
152970859071,152818687397
152970859071,152818687397
152970859071,152818687571
152970859071,152818687571
152972666267,152820487525
152972666267,152820487525
152972666267,152820487525
152972666267,152820487525
152972666267,152820487525
152974147027,152821963481
152974472455,152822287069
152974472455,152822287069
152974472455,152822287069
152974472455,152822287069
152976677745,152824484489
152977979237,152825780291
152978087405,152825887949
152978087405,152825887949
152978088747,152825918663
152979894121,152827687995
152979894121,152827687995
152979894121,152827687995
152979894121,152827687995
152981246933,152829036835
152982967427,152830750307
152983507817,152831288687
152983507817,152831288687
152983507817,152831288687
152983617063,152831397321
152985279973,152833054423
152985314995,152833089423
152985314995,152833089581
152985314995,152833089581
152987195341,152834963157
152988495249,152836260403
152988927767,152836690051
152988927767,152836690051
152988927767,152836690051
152989471269,152837231059
152991277171,152839029945
152992397789,152840147529
152992542189,152840291177
152992542189,152840291177
152994530527,152842272631
152995867151,152843604327
152996156149,152843892435
152996156149,152843892625
152996156149,152843892625
152996736267,152844470879
152999117339,152846842543
152999767469,152847490073
152999767601,152847490349
152999767601,152847490349
153001790779,152849509137
153003091045,152850805127
153003379845,152851093263
153003379845,152851093429
153003379845,152851093587
153004968971,152852677283
153006503039,152854224763
153006992221,152854693335
153006992221,152854693501
153006992221,152854693501
153009340965,152857033971
153010933857,152858621809
153012125703,152859808561
153012413293,152860095089
153012413293,152860096429
153013994867,152861682083
153015487777,152863161335
153016028903,152863700955
153016028903,152863701113
153016028903,152863701113
153018377515,152866040909
153020472503,152868128117
153021448853,152869100889
153021448853,152869101047
153021448853,152869101047
153023183633,152870828755
153024593537,152872233237
153025062903,152872701639
153025062903,152872701639
153025062903,152872701639
153027956293,152875585247
153029615991,152877238523
153030410983,152878030655
153030482919,152878103001
153030482919,152878103167
153032433441,152880047807
153034346975,152881958513
153035504155,152883110791
153035925887,152883472259
153036509091,152884055565
153038998899,152886535705
153040878319,152888410519
153041348675,152888880823
153041384973,152888917347
153041566523,152889098815
153043736775,152891264463
153045652027,152893175667
153046700709,152894222817
153046808943,152894331173
153048720659,152896234759
153050132013,152897642031
153051649071,152899155839
153052153789,152899659491
153052225857,152899731433
153052502041,152900020321
153054864283,152902364881
153056706943,152904211585
153057429735,152904932947
153057646401,152905149231
153059491395,152906989237
153060758079,152908251865
153062999453,152910487501
153064479729,152911963829
153064840663,152912323341
153065273665,152912755111
153067839207,152915312405
153069502117,152916985873
153070223589,152917704807
153070295525,152917776513
153072424501,152919896577
153074196921,152921662643
153075966681,152923425631
153077231477,152924684265
153077520343,152924972189
153078351633,152925800079
153080486239,152927926691
153082181929,152929645269
153082868199,152930329625
153082940399,152930402031
153084924735,152932377115
153087092427,152934536711
153089188273,152936623595
153089874899,152937307779
153090164161,152937595755
153091320689,152938748471
153093162991,152940584381
153095331499,152942759109
153096920999,152944343265
153097353803,152944777745
153099669565,152947084857
153101620317,152949029891
153103500901,152950905465
153104405007,152951806065
153104620067,152952020457
153106175007,152953569469
153108270523,152955657991
153109933565,152957327343
153111415579,152958803929
153111848383,152959236151
153114378287,152961756945
153116511179,152963882391
153118172153,152965537459
153118895231,152966258831
153119074425,152966437403
153120630047,152967988427
153122942075,152970295337
153124965787,152972321895
153125978105,152973330315
153126303929,152973657947
153127206957,152974557855
153128906011,152976279997
153131180201,152978516581
153132734167,152980064813
153133421437,152980749233
153135552525,152982873441
153137432629,152984747357
153139456935,152986789515
153140432955,152987761081
153140722079,152988050043
153142093885,152989416697
153144191271,152991506603
153145889753,152993199255
153147442427,152994747519
153147947563,152995251415
153150151379,152997449019
153152610601,152999903671
153153948083,153001244837
153154887343,153002180715
153155176011,153002471981
153156910197,153004200661
153158863227,153006145611
153160782313,153008057085
153162009141,153009279361
153162442341,153009711287
153163093197,153010360091
153164791613,153012057029
153167250075,153014508235
153168732057,153015984899
153169491245,153016742245
153171297005,153018541075
153173537339,153020773923
153175379803,153022610553
153176427561,153023654171
153176933819,153024158917
153177981775,153025202789
153180040927,153027254369
153181848105,153029056419
153183438353,153030641621
153184122641,153031329187
153186040993,153033237139
153188425895,153035611761
153189943745,153037124407
153190955733,153038132331
153191315941,153038492067
153192761921,153039932361
153194642057,153041806017
153196520149,153043677437
153198109077,153045261053
153198542145,153045692757
153198903277,153046052991
153200926395,153048067305
153203095833,153050227823
153204648589,153051773997
153205731391,153052853783
153207177393,153054294283
153209632765,153056739811
153211257067,153058359093
153212449159,153059546863
153212991253,153060087169
153214002515,153061094275
153216061221,153063145431
153217614033,153064692187
153219457707,153066529295
153220325229,153067393751
153221772947,153068836107
153224229317,153071283039
153225928451,153072975449
153227084311,153074128565
153227373045,153074416517
153228746561,153075785455
153230734535,153077765947
153232614145,153079638703
153234097985,153081116631
153234674551,153081691643
153235144939,153082160429
153236916859,153083924753
153238894317,153085835247
153240630681,153087566405
153241752751,153088684301
153243198621,153090124943
153245438933,153092355725
153247136865,153094047949
153248691805,153095597043
153249161369,153096065497
153249992719,153096894717
153252015711,153098909901
153253715183,153100602837
153255522559,153102403065
153256280857,153103158895
153257799169,153104671825
153259973811,153106839443
153262140629,153108997571
153263259971,153110113339
153263620971,153110472681
153264633313,153111481957
153266657693,153113497969
153268609569,153115442653
153270201203,153117029635
153270851399,153117677415
153271284203,153118109067
153272839983,153119660063
153274829131,153121640735
153276491875,153123298093
153277684793,153124486017
153279096059,153125892313
153281517555,153128306041
153283108901,153129890425
153284553693,153131330459
153285276815,153132051503
153286036631,153132808801
153287917477,153134683441
153289508501,153136268733
153291246685,153138001517
153292365945,153139115923
153293598691,153140344413
153296054701,153142791395
153298007731,153144737705
153299200131,153145925939
153299705399,153146429689
153300681617,153147402313
153302291983,153149020287
153304441627,153151148777
153306211715,153152912813
153306970955,153153669797
153307367941,153154065735
153308598355,153155291573
153310478349,153157165443
153312575053,153159254905
153313695539,153160371441
153315215919,153161885691
153317171341,153163834291
153319265367,153165920103
153320530385,153167180391
153321326465,153167974875
153322012597,153168658351
153323749555,153170387753
153325702255,153172334431
153327329989,153173956213
153328451993,153175074373
153329646153,153176263959
153331954693,153178567997
153333984137,153180585675
153335286245,153181883803
153335827769,153182424055
153336801163,153183396007
153338466675,153185052783
153340135877,153186715327
153342048359,153188622349
153342949279,153189519323
153343491003,153190059849
153344611275,153191176421
153346708903,153193265217
153348660613,153195209775
153349817331,153196361805
153351120011,153197660265
153353073015,153199606193
153355092353,153201615809
153356573839,153203091951
153357297027,153203812051
153357987543,153204507257
153359860853,153206364915
153361774235,153208271733
153363274613,153209781477
153364520393,153211005809
153365692405,153212189001
153367591665,153214064811
153369724403,153216188515
153371458853,153217914901
153371928383,153218383205
153372939217,153219390169
153374421225,153220866389
153376188717,153222628903
153377925835,153224356917
153379010485,153225436821
153379696583,153226121483
153380599215,153227021025
153382659357,153229073935
153384393451,153230803531
153385840045,153232244399
153387286811,153233686441
153389056977,153235450497
153391095851,153237496261
153392381741,153238762627
153393502557,153239878479
153394152225,153240526103
153395885883,153242254429
