CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,10.0,0.153125,0,1777664
0.8,40.0,0.459375,0,3313664
0.6,44.4,0.76875,0,2744320
0.5,25.0,0.459375,0,1683456
0.0,0.0,0.0,0,1683456
0.0,0.0,0.0,0,1683456
0.0,0.0,0.0,0,1683456
0.0,0.0,0.0,0,1683456
0.2,0.0,0.0,0,1683456
0.0,0.0,0.0,0,1683456
0.6,33.3,0.3078125,0,2928640
0.2,16.7,0.6125,0,3403776
0.8,50.0,0.4625,0,3629056
0.5,27.3,0.3078125,0,1835008
0.2,0.0,0.0,0,1835008
0.0,0.0,0.0,0,1835008
0.0,0.0,0.0,0,1835008
0.0,0.0,0.0,0,1835008
0.0,0.0,0.0,0,1835008
0.0,0.0,0.0,0,1835008
0.8,40.0,0.615625,0,3477504
0.8,40.0,0.6140625,0,3571712
0.8,44.4,0.615625,0,3502080
0.2,20.0,0.1546875,0,1699840
0.0,0.0,0.0,0,1699840
0.0,0.0,0.0,0,1699840
0.0,9.1,0.153125,0,1703936
0.6,36.4,0.3078125,0,2027520
0.6,28.6,0.765625,0,3264512
0.6,50.0,0.4609375,0,3928064
0.9,45.5,0.6140625,0,3178496
0.8,54.5,0.615625,0,3522560
0.9,44.4,0.6140625,0,3383296
0.2,0.0,0.153125,0,1785856
0.0,0.0,0.0,0,1785856
0.0,0.0,0.1546875,0,1835008
0.3,30.0,0.3078125,0,2068480
0.6,40.0,0.6140625,0,2486272
0.8,44.4,0.4609375,0,2777088
0.0,0.0,0.30625,0,1785856
0.8,50.0,0.7703125,0,3702784
0.8,44.4,0.4625,0,4149248
0.8,50.0,0.7671875,0,4603904
0.2,0.0,0.0,0,4603904
0.0,0.0,0.0,0,4603904
0.3,18.2,0.153125,0,4603904
0.6,30.0,0.30625,0,4603904
0.6,44.4,0.7671875,0,4653056
0.9,54.5,0.6171875,0,4988928
0.3,20.0,0.3078125,0,5054464
0.5,33.3,0.615625,0,5328896
0.8,50.0,0.4625,0,5414912
0.9,50.0,0.7640625,0,5685248
0.6,37.5,0.459375,0,5685248
0.6,40.0,0.615625,0,5685248
1.2,54.5,0.6140625,0,5746688
0.3,45.5,0.459375,0,5758976
1.2,54.5,0.7671875,0,5779456
0.8,40.0,0.4609375,0,5779456
0.3,40.0,0.615625,0,5779456
0.8,37.5,0.4625,0,5787648
0.6,50.0,0.615625,0,5873664
0.8,40.0,0.6125,0,5881856
0.3,28.6,0.4625,0,5922816
0.8,45.5,0.7703125,0,6025216
0.9,50.0,0.6140625,0,6025216
0.6,37.5,0.615625,0,6025216
0.6,45.5,0.4625,0,6242304
0.8,44.4,0.6140625,0,6242304
0.8,40.0,0.4625,0,6270976
0.6,50.0,0.76875,0,6270976
1.7,50.0,0.6109375,0,6270976
4.5,40.0,0.4609375,0,6311936
0.8,33.3,0.615625,0,6340608
0.5,37.5,0.4609375,0,6365184
0.8,33.3,0.6109375,0,6377472
1.4,50.0,0.6109375,0,6381568
0.6,50.0,0.6171875,0,6381568
0.8,33.3,0.459375,0,6455296
1.2,50.0,0.76875,0,6455296
0.6,44.4,0.459375,0,6529024
1.1,50.0,0.7640625,0,6955008
0.3,28.6,0.6125,0,7352320
1.1,45.5,0.4609375,0,7897088
0.6,50.0,0.615625,0,8323072
1.1,54.5,0.6140625,0,8736768
0.6,45.5,0.6125,0,9408512
0.6,28.6,0.459375,0,9400320
0.8,45.5,0.7703125,0,9777152
1.1,54.5,0.459375,0,10125312
0.8,54.5,0.615625,0,10555392
0.8,40.0,0.765625,0,11079680
0.6,37.5,0.4625,0,11579392
0.6,45.5,0.459375,0,11874304
0.6,37.5,0.76875,0,12304384
0.6,44.4,0.4609375,0,12890112
0.8,50.0,0.6109375,0,13193216
0.6,40.0,0.7640625,0,13410304
1.2,61.5,0.4609375,0,13549568
0.6,33.3,0.6125,0,13713408
0.8,50.0,0.6125,0,13869056
0.8,44.4,0.615625,0,14065664
0.8,50.0,0.4625,0,14249984
0.8,40.0,0.7671875,0,14643200
0.5,37.5,0.4578125,0,15319040
0.8,50.0,0.615625,0,15474688
1.1,61.5,0.6125,0,15839232
1.1,50.0,0.6140625,0,16023552
0.6,50.0,0.765625,0,16199680
0.8,33.3,0.4625,0,16408576
0.9,54.5,0.6125,0,16494592
0.9,54.5,0.615625,0,16494592
1.1,50.0,0.6171875,0,16617472
0.5,37.5,0.4609375,0,16617472
0.8,50.0,0.76875,0,16617472
0.8,54.5,0.459375,0,16564224
0.6,25.0,0.76875,0,16617472
0.6,45.5,0.459375,0,16904192
0.9,44.4,0.76875,0,17035264
0.9,50.0,0.459375,0,17166336
0.5,40.0,0.6171875,0,17375232
0.6,44.4,0.459375,0,17477632
0.8,37.5,0.615625,0,17604608
0.6,45.5,0.6125,0,17657856
0.5,44.4,0.615625,0,17760256
0.6,44.4,0.6125,0,17850368
0.8,40.0,0.6125,0,18006016
1.1,50.0,0.615625,0,18046976
0.8,50.0,0.615625,0,18378752
0.5,33.3,0.6125,0,18808832
0.6,33.3,0.615625,0,19292160
0.9,58.3,0.4609375,0,19316736
0.9,50.0,0.6125,0,19386368
1.2,54.5,0.7703125,0,19562496
0.8,50.0,0.459375,0,19718144
0.8,50.0,0.615625,0,19886080
0.9,54.5,0.6140625,0,20041728
0.5,28.6,0.615625,0,20287488
0.8,45.5,0.6125,0,20467712
1.1,58.3,0.615625,0,20529152
0.9,44.4,0.6125,0,20701184
1.1,61.5,0.6109375,0,20758528
0.8,50.0,0.6109375,0,20959232
0.6,33.3,0.615625,0,21061632
0.9,50.0,0.76875,0,21438464
0.6,50.0,0.615625,0,21823488
0.9,54.5,0.6109375,0,21975040
0.9,44.4,0.6109375,0,22249472
0.9,57.1,0.4609375,0,22429696
1.1,54.5,0.7703125,0,22556672
0.9,54.5,0.6140625,0,22810624
0.8,44.4,0.6109375,0,22974464
0.8,40.0,0.615625,0,23076864
0.5,50.0,0.4609375,0,23191552
0.8,37.5,0.615625,0,23191552
0.9,50.0,0.615625,0,23199744
0.3,44.4,0.615625,0,23330816
0.8,33.3,0.615625,0,23400448
0.9,54.5,0.4609375,0,23474176
0.8,50.0,0.6125,0,23494656
0.8,45.5,0.6125,0,23703552
0.8,44.4,0.7640625,0,24068096
0.6,37.5,0.615625,0,24162304
0.5,40.0,0.4609375,0,24227840
0.8,50.0,0.615625,0,24264704
0.8,50.0,0.6140625,0,24264704
0.6,40.0,0.6109375,0,24264704
0.5,37.5,0.6109375,0,24592384
0.8,50.0,0.6140625,0,24879104
0.8,40.0,0.4609375,0,25096192
0.6,44.4,0.615625,0,25657344
0.9,45.5,0.6125,0,25915392
0.9,54.5,0.6125,0,26062848
0.8,50.0,0.615625,0,26345472
0.8,37.5,0.6125,0,26513408
0.8,50.0,0.615625,0,26513408
0.8,44.4,0.459375,0,26669056
0.6,44.4,0.7703125,0,26742784
0.9,50.0,0.6140625,0,26783744
