Total_CPU_percent,Total_Memory_usage
0.2,2704216064
0.0,2704216064
0.2,2704216064
0.0,2704207872
0.2,2704297984
0.0,2704297984
0.0,2704297984
0.2,2704072704
0.8,2707415040
0.6,2707742720
0.5,2707271680
0.0,2707271680
0.0,2707271680
0.0,2707042304
0.0,2704764928
0.2,2704764928
0.0,2704764928
0.6,2705641472
0.2,2706747392
0.8,2706513920
0.5,2706456576
0.2,2706456576
0.0,2706456576
0.0,2704588800
0.0,2704556032
0.0,2704297984
0.0,2704297984
0.8,2705432576
0.8,2706788352
0.8,2707312640
0.2,2706280448
0.0,2706280448
0.0,2706280448
0.0,2703945728
0.6,2704957440
0.6,2705825792
0.6,2707091456
0.9,2708029440
0.8,2708074496
0.9,2708443136
0.2,2707996672
0.0,2708254720
0.0,2708254720
0.3,2706206720
0.6,2706759680
0.8,2707152896
0.0,2707775488
0.8,2707107840
0.8,2707361792
0.8,2709057536
0.2,2709143552
0.0,2709143552
0.3,2708914176
0.6,2708357120
0.6,2708226048
0.9,2709336064
0.3,2709401600
0.5,2707238912
0.8,2705993728
0.9,2706677760
0.6,2707005440
0.6,2707075072
1.2,2707730432
0.3,2707222528
1.2,2707255296
0.8,2708000768
0.3,2708193280
0.8,2708492288
0.6,2708328448
0.8,2708566016
0.3,2709090304
0.8,2709057536
0.9,2708733952
0.6,2708799488
0.6,2708795392
0.8,2709286912
0.8,2709745664
0.6,2709983232
1.7,2708246528
4.5,2706567168
0.8,2706436096
0.5,2707353600
0.8,2706894848
1.4,2707058688
0.6,2707296256
0.8,2707001344
1.2,2707689472
0.6,2707722240
1.1,2708733952
0.3,2709188608
1.1,2711109632
0.6,2711920640
1.1,2711371776
0.6,2712150016
0.6,2713194496
0.8,2714238976
1.1,2713612288
0.8,2712064000
0.8,2712412160
0.6,2713120768
0.6,2714140672
0.6,2715439104
0.6,2715832320
0.8,2716516352
0.6,2717200384
1.2,2717659136
0.6,2718310400
0.8,2717880320
0.8,2717847552
0.8,2718556160
0.8,2718777344
0.5,2720272384
0.8,2719358976
1.1,2720174080
1.1,2721841152
0.6,2722066432
0.8,2723241984
0.9,2722783232
0.9,2721374208
1.1,2721173504
0.5,2721239040
0.8,2721374208
0.8,2720604160
0.6,2721587200
0.6,2721914880
0.9,2722861056
0.9,2723708928
0.5,2722455552
0.6,2720989184
0.8,2721181696
0.6,2722099200
0.5,2722668544
0.6,2722705408
0.8,2723766272
1.1,2724241408
0.8,2724102144
0.5,2723622912
0.6,2722304000
0.9,2721181696
0.9,2722275328
1.2,2723794944
0.8,2722295808
0.8,2723225600
0.9,2723692544
0.5,2724196352
0.8,2725826560
1.1,2725842944
0.9,2725904384
1.1,2726215680
0.8,2727636992
0.6,2727641088
0.9,2727645184
0.6,2728321024
0.9,2729267200
0.9,2729807872
0.9,2730848256
1.1,2731094016
0.9,2729811968
0.8,2729172992
0.8,2729140224
0.5,2728251392
0.8,2728460288
0.9,2728919040
0.3,2729459712
0.8,2730217472
0.9,2730299392
0.8,2730168320
0.8,2729656320
0.8,2729426944
0.6,2729734144
0.5,2729381888
0.8,2729066496
0.8,2729574400
0.6,2730000384
0.5,2731139072
0.8,2730102784
0.8,2728873984
0.6,2729029632
0.9,2729844736
0.9,2730758144
0.8,2731884544
0.8,2730500096
0.8,2730401792
0.8,2731139072
0.6,2731339776
0.9,2732257280
0.3,2732974080
0.9,2732650496
0.9,2732421120
0.6,2733244416
0.3,2733166592
0.9,2733555712
0.6,2734567424
0.9,2735185920
0.3,2735579136
0.8,2737033216
0.9,2736017408
1.1,2734645248
0.3,2734428160
0.8,2735108096
0.8,2735251456
0.6,2736979968
0.8,2737680384
0.6,2737516544
0.8,2737762304
0.8,2738057216
0.8,2737041408
0.5,2736250880
0.8,2735513600
0.9,2736136192
0.5,2736148480
0.8,2736832512
0.9,2737811456
0.8,2738872320
0.6,2737037312
0.9,2735542272
0.5,2734329856
0.9,2734690304
0.5,2735591424
0.6,2736541696
0.8,2735108096
0.9,2736005120
0.5,2736267264
0.8,2736775168
0.6,2737954816
0.6,2737922048
5.6,2735153152
1.1,2735738880
0.9,2736668672
0.9,2736865280
0.9,2736652288
0.9,2737442816
1.1,2737881088
0.9,2739408896
0.8,2740510720
1.1,2740633600
0.8,2741116928
0.9,2741067776
0.8,2741649408
0.8,2742300672
0.6,2741018624
0.9,2741342208
0.6,2742190080
0.6,2743185408
0.9,2743316480
0.6,2744020992
0.8,2743693312
0.9,2743459840
0.3,2742263808
0.9,2741288960
0.8,2741469184
0.6,2741436416
0.8,2741936128
0.5,2742181888
0.6,2741948416
1.1,2740948992
0.5,2741862400
0.8,2741665792
0.8,2742210560
0.9,2741755904
0.5,2743353344
0.9,2744070144
0.3,2744266752
0.8,2744725504
0.6,2745118720
0.6,2746101760
0.6,2746064896
0.8,2745245696
0.5,2744885248
0.3,2744606720
0.3,2745094144
0.6,2746109952
1.1,2746331136
0.6,2746462208
0.8,2746986496
0.5,2747670528
0.9,2747088896
0.6,2745937920
0.9,2745450496
0.5,2745331712
0.5,2745659392
0.6,2746134528
0.5,2746490880
0.8,2746851328
0.9,2747080704
0.9,2747473920
0.6,2747932672
0.5,2746417152
0.8,2745335808
0.3,2745360384
0.5,2746310656
1.1,2747420672
0.5,2746929152
0.9,2745618432
0.9,2744078336
0.6,2744336384
0.8,2745040896
0.8,2746191872
0.6,2745622528
0.9,2746572800
0.2,2747428864
0.8,2748313600
0.9,2748702720
0.8,2749714432
0.8,2749919232
0.9,2750345216
0.6,2750480384
1.2,2749624320
0.6,2747781120
0.9,2748157952
0.8,2748588032
0.8,2749120512
0.3,2749579264
0.9,2749628416
0.8,2750652416
0.8,2751619072
0.5,2751188992
0.5,2749878272
1.2,2748964864
0.3,2750451712
0.8,2751320064
0.8,2750992384
1.2,2751418368
0.8,2751987712
0.6,2752512000
0.5,2752970752
0.9,2753642496
0.9,2752217088
0.9,2750754816
0.6,2751295488
1.1,2752147456
0.8,2752602112
0.9,2751635456
0.6,2749636608
0.6,2747981824
0.5,2748440576
1.1,2749472768
0.6,2749276160
1.2,2750427136
0.8,2751205376
0.9,2751664128
0.8,2751893504
0.8,2752937984
1.1,2753609728
1.1,2753867776
0.8,2754568192
0.8,2753884160
0.8,2750189568
0.9,2749517824
0.8,2750042112
0.6,2750435328
0.9,2750976000
0.6,2751692800
0.6,2752364544
0.8,2752200704
0.8,2751823872
0.8,2751594496
0.6,2749726720
0.5,2750246912
0.6,2751213568
0.8,2752040960
0.6,2752528384
0.6,2753294336
0.9,2753425408
0.5,2754469888
0.8,2754420736
0.6,2753503232
0.9,2751950848
0.9,2751651840
0.9,2752684032
0.6,2753142784
0.6,2752946176
0.9,2752143360
6.8,2749718528
1.2,2749845504
0.8,2750889984
0.9,2751348736
0.9,2751369216
0.8,2751664128
0.8,2752352256
0.5,2753396736
0.8,2753949696
0.9,2754605056
0.9,2755325952
0.9,2755321856
0.8,2755190784
0.8,2755026944
0.8,2753695744
0.8,2753867776
0.9,2754097152
0.6,2754232320
0.9,2754560000
0.6,2754826240
0.6,2754727936
0.6,2754527232
0.5,2754789376
0.9,2754560000
0.5,2751524864
1.1,2751459328
0.6,2751950848
1.1,2752933888
0.8,2752770048
0.5,2752966656
0.8,2753130496
0.5,2753671168
1.1,2753900544
0.8,2753097728
0.5,2753126400
0.8,2753372160
0.5,2753798144
0.5,2754060288
0.6,2752765952
0.8,2750439424
0.8,2750304256
0.5,2750431232
0.9,2751053824
0.5,2750771200
0.6,2751553536
0.8,2751455232
0.5,2751848448
0.9,2753384448
0.8,2753449984
0.6,2753982464
0.8,2754506752
0.9,2755424256
0.8,2755588096
1.1,2754637824
1.1,2753949696
0.5,2754015232
0.6,2754179072
0.5,2754523136
0.9,2755473408
0.6,2755768320
0.5,2755129344
0.6,2755227648
0.9,2755391488
0.9,2754342912
0.5,2753794048
0.8,2753396736
0.8,2754199552
0.8,2754658304
0.5,2754478080
0.6,2754355200
1.2,2754797568
0.3,2755584000
0.8,2756497408
0.6,2754359296
1.1,2752851968
0.9,2752819200
0.9,2753703936
1.1,2752454656
0.8,2751799296
0.8,2751438848
0.6,2751864832
0.6,2752749568
0.8,2752815104
0.6,2752847872
0.9,2752585728
0.8,2752815104
0.8,2753863680
0.5,2754125824
1.1,2754682880
0.5,2754383872
0.9,2755137536
0.6,2755526656
0.6,2754027520
0.8,2754387968
0.8,2754383872
0.8,2754285568
0.8,2754351104
0.5,2754777088
0.9,2755756032
0.6,2756083712
0.6,2756214784
0.9,2756997120
0.6,2756554752
0.6,2756685824
0.8,2756325376
0.6,2756587520
0.3,2756620288
0.9,2757177344
0.8,2757046272
0.5,2755506176
0.6,2755575808
0.8,2755309568
1.1,2755432448
0.6,2755137536
0.9,2754105344
1.1,2754760704
0.6,2753794048
0.8,2753593344
0.3,2752512000
0.8,2753413120
0.9,2753839104
0.8,2754543616
0.6,2754850816
0.8,2754785280
1.1,2755112960
0.9,2754523136
0.8,2755375104
0.8,2755538944
0.8,2755768320
1.1,2755993600
0.6,2756747264
0.8,2755481600
0.6,2755710976
1.1,2756464640
0.6,2755317760
0.6,2755907584
0.8,2756005888
0.8,2756530176
0.5,2757152768
0.6,2757234688
0.6,2757169152
1.2,2757541888
0.6,2757066752
0.8,2755694592
0.5,2755956736
0.8,2755858432
0.8,2755661824
5.2,2753155072
2.7,2750976000
0.6,2751827968
0.8,2752221184
1.2,2752077824
0.8,2752438272
1.1,2752733184
0.9,2752897024
0.9,2753093632
0.8,2752667648
0.8,2752536576
0.8,2752700416
0.5,2753421312
0.6,2753462272
0.9,2752327680
0.8,2753048576
0.9,2753310720
0.5,2753409024
0.8,2753179648
0.8,2753703936
0.5,2754424832
0.6,2754818048
1.1,2754818048
0.8,2753646592
0.9,2754072576
0.6,2753777664
0.8,2754433024
0.8,2754297856
0.9,2754981888
0.8,2754686976
0.5,2755309568
0.6,2756161536
0.8,2756456448
0.3,2756423680
0.8,2755981312
0.8,2755620864
0.8,2755686400
0.9,2754408448
0.3,2754310144
0.3,2754637824
1.1,2755489792
0.6,2756141056
0.9,2755911680
0.6,2755272704
0.9,2755764224
0.6,2755862528
0.5,2755932160
0.5,2754101248
0.6,2752282624
0.8,2751164416
0.6,2751885312
0.6,2752311296
0.6,2753228800
0.8,2752905216
0.8,2753822720
0.5,2754080768
0.6,2755031040
0.8,2754670592
0.6,2754244608
0.6,2754473984
0.8,2753835008
0.9,2753998848
0.8,2754392064
0.8,2754338816
0.6,2754830336
0.8,2755649536
0.8,2755289088
0.8,2753814528
0.8,2754469888
0.6,2754797568
1.1,2755190784
0.9,2754306048
0.5,2754830336
0.5,2754551808
0.8,2754715648
