Bytes_sent,Bytes_received
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586236237,199041816015
199586673969,199042244749
199586997309,199042552305
199587010839,199042565393
199587015195,199042569445
199587015195,199042569657
199587015195,199042569763
199587015195,199042569763
199587015195,199042569763
199587015195,199042569763
199587015195,199042569763
199587354137,199042895233
199587481957,199043019041
199587684865,199043215777
199587701421,199043232181
199587701421,199043232181
199587701421,199043232181
199587701421,199043232181
199587701421,199043232181
199587701421,199043232181
199587701421,199043232355
199588113007,199043631639
199588251599,199043766259
199588435163,199043944017
199588436615,199043945945
199588436615,199043946157
199588436615,199043946157
199588469943,199043978379
199588638191,199044140211
199589036793,199044525681
199589142017,199044628931
199589414129,199044891947
199589634093,199045105553
199589860797,199045324809
199589862381,199045326933
199589862381,199045326933
199589900043,199045363291
199590062657,199045520563
199590312979,199045761663
199590541195,199045983233
199590585639,199046026361
199591023649,199046449463
199591168181,199046588495
199591291957,199046709207
199591292617,199046710073
199591292617,199046710285
199591368861,199046783569
199591598129,199047004997
199591809275,199047208609
199592013223,199047407165
199592193305,199047589615
199592478623,199047857641
199592625523,199047999501
199592841137,199048208677
199592983809,199048347287
199593199261,199048556129
199593484127,199048831799
199593721049,199049061905
199593917007,199049251757
199594146425,199049476207
199594532641,199049848333
199594647007,199049962071
199594931749,199050237421
199595130149,199050430133
199595364195,199050655957
199595518699,199050805197
199595585871,199050870259
199595868759,199051142679
199596051867,199051320085
199596269567,199051530363
199596647565,199051893685
199596796951,199052040701
199597062353,199052298261
199597319509,199052489745
199597536125,199052699341
199597760653,199052916641
199597805185,199052960537
199598071049,199053217081
199598361993,199053501623
199598568175,199053701349
199598880481,199054004899
199599177409,199054293527
199599447825,199054555593
199599747889,199054845941
199599981909,199055072707
199600154549,199055240825
199600369449,199055447425
199600517233,199055591249
199600859917,199055929981
199601026307,199056082469
199601231369,199056280843
199601572109,199056610307
199601840833,199056873015
199602106205,199057140753
199602393785,199057410411
199602644579,199057653823
199602934605,199057934241
199603100101,199058095893
199603346949,199058334771
199603541753,199058523177
199603717883,199058692139
199603915003,199058881301
199604158595,199059117819
199604483915,199059432663
199604691635,199059633951
199604905231,199059842591
199605063511,199059996837
199605355319,199060277823
199605658175,199060571857
199605907427,199060813867
199606012927,199060917113
199606258175,199061153189
199606425571,199061315511
199606648035,199061530983
199606968547,199061840567
199607242559,199062106671
199607431731,199062292377
199607775677,199062624693
199608112189,199062959321
199608303927,199063137461
199608536067,199063361543
199608663793,199063493579
199608829149,199063646803
199609200357,199064004573
199609465527,199064270303
199609675425,199064464809
199609858799,199064643339
199610114781,199064890633
199610307917,199065077531
199610615577,199065372045
199610683845,199065440411
199610872289,199065627313
199611076269,199065818847
199611281391,199066019493
199611659755,199066384585
199612093101,199066804349
199612249545,199066955815
199612377565,199067080201
199612526788,199067227193
199613063321,199067743205
199613200069,199067877547
199613405205,199068076227
199613732653,199068399095
199613957449,199068607177
199614100557,199068747223
199614263343,199068904565
199614618817,199069247325
199614801801,199069423537
199614939237,199069557959
199615254443,199069861729
199615477755,199070076557
199615645367,199070240295
199615984963,199070567261
199616166149,199070742907
199616266421,199070839793
199616472349,199071037197
199616605177,199071165117
199616752925,199071308707
199617145137,199071686911
199617368245,199071903283
199617611521,199072141741
199617819719,199072344199
199618268863,199072798755
199618460597,199072963127
199618611885,199073111007
199618790501,199073285989
199618991005,199073480929
199619212717,199073694599
199619342051,199073823235
199619750511,199074222417
199620056339,199074507879
199620202543,199074650289
199620310355,199074756553
199620602097,199075038975
199620969623,199075393757
199621187877,199075607877
199621420539,199075834299
199621648263,199076055723
199621883775,199076282377
199622125937,199076516859
199622354937,199076739927
199622602997,199076980733
199622899695,199077268237
199623050053,199077415521
199623369089,199077723269
199623561145,199077909555
199623790585,199078130423
199624048683,199078379455
199624231987,199078558751
199624234775,199078562779
199624658957,199078970857
199624857789,199079163747
199625110761,199079409145
199625385769,199079674037
199625551521,199079834765
199625799315,199080074443
199625976353,199080245751
199626179867,199080442783
199626350311,199080608225
199626590183,199080839345
199626869099,199081108375
199627125563,199081357209
199627509667,199081731227
199627787113,199081999279
199628038663,199082243073
199628277615,199082475289
199628490533,199082680271
199628667573,199082851191
199628848375,199083026851
199628961917,199083144733
199629081759,199083253419
199629239339,199083405705
199629395703,199083557551
199629643995,199083796461
199629837583,199083985017
199630191177,199084325003
199630505701,199084627561
199630674783,199084791103
199630958277,199085061577
199631073401,199085188733
