Bytes_sent,Bytes_received
171691534614,171700317669
171691534614,171700317669
171691534614,171700317669
171691534614,171700317881
171691534614,171700317881
171691534614,171700318055
171712350367,171727376439
171718681812,171727412623
171718681812,171727412623
171718681812,171727412623
171718681812,171727412729
171718681812,171727412729
171718681812,171727412911
171718681812,171727412911
171718681812,171727412911
171718681812,171727412911
171745857522,171754508015
171745857522,171754508015
171745857522,171754508015
171745857522,171754508015
171745857522,171754508121
171745857522,171754508121
171745857522,171754508121
171745857522,171754508333
171745857522,171754508333
171745857522,171754508333
171773041612,171781601903
171773041612,171781601903
171773041612,171781601903
171773041612,171781601903
171773041612,171781601903
171783322532,171791914873
171800093698,171808658275
171800093698,171808658275
171800093698,171808658275
171800093698,171808658275
171827249466,171835751725
171827249466,171835752201
171827249466,171835752201
171827249466,171835752201
171827249466,171835752201
171846737388,171855237753
171854313894,171862814111
171854313894,171862814497
171854313894,171862814497
171854324290,171862824121
171881522826,171889912289
171881522826,171889912289
171881522826,171889912289
171881522826,171889912289
171881522826,171889912289
171905336682,171913726039
171908584878,171916972877
171908584878,171916972877
171908584878,171916972877
171919836342,171936849441
171944661204,171953356271
171962271040,171970585891
171962811984,171971127653
171962811984,171971127653
171963353262,171971668763
171989390230,171997736019
171989870868,171998187089
171989870868,171998187301
171989870868,171998187301
172013408432,172025259799
172030016820,172038271009
172044093942,172052342707
172044094026,172052342813
172044094026,172052342813
172044132616,172052432971
172069004796,172077267547
172071150864,172079401139
172071150864,172079401139
172071150864,172079401139
172098885896,172107038045
172116866872,172124900579
172125707218,172133566981
172125707374,172133567139
172125707374,172133567139
172133829825,172141708191
172158742954,172166671463
172179268024,172187146599
172179807982,172187688303
172179807982,172187688303
172208090288,172215869033
172228106360,172235889471
172234058894,172241840927
172234058978,172241843833
172234058978,172241843833
172243938784,172251783442
172274093028,172281880687
172288158926,172295951179
172288158926,172295951179
172288158926,172295951353
172317040006,172324764567
172335458714,172343109097
172342468760,172350115217
172342469084,172350123721
172342469084,172350123721
172354396424,172362033235
172384410316,172392023433
172396131004,172403702601
172396671820,172404245481
172396671820,172404246035
172431444924,172438917325
172453724646,172461110643
172474368958,172481856927
172478070582,172485481249
172478070582,172485482943
172496949582,172504422757
172522981232,172530400753
172532176734,172539597789
172532176734,172539597789
172532176734,172539597789
172566409442,172573734389
172597794652,172605117979
172612403940,172619731953
172613486694,172620820161
172613486694,172620820161
172634207737,172641598161
172659078844,172666505797
172667616046,172674943511
172667616046,172674943511
172667616046,172674943511
172705105630,172712327269
172731659102,172738846117
172747886544,172755296195
172748966060,172756175773
172748966232,172756177501
172769530498,172776748769
172800906810,172808130267
172822552428,172829771653
172829585412,172836805933
172837432074,172850808435
172873012870,172880168621
172900572826,172907731009
172910848594,172918016063
172911388750,172918563683
172911388750,172918563683
172943310890,172950497831
172973069544,172980256767
172987696488,172994867853
172992566674,172999737753
173005415464,173025672215
173035331440,173042527229
173064165843,173071201149
173073941738,173080946115
173073941738,173080961697
173075565440,173082591343
173108569002,173115601595
173137243750,173144282315
173153050598,173160088609
