Total_CPU_percent,Total_Memory_usage
0.6,2694746112
0.2,2694746112
0.3,2694746112
0.0,2694746112
0.3,2694737920
0.2,2694737920
0.0,2694737920
0.0,2694729728
0.0,2694729728
0.2,2694729728
0.0,2694729728
0.0,2694090752
0.0,2694082560
0.0,2694082560
0.0,2694082560
0.2,2694082560
0.3,2694836224
0.2,2694836224
0.0,2694733824
0.0,2694733824
0.0,2694733824
0.0,2694733824
0.0,2694733824
0.0,2694733824
0.0,2694733824
0.2,2695249920
0.5,2696273920
0.0,2696273920
0.0,2695966720
0.2,2695966720
0.0,2695966720
0.0,2695966720
0.0,2695966720
0.0,2695966720
0.2,2695966720
0.2,2696482816
0.5,2697543680
0.0,2697543680
0.0,2697510912
0.0,2697510912
0.0,2697510912
0.6,2698285056
0.3,2698801152
0.0,2698801152
0.0,2698801152
0.0,2699866112
0.3,2700382208
0.0,2700382208
0.2,2700595200
0.0,2700595200
0.2,2701111296
0.5,2702139392
0.0,2702389248
0.0,2702389248
0.0,2702389248
0.3,2704003072
0.3,2704031744
0.0,2704031744
0.0,2703544320
0.0,2703544320
0.2,2704060416
0.6,2705092608
0.0,2705072128
0.0,2705072128
0.0,2705072128
0.3,2706685952
0.5,2707783680
0.0,2708299776
0.2,2708156416
0.0,2708123648
0.2,2708639744
0.3,2709893120
0.0,2709889024
0.0,2709889024
0.0,2709889024
0.5,2710405120
0.2,2710405120
0.0,2710396928
0.0,2710396928
0.2,2710396928
0.2,2710396928
0.3,2710396928
0.0,2710396928
0.0,2710396928
0.0,2710396928
0.3,2709880832
0.5,2710560768
0.0,2710667264
0.0,2710667264
0.0,2710667264
0.5,2711728128
0.3,2713309184
0.2,2713825280
0.0,2713812992
0.2,2714329088
0.5,2715877376
0.3,2716942336
0.0,2716897280
0.2,2716897280
0.0,2716897280
0.6,2718511104
0.5,2720026624
0.3,2720026624
0.0,2720026624
0.2,2720026624
0.6,2720026624
0.0,2720026624
0.0,2720186368
0.0,2720186368
0.2,2720186368
0.5,2720186368
0.5,2720186368
0.3,2720186368
0.0,2720239616
0.0,2720239616
0.6,2720239616
0.3,2720239616
0.0,2720157696
0.0,2719899648
0.2,2720415744
0.3,2721996800
0.3,2723028992
0.0,2723274752
0.2,2723274752
0.3,2724823040
0.5,2726404096
0.3,2727645184
0.3,2728161280
0.0,2728161280
0.2,2728677376
0.3,2729967616
0.3,2730999808
0.2,2730954752
0.0,2730954752
0.5,2730954752
0.2,2730954752
0.2,2730938368
0.0,2730938368
0.2,2730934272
0.3,2730934272
0.5,2730934272
3.3,2731966464
2.2,2731966464
0.0,2731941888
0.3,2731941888
0.2,2731941888
0.2,2731511808
0.0,2731511808
0.0,2731499520
0.3,2731499520
0.5,2731499520
0.3,2733146112
0.2,2733113344
0.0,2733383680
0.5,2735546368
0.2,2737127424
0.2,2738016256
0.2,2738270208
0.0,2738270208
0.3,2739851264
0.3,2741432320
0.3,2742689792
0.0,2743128064
0.2,2742837248
0.3,2742837248
0.3,2742837248
0.3,2742792192
0.3,2742792192
0.0,2742792192
0.3,2742792192
0.2,2742792192
0.3,2742534144
0.2,2742534144
0.3,2742591488
0.5,2742591488
0.5,2742591488
0.3,2742218752
0.0,2742218752
0.0,2742235136
0.5,2742235136
0.3,2742202368
0.3,2742202368
0.2,2742255616
0.3,2744086528
0.5,2745667584
0.2,2746785792
0.9,2748334080
0.2,2748850176
0.3,2749648896
0.3,2751197184
0.2,2752454656
0.3,2754002944
0.5,2754519040
0.3,2754519040
0.2,2754519040
0.6,2754682880
0.2,2754682880
0.2,2754682880
0.2,2754674688
0.5,2754674688
0.0,2754674688
0.3,2754674688
0.2,2754641920
0.3,2754654208
0.5,2754621440
0.3,2754400256
0.3,2754367488
0.2,2754367488
0.3,2754367488
0.3,2754367488
0.8,2754334720
0.3,2754334720
0.0,2754334720
0.2,2754461696
0.6,2754461696
0.0,2754871296
0.9,2756452352
0.3,2757484544
0.5,2759032832
0.5,2761097216
0.6,2762645504
0.5,2764193792
0.2,2764193792
0.2,2764410880
0.6,2764410880
0.3,2764369920
0.3,2764369920
0.2,2764369920
0.6,2764369920
0.5,2764369920
0.6,2764369920
0.3,2764369920
0.3,2764492800
0.2,2764492800
0.6,2764300288
0.2,2764300288
0.5,2764267520
0.2,2764320768
0.0,2764320768
0.5,2764320768
0.6,2764320768
0.8,2764320768
0.2,2764320768
0.5,2764320768
0.5,2764328960
0.6,2764230656
0.3,2764230656
0.3,2764230656
0.3,2764267520
0.6,2764267520
0.5,2765041664
0.2,2766622720
0.3,2766614528
0.5,2766614528
0.3,2766782464
0.6,2766782464
0.3,2766782464
0.3,2766782464
0.3,2766782464
0.3,2766749696
0.5,2766749696
0.2,2766749696
0.3,2766749696
0.2,2766733312
0.2,2766741504
0.5,2766741504
0.6,2766741504
0.3,2766741504
0.2,2766741504
0.3,2766401536
0.5,2766401536
