Bytes_sent,Bytes_received
268407364410,379069839627
268407364410,379069839627
268407364410,379069839627
268407364410,379069839627
268407364410,379069839627
268407364410,379069839627
268410974716,379075117399
268410974716,379075117399
268410974716,379075117399
268410974716,379075117573
268410974716,379075117573
268410974716,379075117573
268410974716,379075117573
268410974716,379075117785
268410974716,379075117785
268410987784,379075130501
268414672088,379082154083
268414672088,379082154083
268414672088,379082154257
268414672088,379082154257
268414672088,379082154257
268414672088,379082154257
268414672088,379082154257
268414672088,379082154257
268414672088,379082154439
268415681150,379083961097
268418354766,379088802173
268418354766,379088802173
268418354766,379088802173
268418354766,379088802173
268418354766,379088802173
268420935912,379093599825
268422022826,379095325177
268422022826,379095325389
268422022826,379095325389
268423637082,379098329679
268425712650,379102120351
268425712650,379102120351
268425712650,379102120351
268425712650,379102120351
268426187226,379102885577
268429296412,379108389917
268429369316,379108503391
268429369316,379108503391
268429369316,379108503391
268432095930,379113351695
268433058864,379115135405
268433058864,379115135405
268433058864,379115135405
268433058864,379115135405
268433814300,379116386729
268436738096,379121823053
268436738096,379121823053
268436738096,379121823265
268436738096,379121823265
268440417368,379128348843
268442242682,379131687537
268444084628,379135115823
268444084628,379135115823
268444144820,379135117671
268445170238,379136788907
268447833232,379141794461
268447833232,379141794461
268447833232,379141794461
268447833232,379141794461
268452156932,379149334013
268454273400,379152878099
268455156670,379154541049
268455156670,379154541049
268455156670,379154541851
268456597818,379156708927
268458794802,379160691429
268458794802,379160691641
268458794802,379160691641
268458794802,379160691641
268463205302,379168757229
268465681938,379172919675
268466138760,379174106179
268466138760,379174106179
268466138760,379174106179
268468327114,379177712887
268471479666,379183375449
268473365988,379186622403
268473437680,379186721381
268473437680,379186721381
268478070072,379194884911
268480640424,379198867759
268480751740,379199069015
268480751740,379199069015
268480751740,379199069015
268483797646,379204393845
268487129104,379210300897
268488072674,379211796557
268488072674,379211796557
268488534592,379212570261
268492919466,379221184733
268495385110,379225673619
268495459976,379225804139
268495459976,379225804139
268495459976,379225804139
268498740632,379231493245
268502111772,379237414799
268502763894,379238432445
268502763894,379238432445
268503193722,379239159023
268508257598,379248135407
268511443586,379253626537
268513392502,379257333909
268513757846,379257966755
268514047026,379258441561
268518126682,379265530155
268520607216,379269952061
268521049062,379270760965
268521049062,379270760965
268523128076,379274537507
268527261446,379281351905
268530848828,379288557607
268532039978,379290331739
268532039978,379290331739
268532547453,379291130283
268536289288,379297878069
268538922834,379302426851
268539357702,379303117043
268539357702,379303117225
268542596300,379308574647
268545848900,379313811871
268549224866,379319893441
268550265550,379321817309
268550332058,379322010905
268550698542,379322568273
268555594298,379331148285
268558361350,379335743609
268560623610,379339725143
268561286360,379341031383
268565271148,379348454011
268568523452,379354342943
268571511720,379358866529
268572227668,379359834345
268572227668,379359834345
268573673952,379362034677
268578082658,379369546519
268581034100,379374418227
268583065408,379377653625
268583137486,379377773317
268587171676,379384858925
268590666656,379390630841
268593475522,379394866393
268593981704,379395631679
268594052076,379395702121
268596375986,379399730061
268599904161,379406008951
268603326280,379411756827
268604842660,379414081447
268604984820,379414250451
268609168742,379421456873
268612792428,379427485647
268616281028,379433269497
268618761092,379437558009
268619495232,379438866699
268622568930,379444340735
268626285560,379450781859
268629638416,379456530553
268630450630,379458107501
268630521430,379458206215
268635395352,379467341929
268639372467,379474963183
268642822660,379480914041
268645123462,379484441511
268645194980,379484538683
268648114676,379490120571
268652384002,379497515341
268654961008,379501888725
268656165644,379503823157
268656515450,379504825307
268661412780,379513807843
268665155826,379520702543
268668641626,379526464551
268670528996,379529861727
268670849764,379530371265
268674555654,379536429785
268677942252,379542028915
268681992940,379549206579
