Bytes_sent,Bytes_received
152823311122,1928347826
152823311122,1928347826
152823311122,1928347826
152823311122,1928347932
152823311122,1928347932
152823311122,1928348038
152823311122,1928348250
152823311122,1928348250
152823311122,1928348356
152823311122,1928348356
152823311122,1928348356
152823311122,1928348356
152823311122,1928348356
152823311122,1928348462
152823311122,1928348462
152823311122,1928348568
152823311122,1928348780
152824577774,1928404366
152826742016,1928440456
152826742016,1928440456
152826742016,1928440456
152826742196,1928440622
152826742196,1928441042
152826742196,1928441216
152826742196,1928441216
152826742196,1928441322
152826742196,1928441586
152830173090,1928534414
152830173222,1928534520
152830173222,1928534520
152830173222,1928534520
152830173222,1928534520
152830173222,1928534520
152830173502,1928535190
152830233130,1928536370
152830233130,1928536370
152830233130,1928536740
152833664288,1928628152
152833664420,1928628152
152833664420,1928628152
152833664420,1928628152
152833664420,1928628152
152834693840,1928656850
152837095314,1928722750
152837095446,1928722750
152837095446,1928722750
152837095446,1928722962
152840526538,1928815436
152840526538,1928815436
152840526538,1928815436
152840526538,1928815436
152840526538,1928815436
152843065488,1928885646
152843957498,1928910140
152843957498,1928910140
152843957498,1928910140
152843957498,1928910510
152847388656,1929003276
152847388656,1929003276
152847388656,1929003276
152847388656,1929003450
152847388656,1929003450
152850476520,1929088116
152850819946,1929097682
152850819946,1929097788
152850819946,1929097946
152850819946,1929098052
152855211192,1929216300
152857681404,1929283814
152857681536,1929283814
152857681536,1929283988
152857750358,1929285960
152861044592,1929378448
152861112646,1929379730
152861112646,1929379730
152861112646,1929379730
152862284376,1929423970
152866464970,1929525228
152867974500,1929567106
152867974632,1929567106
152867974632,1929567106
152868043370,1929568972
152871268866,1929658780
152871405592,1929661940
152871405592,1929662046
152871405592,1929662046
152874928156,1929756942
152877169552,1929818884
152878267644,1929849094
152878267644,1929849094
152878267644,1929849094
152878886260,1929867790
152882522140,1929966792
152885061024,1930037722
152885129894,1930039470
152885129894,1930039682
152888697868,1930133568
152891364850,1930207168
152891991418,1930226622
152891991418,1930226622
152891991418,1930226622
152893226722,1930260328
152896836548,1930360170
152898785012,1930414086
152898853602,1930415818
152898853602,1930416082
152902490116,1930511912
152904891722,1930578638
152905715258,1930601502
152905715258,1930601502
152905715258,1930601502
152907499608,1930651068
152911410942,1930759554
152912577376,1930792692
152912577508,1930792882
152912577508,1930793094
152916420038,1930894876
152920262568,1931001142
152922458554,1931062034
152922870322,1931073230
152922870322,1931073230
152925340270,1931141048
152928634018,1931232622
152929731846,1931263292
152929731978,1931263398
152929731978,1931263610
152934260832,1931385928
152937836862,1931484944
152939681696,1931534640
152940024858,1931543970
152940024858,1931543970
152943044380,1931627006
152945720476,1931701668
152946886844,1931734322
152946886976,1931734322
152946886976,1931734534
152951758794,1931867048
152955395506,1931966300
152957042182,1932011556
152957179526,1932015760
152957179526,1932015760
152959786884,1932087612
152964041116,1932203540
152966877488,1932282726
152967472142,1932299188
152967565200,1932305000
152972756190,1932441234
152976186820,1932537366
152977764956,1932581346
152977765088,1932581346
152977841816,1932584370
152982020614,1932700774
152985587822,1932798790
152987637416,1932855950
152988057968,1932867736
152990395984,1932943062
152994164958,1933034472
152996772382,1933106796
152998281912,1933148556
152998350650,1933150714
152998694496,1933160666
153003085520,1933282182
153006447808,1933374088
153008574924,1933432878
153008643794,1933435170
153012097884,1933527598
153014697664,1933599568
153018868200,1933713314
153021681920,1933791730
153022299374,1933809110
153023259570,1933834654
153027651146,1933955966
153031150514,1934050896
153032522832,1934089160
153032660176,1934093050
153036228282,1934188234
153040345566,1934299368
153043433364,1934383692
153045423400,1934439340
153046246804,1934461732
153047550582,1934497764
153051933484,1934617762
153054815398,1934695650
153056530746,1934740884
153056736630,1934746286
153060853848,1934854092
153064696774,1934958824
153067715966,1935040456
153070254784,1935108672
153070392128,1935112404
153072519904,1935170828
153075813784,1935263924
153080136490,1935383134
153083086812,1935465260
153084047362,1935492186
153088576084,1935615700
153092144454,1935713912
153095644638,1935810712
153097675380,1935866828
153097908546,1935872898
153100447496,1935943946
153104496372,1936055574
153108545948,1936167272
153110672586,1936224782
153111426766,1936245444
153116382552,1936378098
153120278878,1936485758
153123022764,1936560538
153124875390,1936611628
153125355632,1936624690
153128787804,1936721276
153132698718,1936828128
153135923926,1936916302
153138668826,1936990942
153139011922,1937000602
153140865030,1937053012
153144022246,1937141426
153148207238,1937255760
153151363642,1937343012
153152667354,1937379312
153157058930,1937501450
153160833316,1937604906
153163783770,1937685970
153166253982,1937754562
153166528670,1937762644
153168930342,1937829214
153172773070,1937933828
153176683810,1938041016
153179016942,1938105994
153180046164,1938135152
153184026566,1938245268
153188625188,1938374384
153191300452,1938448138
153193495976,1938509738
153193976482,1938523366
153196927200,1938604902
153200771502,1938712880
153204201020,1938805176
153206945722,1938881232
153207494834,1938896738
153209347460,1938948300
153212847356,1939044162
153216552608,1939145870
153219503194,1939227878
153221150068,1939274042
153225061468,1939383000
153228621408,1939481312
153232041300,1939576618
153234736762,1939651416
153235079858,1939661206
153236658200,1939705320
153240981030,1939822968
153244480810,1939919060
153247088416,1939991048
153248735158,1940037504
153252098130,1940131202
153256969990,1940263352
153259783232,1940341684
153261910282,1940400356
153262665146,1940421708
153265066818,1940489732
153269046560,1940600072
153272820550,1940704354
153275359368,1940775520
153276182772,1940799226
153277555024,1940836428
153281055488,1940935150
153284760040,1941034774
153287710626,1941115366
153289700530,1941171014
153292917452,1941260804
153296630792,1941362076
153300679074,1941472052
153302874730,1941533810
153303698068,1941556668
153304933314,1941591334
153309530436,1941717520
153312756130,1941807088
153315774506,1941889096
153317146824,1941927124
153320577784,1942021534
153325175112,1942147736
153328399990,1942235426
153330321552,1942289326
153331282448,1942317178
153333546298,1942379246
153337472862,1942488064
153341026134,1942584646
153343564688,1942655800
153344731188,1942687994
153346309258,1942731738
153348986198,1942807762
153352964964,1942913802
153356189974,1943003014
153358248748,1943060922
153361062056,1943139316
153365133600,1943252928
153368679038,1943350572
153371217988,1943421254
153372493732,1943457350
153373619594,1943488440
153378011698,1943610106
153380893620,1943690906
153383707538,1943768648
153385696626,1943822182
153388990176,1943914516
153393108004,1944028766
153396265158,1944118120
153398665668,1944181924
153399832036,1944214826
153401685346,1944268364
153405458454,1944371956
153408752136,1944463530
153411977080,1944553084
153413417938,1944593830
153414859126,1944634564
153417535374,1944708972
153420938082,1944802878
153424671434,1944905478
153426386716,1944952954
153429611660,1945042430
153433317794,1945145402
153437228246,1945253214
153439012134,1945301938
153440796286,1945351976
153441962786,1945383816
153446012642,1945496216
153449167736,1945581398
153451844178,1945655314
153454168220,1945719842
153456775944,1945792732
153461029978,1945909604
153464667020,1946009800
153467137298,1946077660
153468373022,1946113272
153470156688,1946162636
153473793862,1946263422
153477636392,1946367918
153480450318,1946446762
153481962918,1946496652
153483472382,1946538412
153485553626,1946596258
153489237108,1946698774
153492956758,1946800646
153495068446,1946858868
153497744344,1946933294
153501793088,1947045410
153505430616,1947147090
153507488772,1947203210
153509273492,1947253814
153510644846,1947291288
153514281904,1947392528
153517575306,1947482326
153520045254,1947550754
153522790508,1947627602
153525328576,1947698370
153529171790,1947804972
153533287928,1947916938
153535553072,1947980504
153537042536,1948022388
153538777596,1948070572
153542002606,1948160280
153545708122,1948262920
153548727932,1948346684
153550443256,1948394246
153551953668,1948436870
153554148772,1948496718
153557648684,1948593624
153561060048,1948687282
153563550722,1948756798
153566157462,1948828436
153569794702,1948927634
153573569574,1949030918
153575901890,1949094616
153577548698,1949140030
153579058228,1949181908
153582763612,1949283734
153585714198,1949366214
153588390228,1949440286
153591203470,1949517488
153593604878,1949584922
153597584818,1949693268
153600947658,1949787150
153603555478,1949859380
153605475894,1949911886
153606985556,1949954472
153610553992,1950052920
153613916082,1950146596
153617073038,1950234656
153618856572,1950282718
153620457658,1950328250
153622562622,1950387080
153625993240,1950484552
153629080906,1950570690
153631962334,1950650378
153634432480,1950719560
153637794900,1950812646
153642117738,1950931620
153644450738,1950997070
153646303364,1951049104
153647607010,1951085974
153650969100,1951179296
153653851410,1951258566
153656939076,1951343692
153659683844,1951420810
153662016844,1951484844
