Total_CPU_percent,Total_Memory_usage
0.5,2662207488
0.0,2662207488
0.3,2662207488
0.0,2662207488
0.5,2662207488
0.0,2662207488
0.2,2663464960
0.2,2663464960
0.0,2663464960
0.2,2663464960
0.0,2663464960
0.0,2663464960
0.0,2663464960
0.2,2663464960
0.0,2663464960
0.0,2663464960
0.2,2664402944
0.0,2664263680
0.0,2664263680
0.0,2664079360
0.0,2663657472
0.0,2663657472
0.2,2663399424
0.3,2661588992
0.0,2661433344
0.2,2664022016
0.0,2662817792
0.0,2662813696
0.0,2662813696
0.2,2662813696
0.0,2662813696
0.0,2662748160
0.0,2662641664
0.0,2662338560
0.0,2662338560
0.0,2663911424
0.2,2662813696
0.0,2662813696
0.0,2662813696
0.0,2662813696
0.0,2662649856
0.3,2664259584
0.0,2664128512
0.0,2662076416
0.0,2662010880
0.2,2663116800
0.0,2663018496
0.0,2662780928
0.0,2662780928
0.0,2662486016
0.3,2661634048
0.0,2661859328
0.0,2661597184
0.0,2661597184
0.2,2661433344
0.0,2662473728
0.0,2662703104
0.2,2662703104
0.0,2662703104
0.0,2662473728
0.2,2663567360
0.0,2663137280
0.0,2663137280
0.2,2661367808
0.0,2661171200
0.3,2662555648
0.3,2664947712
0.2,2664943616
0.2,2664878080
0.0,2664648704
0.0,2666287104
0.0,2666180608
0.2,2665951232
0.0,2665885696
0.0,2665492480
0.3,2666180608
0.2,2666143744
0.2,2665971712
0.0,2665611264
0.0,2664988672
0.2,2664595456
0.0,2665242624
0.0,2665242624
0.0,2662817792
0.0,2663636992
0.6,2665537536
0.2,2666520576
0.0,2666737664
0.0,2666115072
0.0,2663985152
0.0,2661695488
0.0,2662809600
0.2,2662825984
0.0,2662690816
0.3,2664394752
0.0,2664984576
0.2,2665500672
0.0,2665431040
0.0,2665136128
0.0,2664087552
0.3,2666639360
0.3,2666409984
0.0,2666729472
0.0,2666627072
0.3,2664529920
0.2,2665938944
0.2,2666528768
0.0,2666094592
0.0,2665897984
0.0,2666160128
0.5,2666782720
0.2,2668290048
0.2,2668113920
0.2,2667982848
0.0,2669228032
0.3,2667655168
0.3,2667524096
0.0,2667884544
0.2,2667671552
0.2,2668195840
0.2,2669703168
0.2,2668642304
0.0,2668675072
0.0,2668675072
0.3,2665463808
0.2,2667724800
0.0,2668675072
0.2,2668392448
0.0,2664820736
0.2,2662297600
0.0,2661740544
0.2,2662723584
0.0,2662940672
0.0,2662744064
0.3,2665205760
0.2,2666844160
0.3,2666352640
0.0,2666500096
0.0,2666266624
0.0,2665451520
0.3,2667253760
0.3,2667319296
0.2,2667384832
0.0,2667397120
0.0,2664382464
0.3,2666151936
7.5,2663153664
0.5,2658770944
0.5,2658770944
0.6,2660573184
0.2,2663391232
0.3,2664669184
0.5,2664603648
0.5,2664701952
0.5,2666532864
0.0,2667450368
0.0,2668945408
0.2,2668355584
0.2,2667823104
0.3,2667233280
0.5,2668281856
0.0,2669101056
0.0,2669051904
0.3,2667708416
0.2,2665545728
0.0,2667708416
0.2,2669543424
0.2,2668888064
0.0,2664136704
0.0,2663743488
0.2,2664595456
0.0,2665742336
0.3,2665512960
0.3,2665926656
0.2,2667171840
0.2,2669559808
0.2,2670673920
0.2,2670448640
0.2,2670514176
0.2,2671726592
0.0,2669006848
0.0,2668974080
0.2,2668089344
0.3,2666762240
0.2,2665517056
0.0,2667352064
0.0,2667548672
0.2,2667786240
0.3,2668310528
0.2,2669981696
0.2,2669817856
0.2,2671194112
0.2,2672177152
0.3,2671198208
0.3,2671755264
0.3,2670477312
0.5,2669854720
0.0,2668773376
0.0,2669469696
0.2,2669699072
0.0,2667765760
0.5,2668355584
0.0,2668855296
0.3,2667118592
0.2,2666299392
0.2,2667282432
0.2,2667413504
0.2,2663153664
0.2,2662268928
0.0,2662629376
0.3,2665152512
0.2,2666561536
0.0,2666147840
0.0,2666803200
0.6,2667294720
0.2,2668998656
0.3,2670014464
0.0,2668179456
0.0,2668507136
0.9,2668097536
0.2,2666795008
0.3,2667614208
0.0,2666590208
0.2,2666229760
0.2,2665541632
0.0,2668392448
0.0,2669309952
0.2,2668032000
0.2,2670194688
0.3,2671833088
0.0,2672390144
0.5,2672652288
0.0,2670432256
0.2,2668924928
0.2,2670006272
0.6,2669555712
0.5,2668326912
0.0,2667388928
0.2,2666905600
0.2,2667528192
0.0,2667692032
0.3,2668052480
0.0,2668285952
0.2,2667827200
0.2,2668711936
0.2,2669596672
0.3,2666352640
0.0,2662879232
0.0,2661179392
0.5,2663866368
0.5,2666651648
0.2,2667569152
0.0,2667438080
0.5,2668027904
0.2,2671140864
0.2,2671239168
0.3,2670354432
0.0,2670190592
0.2,2669465600
0.2,2670579712
0.0,2671497216
0.2,2671788032
0.0,2670755840
0.3,2671243264
0.2,2671243264
0.2,2668523520
0.2,2667802624
0.0,2667442176
0.3,2668457984
0.2,2670161920
0.5,2672422912
0.3,2671767552
0.2,2669928448
0.2,2670321664
0.2,2669633536
0.6,2670977024
0.2,2670092288
0.2,2670497792
0.3,2670137344
0.3,2670563328
0.3,2672627712
0.2,2670395392
0.3,2670903296
0.0,2671419392
0.3,2669977600
0.2,2666602496
0.5,2663456768
0.2,2662277120
0.0,2661728256
0.2,2663596032
0.0,2666020864
0.0,2667356160
0.2,2668503040
2.0,2664669184
4.3,2661183488
0.3,2662854656
0.3,2663936000
0.3,2664624128
0.3,2664689664
0.6,2665672704
0.3,2666917888
0.3,2666536960
0.0,2666668032
0.2,2667651072
0.0,2669944832
0.2,2668584960
0.2,2669993984
0.0,2670682112
0.2,2669928448
0.5,2671206400
0.3,2671534080
0.3,2671185920
0.0,2671218688
0.2,2671120384
0.2,2670858240
0.2,2669805568
0.2,2669182976
0.0,2669346816
0.3,2668920832
0.3,2668789760
0.2,2669543424
0.3,2669457408
0.2,2670211072
0.3,2669654016
0.2,2670080000
0.3,2664771584
0.3,2663395328
0.2,2662969344
0.2,2664181760
0.0,2667393024
0.5,2669326336
0.2,2669375488
0.0,2670817280
0.0,2670981120
0.3,2671570944
