Total_CPU_percent,Total_Memory_usage
0.4,2691878912
0.0,2691878912
0.2,2691878912
0.0,2690637824
0.0,2690629632
0.2,2690629632
0.0,2690629632
0.0,2690621440
0.0,2690621440
0.0,2690621440
0.0,2690621440
0.3,2693189632
0.0,2693025792
0.0,2691354624
0.0,2691354624
0.2,2691354624
0.2,2691354624
0.0,2689409024
0.0,2689409024
0.0,2689400832
0.2,2691239936
0.0,2691465216
0.0,2690842624
0.0,2690256896
0.2,2689273856
0.0,2689011712
0.0,2688454656
0.0,2688389120
0.0,2688348160
0.0,2688348160
0.5,2690093056
0.2,2689929216
0.0,2688483328
0.0,2688417792
0.0,2688417792
0.0,2688417792
0.6,2690285568
0.0,2689466368
0.0,2689458176
0.0,2689458176
0.3,2691645440
0.0,2691645440
0.0,2689626112
0.0,2689626112
0.2,2689626112
0.2,2689794048
0.2,2690314240
0.0,2690183168
0.0,2690117632
0.2,2689986560
0.2,2691436544
0.0,2691297280
0.2,2690871296
0.0,2690772992
0.0,2690707456
0.3,2690768896
0.2,2690736128
0.0,2688835584
0.0,2688704512
0.0,2688704512
0.5,2690670592
0.2,2691063808
0.0,2689859584
0.0,2689003520
0.0,2688446464
0.3,2688217088
0.2,2688016384
0.0,2687819776
0.0,2687819776
4.7,2687561728
1.5,2688352256
0.3,2688839680
0.3,2688577536
0.3,2688577536
0.3,2688479232
0.2,2689003520
0.3,2689654784
0.6,2688798720
0.3,2688667648
0.3,2688569344
0.8,2691305472
0.0,2691993600
0.3,2689916928
0.2,2689818624
0.2,2689359872
0.5,2690277376
0.3,2691162112
0.2,2692009984
0.0,2691870720
0.2,2692530176
0.3,2693402624
0.5,2692780032
0.0,2692608000
0.0,2692214784
0.2,2691428352
0.2,2690744320
0.3,2689470464
0.2,2688290816
0.0,2687451136
0.2,2689122304
0.3,2688995328
0.3,2688024576
0.0,2687561728
0.0,2686808064
0.2,2686152704
0.2,2687135744
0.3,2687234048
0.0,2687258624
0.0,2687188992
0.3,2689155072
0.5,2690011136
0.3,2689941504
0.2,2690662400
0.0,2690486272
0.0,2690650112
0.5,2690977792
0.3,2690441216
0.0,2690310144
0.0,2688409600
0.0,2690662400
0.3,2690924544
0.3,2690744320
0.0,2691125248
0.0,2690363392
0.3,2691182592
0.5,2690891776
0.3,2692005888
0.2,2692489216
0.2,2691993600
0.0,2693107712
0.5,2693500928
0.3,2692280320
0.0,2691166208
0.0,2690592768
0.5,2690002944
0.3,2690199552
0.5,2690433024
0.0,2690404352
0.2,2688679936
0.3,2690367488
0.3,2689769472
0.2,2689167360
0.3,2687979520
0.0,2686570496
0.3,2685976576
0.2,2686861312
0.5,2688090112
0.3,2688503808
0.0,2688303104
0.3,2690105344
0.3,2689019904
0.5,2689331200
0.0,2689449984
0.0,2689122304
0.3,2689843200
0.3,2689028096
0.3,2689355776
0.0,2689441792
0.2,2687340544
0.5,2689011712
0.0,2689658880
0.5,2690150400
0.2,2690183168
0.0,2690596864
0.5,2691432448
0.2,2691792896
0.3,2692333568
0.0,2692038656
0.3,2691772416
0.2,2691084288
0.6,2691002368
0.3,2691399680
0.2,2690797568
0.2,2690764800
0.5,2690715648
0.2,2690584576
0.2,2689404928
0.0,2689949696
0.5,2688233472
0.5,2688167936
0.3,2688135168
0.2,2688479232
0.2,2686988288
0.0,2685874176
0.6,2686074880
0.2,2687647744
0.3,2688794624
0.2,2687778816
0.3,2690469888
0.3,2691207168
0.6,2690199552
0.3,2691444736
0.0,2690551808
0.2,2691100672
0.3,2690674688
0.9,2691592192
0.2,2691280896
0.5,2691358720
0.2,2688958464
0.3,2690269184
0.3,2690191360
0.0,2690633728
0.3,2690355200
0.0,2690322432
0.5,2691928064
0.6,2692501504
0.2,2693615616
0.3,2692313088
0.0,2692243456
0.3,2689626112
0.3,2689593344
0.2,2689576960
0.3,2689970176
0.2,2691444736
0.6,2690494464
0.3,2691051520
0.2,2688921600
7.0,2683179008
0.8,2683441152
0.9,2685087744
0.5,2685874176
0.5,2686857216
0.3,2687094784
0.3,2686504960
0.3,2688045056
0.8,2689142784
0.3,2689372160
0.3,2689024000
0.2,2689810432
0.3,2688987136
0.3,2688630784
0.5,2688761856
0.3,2689130496
0.2,2689032192
0.2,2688995328
0.5,2690768896
0.5,2691063808
0.2,2690703360
0.3,2691948544
0.6,2688229376
0.5,2689933312
0.3,2691080192
0.0,2691182592
0.0,2691432448
0.3,2691641344
0.8,2692657152
0.0,2693197824
0.2,2693767168
0.5,2692861952
0.6,2691678208
0.2,2692399104
0.3,2691399680
0.0,2690686976
0.2,2688589824
0.6,2689474560
0.3,2690179072
0.3,2690572288
0.3,2690158592
0.0,2688516096
0.6,2686615552
0.3,2687336448
0.5,2687483904
0.5,2687426560
0.2,2687098880
0.6,2688344064
0.3,2689851392
0.2,2690818048
0.2,2690953216
0.2,2690105344
0.8,2689617920
0.5,2691518464
0.3,2691010560
0.2,2690125824
0.3,2690453504
0.5,2690420736
0.5,2689830912
0.3,2689601536
0.2,2689789952
0.0,2688802816
0.2,2687918080
0.3,2689097728
0.5,2691014656
0.3,2691284992
0.0,2690859008
0.3,2691219456
0.3,2691448832
0.6,2691514368
0.3,2692399104
0.0,2692296704
0.5,2691215360
0.3,2691805184
0.5,2693083136
0.2,2691641344
0.2,2690433024
0.5,2689990656
0.2,2689695744
0.3,2688942080
0.5,2688675840
0.2,2687569920
0.5,2688192512
0.3,2688847872
0.5,2687799296
0.2,2686509056
0.0,2686480384
0.5,2687856640
0.6,2689429504
0.6,2690871296
0.2,2691493888
0.0,2689302528
0.5,2689564672
0.5,2690547712
0.5,2691039232
0.2,2691350528
0.2,2690760704
0.9,2691547136
0.3,2690662400
0.2,2691088384
0.2,2690498560
0.0,2690596864
0.2,2689777664
0.3,2691121152
0.0,2692366336
0.3,2692235264
0.0,2692202496
0.5,2691121152
0.3,2691710976
0.3,2692268032
0.0,2691104768
0.2,2691006464
0.3,2692464640
0.5,2691743744
0.6,2690727936
0.5,2691186688
0.0,2691485696
0.2,2690895872
0.5,2691551232
0.3,2690600960
0.3,2688716800
0.3,2687700992
0.5,2686881792
0.3,2688569344
0.2,2687258624
0.5,2686636032
0.0,2686963712
0.5,2688241664
0.3,2688700416
0.6,2689912832
0.3,2688516096
0.0,2689187840
0.3,2689613824
0.3,2689581056
0.5,2688958464
0.3,2688806912
0.2,2689462272
0.2,2690347008
0.3,2690543616
0.3,2690314240
0.3,2690121728
0.0,2690465792
0.3,2689253376
0.3,2689613824
0.6,2691481600
0.2,2691973120
0.3,2692661248
4.4,2686746624
2.0,2682556416
0.6,2684620800
0.5,2684338176
0.5,2684633088
0.5,2685755392
0.6,2686935040
0.3,2688016384
0.2,2688704512
0.6,2689490944
0.2,2690195456
0.3,2689638400
0.5,2689441792
0.0,2686398464
0.3,2686255104
0.5,2685894656
0.5,2685681664
0.2,2685779968
0.6,2686074880
0.2,2686828544
0.2,2686631936
0.5,2688040960
0.3,2688434176
0.0,2688860160
0.3,2690301952
0.2,2690711552
0.3,2691268608
0.3,2692644864
0.2,2692284416
0.5,2693038080
0.3,2692927488
0.3,2692452352
0.6,2689974272
0.2,2688761856
0.3,2688040960
0.6,2688663552
0.5,2687549440
0.2,2688385024
0.3,2689355776
0.3,2689458176
0.6,2690506752
0.3,2691719168
0.5,2691842048
0.3,2691219456
0.3,2692104192
0.0,2691317760
0.3,2691579904
0.5,2690662400
0.5,2691661824
0.3,2690842624
0.2,2691006464
0.2,2689138688
0.3,2687512576
0.2,2687016960
0.2,2686971904
0.2,2686054400
0.2,2685136896
0.2,2686611456
0.0,2688348160
0.5,2688708608
0.5,2690445312
0.5,2691624960
0.3,2690277376
0.0,2689622016
0.2,2689884160
0.6,2689916928
0.0,2690342912
0.5,2691096576
0.3,2691653632
0.3,2692112384
0.2,2691031040
0.0,2691522560
0.5,2690555904
0.2,2689507328
0.2,2690392064
0.5,2690441216
0.3,2688475136
0.5,2689425408
0.2,2690539520
0.2,2690375680
0.0,2689818624
0.2,2690310144
0.3,2689945600
0.2,2690502656
0.2,2690863104
0.8,2691059712
0.3,2689617920
0.3,2689077248
0.2,2688749568
0.2,2688978944
0.2,2687430656
0.2,2685853696
0.5,2685820928
0.5,2684936192
0.2,2685329408
0.3,2685100032
0.2,2685231104
0.3,2686345216
0.6,2688016384
0.3,2689687552
0.2,2690342912
0.2,2687930368
0.6,2689634304
0.0,2690011136
0.3,2690699264
0.3,2691420160
0.3,2691452928
0.5,2691190784
0.3,2692005888
0.2,2690334720
0.6,2689646592
0.5,2690367488
0.3,2691219456
0.2,2691219456
0.3,2691350528
0.3,2691448832
0.2,2687680512
0.6,2689220608
0.3,2689646592
0.3,2689826816
0.2,2689662976
0.2,2689425408
0.3,2689687552
0.3,2690113536
0.3,2690539520
0.3,2690670592
0.3,2691489792
0.3,2690670592
0.5,2690801664
0.2,2690322432
0.2,2688946176
0.3,2687029248
0.6,2685390848
0.0,2685489152
0.2,2685816832
0.5,2685652992
0.3,2686177280
0.5,2687127552
0.3,2688045056
0.2,2688479232
0.5,2686816256
0.3,2687275008
0.2,2688749568
0.3,2689110016
0.2,2689699840
0.2,2689339392
0.3,2688159744
0.5,2689191936
5.7,2682851328
0.6,2682638336
0.5,2683629568
0.6,2684022784
0.5,2684776448
0.6,2685628416
0.2,2686906368
0.5,2687184896
0.5,2688069632
0.2,2687741952
0.3,2688495616
0.3,2690297856
0.2,2689470464
0.6,2690748416
0.2,2691825664
0.5,2691203072
0.3,2690973696
0.0,2691301376
0.3,2689925120
0.3,2690744320
0.3,2690334720
0.3,2687221760
0.5,2685927424
0.2,2685108224
0.5,2684747776
0.2,2685911040
0.6,2685878272
0.3,2686500864
0.3,2688729088
0.2,2690072576
0.5,2689220608
0.3,2689024000
0.2,2688233472
0.5,2689544192
0.2,2689773568
0.5,2690134016
0.3,2689347584
0.3,2690035712
0.2,2691051520
0.5,2691756032
0.5,2691788800
0.2,2690035712
0.0,2689708032
0.2,2689642496
0.6,2688266240
0.2,2688626688
0.5,2688544768
0.2,2688516096
0.2,2689138688
0.3,2689171456
0.3,2689794048
0.5,2690711552
0.3,2690936832
0.3,2692640768
0.2,2690936832
0.2,2691100672
0.0,2690150400
0.2,2690117632
0.6,2690215936
0.5,2690281472
0.3,2688577536
0.5,2688458752
0.3,2686836736
0.2,2686799872
0.2,2686144512
0.3,2685587456
0.0,2685882368
0.3,2686214144
0.2,2687197184
0.5,2688442368
0.0,2690506752
0.2,2689122304
0.2,2689896448
0.2,2689519616
0.0,2689126400
0.5,2690633728
0.3,2690732032
0.3,2691551232
0.2,2692435968
0.3,2691944448
0.5,2691665920
0.3,2690379776
0.2,2689888256
0.2,2690445312
0.3,2691067904
0.3,2689953792
0.6,2690707456
0.2,2690609152
0.6,2691330048
0.2,2689986560
0.0,2689560576
0.3,2689052672
0.3,2688761856
0.2,2689613824
0.3,2689925120
0.2,2689859584
0.0,2690187264
0.3,2689335296
0.2,2688970752
0.5,2688741376
0.5,2688020480
0.2,2687418368
0.2,2687778816
0.3,2687451136
0.5,2686500864
0.6,2686517248
0.3,2687107072
0.2,2687729664
0.3,2688811008
0.0,2688876544
0.5,2688692224
0.3,2689183744
0.5,2690002944
0.3,2690560000
0.3,2690396160
0.6,2690265088
0.2,2690920448
0.3,2690707456
0.5,2689986560
0.5,2689986560
0.2,2689429504
0.5,2688888832
0.5,2688299008
0.2,2688208896
0.3,2688598016
0.3,2688925696
0.0,2689515520
0.5,2690039808
0.2,2691022848
0.3,2691334144
0.2,2689163264
0.3,2689818624
0.3,2689753088
0.3,2689753088
0.5,2690113536
0.2,2690572288
0.2,2690277376
0.5,2690637824
0.3,2690785280
0.5,2689277952
0.0,2688049152
0.3,2686935040
0.3,2686771200
0.5,2684248064
0.2,2685149184
0.3,2685378560
0.3,2687213568
0.2,2687148032
4.1,2682851328
0.3,2683604992
0.5,2683723776
0.6,2685247488
0.5,2685968384
0.6,2686853120
0.3,2688000000
0.5,2689212416
0.5,2688655360
0.0,2689507328
0.0,2689933312
0.3,2690195456
0.2,2687320064
0.3,2688090112
0.3,2688843776
0.2,2688942080
0.2,2689204224
0.0,2688909312
0.2,2689433600
0.2,2689302528
0.0,2690146304
0.2,2690306048
0.0,2689597440
0.5,2689695744
0.2,2688266240
0.3,2688847872
0.3,2688552960
0.3,2689241088
0.6,2690158592
0.3,2690846720
0.2,2690060288
0.5,2688077824
0.5,2687586304
0.3,2686578688
0.3,2686054400
0.0,2685366272
0.3,2685562880
0.3,2687102976
0.2,2688380928
0.2,2689232896
0.3,2689921024
0.3,2689126400
0.5,2689454080
0.3,2690207744
0.3,2690486272
0.2,2690240512
0.5,2690011136
0.2,2689748992
0.5,2689814528
0.3,2689519616
0.2,2688667648
0.2,2688409600
0.2,2688819200
0.5,2688884736
0.3,2690457600
0.2,2689835008
0.3,2690793472
0.2,2692628480
0.3,2692530176
0.3,2692497408
0.2,2691518464
0.2,2687864832
0.6,2687258624
0.2,2688503808
0.3,2689814528
0.5,2690011136
0.5,2690764800
0.3,2689978368
0.2,2689454080
0.2,2689486848
0.5,2688700416
0.3,2686504960
0.5,2686967808
0.3,2686734336
0.0,2685857792
0.3,2684579840
0.2,2685399040
0.2,2686251008
0.6,2687234048
0.2,2687987712
0.5,2689118208
0.5,2689060864
0.2,2688700416
0.3,2687897600
0.3,2688913408
0.5,2688618496
0.3,2689175552
0.5,2690781184
0.2,2690158592
0.3,2690207744
0.3,2690732032
0.5,2691526656
0.3,2691035136
0.3,2691215360
0.2,2691969024
0.2,2691870720
0.5,2691969024
0.2,2691248128
0.3,2691280896
0.3,2690953216
0.2,2690871296
0.2,2689740800
0.0,2689478656
0.3,2688823296
0.3,2690330624
0.2,2691051520
0.5,2691641344
0.5,2692345856
0.5,2691461120
0.2,2689626112
0.2,2687217664
0.3,2686136320
0.6,2685382656
0.2,2684567552
0.3,2684665856
0.3,2685026304
0.3,2687283200
0.5,2688495616
0.3,2688253952
0.3,2689040384
0.0,2688180224
0.3,2688704512
0.8,2689490944
0.3,2687623168
0.2,2689294336
0.3,2690834432
0.0,2690473984
0.2,2691194880
0.5,2690916352
0.5,2690621440
0.5,2690052096
0.5,2690904064
