CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.4,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.0,0.0,0.0,0,167936
0.2,0.0,0.0,0,167936
0.6,44.4,0.0,0,212992
0.5,36.4,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.2,10.0,0.0,0,212992
0.9,37.5,0.0,0,212992
0.2,27.3,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.3,11.1,0.0,0,212992
0.9,54.5,0.0,0,212992
0.3,20.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.3,11.1,0.0,0,212992
1.1,58.3,0.0,0,212992
0.2,20.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.5,20.0,0.0,0,212992
1.1,54.5,0.0,0,212992
1.6,10.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.5,0.0,0.0,0,212992
0.8,45.5,0.0,0,212992
0.8,37.5,0.0,0,212992
0.3,9.1,0.0,0,212992
0.2,0.0,0.0,0,212992
0.9,22.2,0.0,0,212992
0.8,37.5,0.0,0,212992
0.2,9.1,0.0,0,212992
0.2,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.2,10.0,0.0,0,212992
0.6,33.3,0.0,0,212992
0.3,33.3,0.0,0,212992
0.2,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.5,30.0,0.0,0,212992
0.5,37.5,0.0,0,212992
0.6,33.3,0.0,0,212992
0.5,25.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,25.0,0.0,0,212992
0.6,33.3,0.0,0,212992
0.2,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.2,0.0,0.0,0,212992
0.5,50.0,0.0,0,212992
1.1,50.0,0.0,0,212992
0.8,44.4,0.0,0,212992
0.2,20.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.6,20.0,0.0,0,212992
0.3,33.3,0.0,0,212992
0.2,20.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
1.1,44.4,0.0,0,212992
0.5,37.5,0.0,0,212992
0.8,54.5,0.0,0,212992
0.3,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.3,22.2,0.0,0,212992
0.6,37.5,0.0,0,212992
0.6,50.0,0.0,0,212992
0.8,44.4,0.0,0,212992
0.3,11.1,0.0,0,212992
0.8,50.0,0.0,0,212992
0.8,44.4,0.0,0,212992
0.8,45.5,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.5,20.0,0.0,0,212992
0.9,50.0,0.0,0,212992
0.6,40.0,0.0,0,212992
0.6,44.4,0.0,0,212992
0.3,11.1,0.0,0,212992
1.1,53.8,0.0,0,212992
0.6,44.4,0.0,0,212992
0.5,33.3,0.0,0,212992
0.0,0.0,0.0,0,212992
0.0,0.0,0.0,0,212992
0.6,27.3,0.0,0,212992
0.5,37.5,0.0,0,212992
0.8,50.0,0.0,0,212992
0.3,22.2,0.0,0,212992
0.3,11.1,0.0,0,212992
0.8,45.5,0.0,0,212992
0.8,44.4,0.0,0,212992
0.8,40.0,0.0,0,212992
0.8,54.5,0.0,0,212992
0.9,40.0,0.0,0,212992
0.3,30.0,0.0,0,212992
0.8,50.0,0.0,0,212992
0.6,40.0,0.0,0,212992
0.2,11.1,0.0,0,212992
0.5,22.2,0.0,0,212992
1.1,54.5,0.0,0,212992
0.6,44.4,0.0,0,212992
0.6,36.4,0.0,0,212992
0.6,44.4,0.0,0,212992
0.6,20.0,0.0,0,212992
0.5,44.4,0.0,0,212992
0.8,45.5,0.0,0,212992
0.3,37.5,0.0,0,212992
0.6,20.0,0.0,0,212992
0.5,40.0,0.0,0,212992
