CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.2,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.0,0.0,0.0,0,634880
0.2,0.0,0.0,0,1355776
1.4,90.0,1.2296875,0,1650688
0.8,45.5,0.6140625,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.0,0.0,0.0,0,1622016
0.5,30.0,0.6140625,0,1728512
1.1,70.0,1.2234375,0,1740800
0.2,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.2,0.0,0.0,0,1650688
0.2,10.0,0.0,0,1650688
0.2,10.0,0.3078125,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.2,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.0,0.0,0.0,0,1650688
0.2,11.1,0.153125,0,1671168
0.0,9.1,0.1546875,0,1671168
0.2,0.0,0.0,0,1671168
0.9,54.5,0.9171875,0,1675264
0.2,11.1,0.1546875,0,1679360
5.8,0.0,0.0,0,1679360
0.3,0.0,0.0,0,1679360
0.3,0.0,0.0,0,1679360
0.2,0.0,0.0,0,1679360
0.3,25.0,0.30625,0,1695744
0.5,0.0,0.1546875,0,1658880
0.2,0.0,0.0,0,1658880
0.2,0.0,0.0,0,1658880
0.0,0.0,0.153125,0,1667072
0.5,18.2,0.0,0,1667072
0.0,0.0,0.0,0,1667072
0.0,0.0,0.0,0,1667072
0.0,0.0,0.0,0,1667072
0.3,9.1,0.153125,0,1667072
0.3,11.1,0.153125,0,1667072
0.6,40.0,0.7703125,0,1667072
0.0,0.0,0.0,0,1667072
0.2,0.0,0.0,0,1667072
0.2,18.2,0.153125,0,1667072
0.6,44.4,0.6125,0,1662976
0.2,10.0,0.1546875,0,1662976
0.3,0.0,0.30625,0,1662976
0.0,0.0,0.0,0,1662976
0.0,9.1,0.0,0,1662976
0.5,20.0,0.153125,0,1662976
0.0,0.0,0.0,0,1662976
