Total_CPU_percent,Total_Memory_usage
0.4,2700283904
0.0,2700283904
0.0,2700283904
0.0,2700283904
0.0,2700283904
0.0,2700361728
0.0,2700361728
0.6,2700673024
0.0,2700668928
0.2,2700668928
0.0,2700660736
0.2,2700660736
0.0,2700660736
0.0,2700660736
0.0,2700394496
0.2,2700394496
0.2,2700390400
0.2,2700189696
0.2,2700189696
4.6,2700128256
2.1,2699513856
0.0,2699513856
0.2,2699513856
0.0,2699513856
0.3,2698153984
0.0,2698153984
0.5,2697879552
0.5,2697940992
0.3,2697940992
0.5,2697940992
0.3,2697912320
0.2,2697912320
0.8,2697912320
0.0,2697904128
0.0,2697871360
0.0,2697871360
0.6,2697498624
0.0,2697498624
0.0,2697019392
0.0,2697019392
0.0,2697019392
0.2,2696761344
0.2,2696224768
0.2,2696192000
0.0,2696179712
0.0,2696179712
0.2,2696060928
0.0,2696060928
0.0,2696060928
0.0,2696060928
0.2,2696060928
0.3,2696060928
0.2,2696056832
0.0,2696052736
0.0,2695794688
0.0,2695794688
0.5,2695794688
0.3,2695794688
0.0,2695770112
0.0,2695766016
0.2,2695766016
0.2,2695766016
0.5,2695794688
0.0,2695761920
0.0,2695761920
0.0,2695761920
0.5,2695761920
0.2,2695761920
0.0,2695761920
0.2,2695761920
0.0,2695761920
0.5,2695761920
0.0,2695761920
0.0,2695983104
0.0,2695983104
0.0,2695983104
0.3,2695983104
0.5,2695983104
0.0,2696007680
0.0,2696007680
0.0,2696007680
0.6,2696007680
0.2,2696007680
0.0,2695688192
0.0,2695688192
0.2,2695688192
0.3,2695688192
0.0,2695688192
0.0,2696003584
0.0,2696003584
0.0,2696003584
0.6,2695745536
0.3,2695745536
0.2,2695684096
0.0,2695684096
0.3,2695684096
0.3,2695684096
0.3,2695684096
0.2,2695725056
0.0,2695725056
0.0,2695725056
0.2,2695725056
0.2,2695725056
0.0,2695663616
0.0,2695663616
0.0,2695663616
0.6,2695667712
0.3,2695667712
0.2,2695680000
0.0,2695680000
0.0,2695680000
0.5,2695680000
0.3,2695667712
0.0,2695409664
0.0,2695409664
0.3,2695409664
0.5,2695720960
0.2,2695745536
0.3,2695741440
0.0,2695741440
0.0,2695741440
0.9,2695741440
0.0,2695442432
0.0,2695442432
0.2,2695438336
0.2,2695438336
0.6,2695438336
0.2,2695438336
0.0,2695442432
0.2,2695442432
0.2,2695438336
0.5,2695438336
0.5,2695426048
0.2,2695426048
0.2,2695421952
0.5,2695163904
0.2,2695163904
0.2,2695163904
0.2,2695233536
0.0,2695233536
0.5,2695229440
0.5,2695229440
0.0,2695217152
0.3,2695217152
0.2,2694955008
0.2,2694959104
0.5,2694959104
0.5,2694959104
0.0,2695237632
0.0,2695237632
0.5,2695237632
0.3,2695237632
0.3,2695483392
0.2,2695479296
0.0,2695479296
0.3,2695479296
0.8,2695479296
0.3,2695479296
0.2,2695479296
0.0,2695811072
0.3,2695811072
0.6,2695811072
0.5,2695794688
0.2,2695794688
0.2,2695790592
0.3,2695790592
0.5,2695532544
4.9,2695532544
0.5,2695651328
0.3,2695651328
0.3,2695651328
0.5,2695651328
0.6,2695004160
0.2,2695000064
0.8,2695000064
0.8,2695000064
0.5,2695000064
0.2,2694967296
0.2,2695303168
0.3,2695303168
0.5,2695303168
0.3,2695254016
0.5,2695254016
0.2,2695254016
0.2,2695254016
0.2,2694995968
0.5,2694995968
0.5,2694995968
0.2,2694803456
0.0,2694660096
0.3,2694660096
0.5,2694647808
0.0,2694647808
0.5,2694647808
0.3,2694631424
0.3,2694631424
0.3,2694373376
0.5,2694373376
0.2,2694373376
0.2,2694402048
0.8,2694402048
0.5,2693410816
0.5,2693410816
0.0,2693410816
0.2,2693435392
0.5,2693730304
0.6,2693435392
0.3,2693402624
0.3,2693402624
0.2,2693402624
0.6,2693386240
0.3,2692960256
0.2,2692960256
0.2,2693062656
0.0,2693058560
0.6,2693058560
0.5,2693058560
0.5,2693058560
0.6,2693058560
0.2,2693234688
0.6,2693234688
0.2,2693324800
0.2,2693324800
0.5,2693107712
0.3,2693103616
0.6,2693103616
0.6,2693103616
0.2,2693103616
0.3,2693103616
0.2,2693144576
0.3,2692927488
0.5,2692927488
0.5,2692927488
0.3,2692927488
0.3,2692927488
0.5,2692927488
0.5,2692927488
0.5,2692927488
0.2,2692943872
0.0,2692943872
0.5,2692943872
0.6,2692304896
0.8,2692304896
0.2,2692304896
0.3,2692366336
0.5,2692366336
0.2,2692624384
0.2,2692624384
0.3,2692624384
0.2,2692796416
0.5,2692730880
0.5,2692730880
0.3,2692698112
0.2,2692698112
0.3,2692812800
0.3,2692812800
0.2,2692812800
0.5,2692812800
0.2,2692812800
0.3,2692812800
0.3,2692452352
0.2,2692452352
0.3,2692452352
0.5,2692354048
0.2,2692386816
0.2,2692386816
0.5,2692386816
0.3,2692386816
0.3,2692386816
0.2,2692386816
0.8,2692063232
0.3,2692063232
0.3,2692063232
0.2,2692063232
0.2,2692100096
0.3,2692100096
0.6,2692100096
0.3,2692100096
0.3,2691948544
0.0,2691784704
0.5,2691612672
0.5,2691612672
0.3,2691612672
0.2,2691612672
0.5,2691612672
0.5,2691612672
0.5,2691612672
0.5,2691612672
0.5,2691612672
0.2,2691706880
0.5,2691235840
0.6,2691235840
0.0,2691235840
0.5,2691235840
0.2,2691235840
0.5,2691235840
0.5,2691235840
0.3,2691235840
0.2,2691235840
0.2,2691219456
0.8,2691219456
0.5,2691219456
0.6,2691219456
0.2,2691219456
0.3,2691219456
0.2,2691219456
0.5,2691219456
0.5,2691219456
0.5,2691219456
0.5,2691043328
0.5,2691010560
0.3,2691010560
0.8,2691010560
0.3,2691010560
2.0,2690977792
3.5,2690863104
0.3,2690863104
0.6,2690859008
0.6,2690859008
0.5,2690789376
0.9,2690789376
0.9,2690785280
0.6,2690768896
0.6,2690768896
0.2,2690510848
0.8,2690252800
0.8,2690252800
0.3,2690252800
0.3,2690252800
0.2,2690576384
0.3,2690576384
0.5,2690576384
0.3,2690576384
0.2,2690576384
0.3,2690576384
0.6,2690318336
0.0,2689802240
0.6,2689802240
0.3,2689802240
0.2,2689941504
0.0,2689941504
0.6,2689941504
0.5,2689941504
0.3,2689941504
0.3,2689941504
0.2,2689941504
0.5,2689941504
0.6,2689941504
0.3,2689941504
0.2,2689867776
0.5,2689867776
0.3,2689867776
0.5,2689867776
0.0,2689867776
0.0,2689867776
0.5,2689867776
0.5,2689867776
0.2,2689867776
0.8,2689867776
0.3,2690179072
0.3,2690179072
0.3,2690179072
0.5,2690179072
0.5,2690232320
0.0,2690232320
0.3,2690232320
0.5,2690232320
0.5,2690232320
0.8,2689830912
0.3,2689830912
0.2,2689830912
0.5,2689830912
0.6,2689830912
0.2,2689830912
0.5,2689835008
0.2,2689835008
0.6,2689835008
0.2,2689835008
0.3,2689994752
0.2,2689994752
0.3,2689994752
0.3,2689994752
0.5,2689994752
0.3,2689994752
0.2,2689896448
0.8,2689896448
0.3,2689859584
0.3,2689859584
0.0,2689531904
0.2,2689544192
0.5,2689544192
0.3,2689544192
0.5,2689544192
0.5,2689544192
0.2,2689544192
0.5,2689544192
0.2,2689544192
0.5,2689544192
0.2,2689433600
0.0,2689433600
0.3,2689433600
0.2,2689433600
0.6,2689433600
0.2,2689433600
0.5,2689433600
0.0,2689433600
0.3,2689433600
0.5,2689433600
0.5,2689175552
0.5,2689175552
0.3,2689175552
0.3,2689175552
0.5,2689142784
0.3,2689142784
0.2,2689142784
0.3,2689662976
0.5,2689662976
0.3,2689449984
0.3,2689449984
0.5,2689449984
0.5,2689449984
0.3,2689417216
0.6,2689396736
0.2,2689396736
0.5,2689396736
0.3,2689916928
0.5,2689658880
0.2,2689331200
0.3,2689331200
0.5,2689331200
0.2,2689331200
0.2,2689073152
0.5,2689073152
0.5,2689073152
0.3,2689073152
0.9,2689073152
0.2,2689073152
0.3,2689052672
0.2,2689052672
0.5,2689052672
0.3,2689052672
0.2,2689052672
0.5,2689052672
0.5,2689052672
0.6,2689052672
0.2,2688905216
0.5,2688905216
0.5,2688528384
0.3,2688528384
0.0,2688528384
0.3,2688528384
0.5,2688528384
0.5,2688528384
0.8,2688528384
0.2,2688528384
0.3,2688528384
0.3,2688528384
0.5,2688434176
0.2,2688434176
0.3,2688434176
0.3,2688434176
0.8,2688434176
4.5,2688950272
1.5,2688950272
0.5,2688950272
0.6,2688950272
0.2,2689294336
0.6,2689630208
0.5,2689630208
0.6,2689630208
0.2,2689630208
0.6,2689630208
1.1,2689630208
0.6,2689646592
0.3,2689646592
0.5,2689622016
0.2,2689589248
0.9,2689667072
0.3,2689667072
0.3,2689667072
0.0,2689409024
0.5,2689404928
0.5,2689404928
