Total_CPU_percent,Total_Memory_usage
0.2,2694369280
0.0,2694369280
0.0,2694369280
0.0,2694369280
0.0,2694369280
0.0,2694369280
0.2,2694164480
0.0,2694156288
0.2,2694156288
0.0,2694156288
0.0,2694156288
0.0,2694156288
0.5,2694189056
0.0,2694217728
0.0,2694217728
0.0,2694152192
0.0,2694152192
0.2,2694152192
0.0,2694111232
0.0,2694111232
0.0,2694057984
0.3,2694053888
0.2,2694008832
0.2,2694008832
6.3,2693672960
3.9,2692829184
0.3,2692829184
0.3,2692829184
0.5,2692829184
0.0,2692829184
0.2,2692829184
0.9,2692829184
0.2,2692825088
0.2,2692825088
0.3,2692825088
0.5,2692796416
0.3,2692796416
0.2,2692796416
0.2,2692796416
0.0,2692796416
0.0,2692796416
0.0,2692501504
0.2,2692501504
0.0,2692501504
0.0,2692501504
0.0,2692231168
0.2,2692231168
0.3,2692222976
0.0,2692214784
0.2,2692214784
0.0,2692214784
0.0,2692214784
0.2,2692153344
0.0,2692153344
0.0,2692153344
0.0,2692153344
0.5,2692153344
0.3,2692153344
0.0,2692153344
0.2,2692153344
0.0,2692153344
0.5,2692153344
0.3,2692153344
0.0,2692153344
0.2,2692153344
0.0,2691977216
0.2,2691977216
0.3,2691973120
0.0,2691973120
0.2,2691973120
0.0,2691973120
0.3,2691973120
0.3,2691973120
0.2,2691960832
0.0,2691956736
0.0,2691690496
0.3,2691690496
0.2,2691690496
0.2,2691686400
0.0,2691686400
0.0,2691686400
0.5,2691686400
0.2,2691686400
0.0,2691678208
0.0,2691674112
0.0,2691674112
0.5,2691674112
0.2,2691674112
0.3,2691674112
0.0,2691674112
0.2,2691674112
0.3,2691674112
0.2,2691674112
0.2,2691674112
0.0,2691649536
0.2,2691649536
0.2,2691649536
0.0,2691649536
0.3,2691637248
0.0,2691637248
0.2,2691637248
0.6,2691637248
0.0,2691624960
0.2,2691624960
0.0,2691366912
0.0,2691366912
0.3,2691366912
0.5,2691366912
0.0,2691354624
0.0,2691354624
0.2,2691354624
0.6,2691354624
0.3,2691354624
0.3,2691342336
0.0,2691334144
